DATASET,METHOD,WEIGHT,MUSIC_EER,LOGIT_CORR
factorial,mert_temporal_groupdro,0.1,0.20571428571428574,0.636493679273283
factorial,mert_temporal_groupdro,0.15,0.2114285714285714,0.636493679273283
factorial,mert_temporal_groupdro,0.2,0.2114285714285714,0.636493679273283
factorial,structure_only,0.0,0.20571428571428574,0.19306700978479863
factorial,structure_only,0.01,0.20571428571428574,0.19306700978479863
factorial,structure_only,0.025,0.2114285714285714,0.19306700978479863
factorial,structure_only,0.05,0.2114285714285714,0.19306700978479863
factorial,structure_only,0.075,0.2114285714285714,0.19306700978479863
factorial,structure_only,0.1,0.2114285714285714,0.19306700978479863
factorial,structure_only,0.15,0.22285714285714286,0.19306700978479863
factorial,structure_only,0.2,0.23428571428571432,0.19306700978479863
factorial,structure_mean_mlp128,0.0,0.20571428571428574,0.5480540830797451
factorial,structure_mean_mlp128,0.01,0.20571428571428574,0.5480540830797451
factorial,structure_mean_mlp128,0.025,0.20571428571428574,0.5480540830797451
factorial,structure_mean_mlp128,0.05,0.2114285714285714,0.5480540830797451
factorial,structure_mean_mlp128,0.075,0.20571428571428574,0.5480540830797451
factorial,structure_mean_mlp128,0.1,0.20571428571428574,0.5480540830797451
factorial,structure_mean_mlp128,0.15,0.20571428571428574,0.5480540830797451
factorial,structure_mean_mlp128,0.2,0.20571428571428574,0.5480540830797451
factorial,structure_mean_mlp64,0.0,0.20571428571428574,0.5500411967107016
factorial,structure_mean_mlp64,0.01,0.20571428571428574,0.5500411967107016
factorial,structure_mean_mlp64,0.025,0.20571428571428574,0.5500411967107016
factorial,structure_mean_mlp64,0.05,0.20571428571428574,0.5500411967107016
factorial,structure_mean_mlp64,0.075,0.19999999999999998,0.5500411967107016
factorial,structure_mean_mlp64,0.1,0.19999999999999998,0.5500411967107016
factorial,structure_mean_mlp64,0.15,0.20571428571428574,0.5500411967107016
factorial,structure_mean_mlp64,0.2,0.20571428571428574,0.5500411967107016
phone,mert_temporal_groupdro,0.0,0.13749999999999998,0.7629774900727008
phone,mert_temporal_groupdro,0.01,0.135,0.7629774900727008
phone,mert_temporal_groupdro,0.025,0.135,0.7629774900727008
phone,mert_temporal_groupdro,0.05,0.13749999999999998,0.7629774900727008
phone,mert_temporal_groupdro,0.075,0.135,0.7629774900727008
phone,mert_temporal_groupdro,0.1,0.13749999999999998,0.7629774900727008
phone,mert_temporal_groupdro,0.15,0.14,0.7629774900727008
phone,mert_temporal_groupdro,0.2,0.13749999999999998,0.7629774900727008
phone,structure_only,0.0,0.13749999999999998,0.16266930298179272
phone,structure_only,0.01,0.13749999999999998,0.16266930298179272
phone,structure_only,0.025,0.135,0.16266930298179272
phone,structure_only,0.05,0.14,0.16266930298179272
phone,structure_only,0.075,0.14749999999999996,0.16266930298179272
phone,structure_only,0.1,0.14749999999999996,0.16266930298179272
phone,structure_only,0.15,0.15749999999999997,0.16266930298179272
phone,structure_only,0.2,0.16249999999999998,0.16266930298179272
phone,structure_mean_mlp128,0.0,0.13749999999999998,0.6550078523910388
phone,structure_mean_mlp128,0.01,0.13749999999999998,0.6550078523910388
phone,structure_mean_mlp128,0.025,0.14,0.6550078523910388
phone,structure_mean_mlp128,0.05,0.14,0.6550078523910388
phone,structure_mean_mlp128,0.075,0.14,0.6550078523910388
phone,structure_mean_mlp128,0.1,0.14249999999999996,0.6550078523910388
phone,structure_mean_mlp128,0.15,0.14249999999999996,0.6550078523910388
phone,structure_mean_mlp128,0.2,0.14749999999999996,0.6550078523910388
phone,structure_mean_mlp64,0.0,0.13749999999999998,0.6556244389879192
phone,structure_mean_mlp64,0.01,0.13749999999999998,0.6556244389879192
phone,structure_mean_mlp64,0.025,0.14,0.6556244389879192
phone,structure_mean_mlp64,0.05,0.14,0.6556244389879192
phone,structure_mean_mlp64,0.075,0.14,0.6556244389879192
phone,structure_mean_mlp64,0.1,0.14249999999999996,0.6556244389879192
phone,structure_mean_mlp64,0.15,0.14500000000000002,0.6556244389879192
phone,structure_mean_mlp64,0.2,0.14749999999999996,0.6556244389879192
yue,mert_temporal_groupdro,0.0,0.14516129032258063,0.7677396868850475
yue,mert_temporal_groupdro,0.01,0.14516129032258063,0.7677396868850475
yue,mert_temporal_groupdro,0.025,0.14516129032258063,0.7677396868850475
yue,mert_temporal_groupdro,0.05,0.14516129032258063,0.7677396868850475
yue,mert_temporal_groupdro,0.075,0.14516129032258063,0.7677396868850475
yue,mert_temporal_groupdro,0.1,0.14516129032258063,0.7677396868850475
yue,mert_temporal_groupdro,0.15,0.14516129032258063,0.7677396868850475
yue,mert_temporal_groupdro,0.2,0.14516129032258063,0.7677396868850475
yue,structure_only,0.0,0.14516129032258063,0.2156715717974759
yue,structure_only,0.01,0.16129032258064513,0.2156715717974759
yue,structure_only,0.025,0.16129032258064513,0.2156715717974759
yue,structure_only,0.05,0.14516129032258063,0.2156715717974759
yue,structure_only,0.075,0.14516129032258063,0.2156715717974759
yue,structure_only,0.1,0.12903225806451613,0.2156715717974759
yue,structure_only,0.15,0.14516129032258063,0.2156715717974759
yue,structure_only,0.2,0.14516129032258063,0.2156715717974759
yue,structure_mean_mlp128,0.0,0.14516129032258063,0.5553938368783331
yue,structure_mean_mlp128,0.01,0.14516129032258063,0.5553938368783331
yue,structure_mean_mlp128,0.025,0.12903225806451613,0.5553938368783331
yue,structure_mean_mlp128,0.05,0.14516129032258063,0.5553938368783331
yue,structure_mean_mlp128,0.075,0.14516129032258063,0.5553938368783331
yue,structure_mean_mlp128,0.1,0.16129032258064513,0.5553938368783331
yue,structure_mean_mlp128,0.15,0.14516129032258063,0.5553938368783331
yue,structure_mean_mlp128,0.2,0.16129032258064513,0.5553938368783331
yue,structure_mean_mlp64,0.0,0.14516129032258063,0.5566183341288948
yue,structure_mean_mlp64,0.01,0.14516129032258063,0.5566183341288948
yue,structure_mean_mlp64,0.025,0.14516129032258063,0.5566183341288948
yue,structure_mean_mlp64,0.05,0.14516129032258063,0.5566183341288948
yue,structure_mean_mlp64,0.075,0.14516129032258063,0.5566183341288948
yue,structure_mean_mlp64,0.1,0.16129032258064513,0.5566183341288948
yue,structure_mean_mlp64,0.15,0.16129032258064513,0.5566183341288948
yue,structure_mean_mlp64,0.2,0.16129032258064513,0.5566183341288948
