DATASET,METHOD,SLICE,VALUE,N,MUSIC_EER
codec_mixed_blind_v5,V51,CHANNEL,transcode_g711_opus,48,0.20833333333333337
codec_mixed_blind_v5,V51,MIX_MODE,concurrent,80,0.19999999999999998
codec_mixed_blind_v5,V51,MIX_MODE,partial_overlap,80,0.15000000000000002
codec_mixed_blind_v5,V51,MIX_MODE,sequential,80,0.22499999999999998
codec_mixed_blind_v5,V51,VOICE_FAKE,0,120,0.18333333333333335
codec_mixed_blind_v5,V51,VOICE_FAKE,1,120,0.18333333333333335
codec_mixed_blind_v5,V51_PLUS_025,CHANNEL,clean,48,0.16666666666666663
codec_mixed_blind_v5,V51_PLUS_025,CHANNEL,g711_ulaw,48,0.20833333333333337
codec_mixed_blind_v5,V51_PLUS_025,CHANNEL,g722_wb,48,0.125
codec_mixed_blind_v5,V51_PLUS_025,CHANNEL,opus_nb_8k,48,0.20833333333333337
codec_mixed_blind_v5,V51_PLUS_025,CHANNEL,transcode_g711_opus,48,0.20833333333333337
codec_mixed_blind_v5,V51_PLUS_025,MIX_MODE,concurrent,80,0.19999999999999998
codec_mixed_blind_v5,V51_PLUS_025,MIX_MODE,partial_overlap,80,0.15000000000000002
codec_mixed_blind_v5,V51_PLUS_025,MIX_MODE,sequential,80,0.19999999999999998
codec_mixed_blind_v5,V51_PLUS_025,VOICE_FAKE,0,120,0.18333333333333335
codec_mixed_blind_v5,V51_PLUS_025,VOICE_FAKE,1,120,0.18333333333333335
codec_mixed_blind_v6,V50,CHANNEL,clean,48,0.16666666666666663
codec_mixed_blind_v6,V50,CHANNEL,g711_ulaw,48,0.20833333333333337
codec_mixed_blind_v6,V50,CHANNEL,g722_wb,48,0.20833333333333337
codec_mixed_blind_v6,V50,CHANNEL,opus_nb_8k,48,0.375
codec_mixed_blind_v6,V50,CHANNEL,transcode_g711_opus,48,0.33333333333333337
codec_mixed_blind_v6,V50,MIX_MODE,concurrent,80,0.32499999999999996
codec_mixed_blind_v6,V50,MIX_MODE,partial_overlap,80,0.25
codec_mixed_blind_v6,V50,MIX_MODE,sequential,80,0.09999999999999999
codec_mixed_blind_v6,V50,VOICE_FAKE,0,120,0.2833333333333333
codec_mixed_blind_v6,V50,VOICE_FAKE,1,120,0.2333333333333333
codec_mixed_blind_v6,EXPERT,CHANNEL,clean,48,0.20833333333333337
codec_mixed_blind_v6,EXPERT,CHANNEL,g711_ulaw,48,0.33333333333333337
codec_mixed_blind_v6,EXPERT,CHANNEL,g722_wb,48,0.20833333333333337
codec_mixed_blind_v6,EXPERT,CHANNEL,opus_nb_8k,48,0.33333333333333337
codec_mixed_blind_v6,EXPERT,CHANNEL,transcode_g711_opus,48,0.45833333333333337
codec_mixed_blind_v6,EXPERT,MIX_MODE,concurrent,80,0.15000000000000002
codec_mixed_blind_v6,EXPERT,MIX_MODE,partial_overlap,80,0.375
codec_mixed_blind_v6,EXPERT,MIX_MODE,sequential,80,0.25
codec_mixed_blind_v6,EXPERT,VOICE_FAKE,0,120,0.35
codec_mixed_blind_v6,EXPERT,VOICE_FAKE,1,120,0.25
codec_mixed_blind_v6,V50_PLUS_025,CHANNEL,clean,48,0.16666666666666663
codec_mixed_blind_v6,V50_PLUS_025,CHANNEL,g711_ulaw,48,0.20833333333333337
codec_mixed_blind_v6,V50_PLUS_025,CHANNEL,g722_wb,48,0.20833333333333337
codec_mixed_blind_v6,V50_PLUS_025,CHANNEL,opus_nb_8k,48,0.375
codec_mixed_blind_v6,V50_PLUS_025,CHANNEL,transcode_g711_opus,48,0.33333333333333337
codec_mixed_blind_v6,V50_PLUS_025,MIX_MODE,concurrent,80,0.32499999999999996
codec_mixed_blind_v6,V50_PLUS_025,MIX_MODE,partial_overlap,80,0.25
codec_mixed_blind_v6,V50_PLUS_025,MIX_MODE,sequential,80,0.09999999999999999
codec_mixed_blind_v6,V50_PLUS_025,VOICE_FAKE,0,120,0.2833333333333333
codec_mixed_blind_v6,V50_PLUS_025,VOICE_FAKE,1,120,0.21666666666666667
codec_mixed_blind_v7,V50,CHANNEL,clean,72,0.13888888888888887
codec_mixed_blind_v7,V50,CHANNEL,g711_ulaw,72,0.3055555555555556
codec_mixed_blind_v7,V50,CHANNEL,g722_wb,72,0.13888888888888887
codec_mixed_blind_v7,V50,CHANNEL,opus_nb_8k,72,0.4444444444444444
codec_mixed_blind_v7,V50,CHANNEL,transcode_g711_opus,72,0.4444444444444444
codec_mixed_blind_v7,V50,MIX_MODE,concurrent,120,0.35
codec_mixed_blind_v7,V50,MIX_MODE,partial_overlap,120,0.30000000000000004
codec_mixed_blind_v7,V50,MIX_MODE,sequential,120,0.2666666666666667
codec_mixed_blind_v7,V50,VOICE_FAKE,0,180,0.3222222222222222
codec_mixed_blind_v7,V50,VOICE_FAKE,1,180,0.30000000000000004
codec_mixed_blind_v7,EXPERT,CHANNEL,clean,72,0.4444444444444444
codec_mixed_blind_v7,EXPERT,CHANNEL,g711_ulaw,72,0.4722222222222222
codec_mixed_blind_v7,EXPERT,CHANNEL,g722_wb,72,0.38888888888888884
codec_mixed_blind_v7,EXPERT,CHANNEL,opus_nb_8k,72,0.4444444444444444
codec_mixed_blind_v7,EXPERT,CHANNEL,transcode_g711_opus,72,0.41666666666666663
codec_mixed_blind_v7,EXPERT,MIX_MODE,concurrent,120,0.35
codec_mixed_blind_v7,EXPERT,MIX_MODE,partial_overlap,120,0.3833333333333333
codec_mixed_blind_v7,EXPERT,MIX_MODE,sequential,120,0.5166666666666666
codec_mixed_blind_v7,EXPERT,VOICE_FAKE,0,180,0.48888888888888893
codec_mixed_blind_v7,EXPERT,VOICE_FAKE,1,180,0.37777777777777777
codec_mixed_blind_v7,V50_PLUS_025,CHANNEL,clean,72,0.13888888888888887
codec_mixed_blind_v7,V50_PLUS_025,CHANNEL,g711_ulaw,72,0.3055555555555556
codec_mixed_blind_v7,V50_PLUS_025,CHANNEL,g722_wb,72,0.16666666666666663
codec_mixed_blind_v7,V50_PLUS_025,CHANNEL,opus_nb_8k,72,0.4444444444444444
codec_mixed_blind_v7,V50_PLUS_025,CHANNEL,transcode_g711_opus,72,0.4444444444444444
codec_mixed_blind_v7,V50_PLUS_025,MIX_MODE,concurrent,120,0.35
codec_mixed_blind_v7,V50_PLUS_025,MIX_MODE,partial_overlap,120,0.30000000000000004
codec_mixed_blind_v7,V50_PLUS_025,MIX_MODE,sequential,120,0.2666666666666667
codec_mixed_blind_v7,V50_PLUS_025,VOICE_FAKE,0,180,0.3222222222222222
codec_mixed_blind_v7,V50_PLUS_025,VOICE_FAKE,1,180,0.30000000000000004
