GROUP,VALUE,COMPONENT,EXPERT,WEIGHT,N,AUC
CHANNEL,g726_24k,music,music_share,0.1,300,0.99505
CHANNEL,g726_24k,music,music_share,0.15,300,0.9973
CHANNEL,g726_24k,music,music_share,0.2,300,0.9977
CHANNEL,g726_24k,music,music_composite,0.0,300,0.9813000000000001
CHANNEL,g726_24k,music,music_composite,0.01,300,0.98135
CHANNEL,g726_24k,music,music_composite,0.025,300,0.9816999999999999
CHANNEL,g726_24k,music,music_composite,0.05,300,0.9822
CHANNEL,g726_24k,music,music_composite,0.075,300,0.9832
CHANNEL,g726_24k,music,music_composite,0.1,300,0.9847
CHANNEL,g726_24k,music,music_composite,0.15,300,0.98805
CHANNEL,g726_24k,music,music_composite,0.2,300,0.99065
CHANNEL,opus_nb_8k,voice,voice_energy,0.0,300,0.9662
CHANNEL,opus_nb_8k,voice,voice_energy,0.01,300,0.9662499999999999
CHANNEL,opus_nb_8k,voice,voice_energy,0.025,300,0.9662499999999999
CHANNEL,opus_nb_8k,voice,voice_energy,0.05,300,0.9663499999999999
CHANNEL,opus_nb_8k,voice,voice_energy,0.075,300,0.9663499999999999
CHANNEL,opus_nb_8k,voice,voice_energy,0.1,300,0.96655
CHANNEL,opus_nb_8k,voice,voice_energy,0.15,300,0.9666
CHANNEL,opus_nb_8k,voice,voice_energy,0.2,300,0.9666
CHANNEL,opus_nb_8k,voice,voice_q90,0.0,300,0.9662
CHANNEL,opus_nb_8k,voice,voice_q90,0.01,300,0.9662
CHANNEL,opus_nb_8k,voice,voice_q90,0.025,300,0.9662499999999999
CHANNEL,opus_nb_8k,voice,voice_q90,0.05,300,0.9662499999999999
CHANNEL,opus_nb_8k,voice,voice_q90,0.075,300,0.9662499999999999
CHANNEL,opus_nb_8k,voice,voice_q90,0.1,300,0.9662499999999999
CHANNEL,opus_nb_8k,voice,voice_q90,0.15,300,0.9663
CHANNEL,opus_nb_8k,voice,voice_q90,0.2,300,0.9664499999999999
CHANNEL,opus_nb_8k,voice,voice_max,0.0,300,0.9662
CHANNEL,opus_nb_8k,voice,voice_max,0.01,300,0.9662
CHANNEL,opus_nb_8k,voice,voice_max,0.025,300,0.9662
CHANNEL,opus_nb_8k,voice,voice_max,0.05,300,0.9662499999999999
CHANNEL,opus_nb_8k,voice,voice_max,0.075,300,0.9662499999999999
CHANNEL,opus_nb_8k,voice,voice_max,0.1,300,0.9662499999999999
CHANNEL,opus_nb_8k,voice,voice_max,0.15,300,0.9662499999999999
CHANNEL,opus_nb_8k,voice,voice_max,0.2,300,0.9662000000000001
CHANNEL,opus_nb_8k,voice,voice_share,0.0,300,0.9662
CHANNEL,opus_nb_8k,voice,voice_share,0.01,300,0.9672999999999999
CHANNEL,opus_nb_8k,voice,voice_share,0.025,300,0.9683
CHANNEL,opus_nb_8k,voice,voice_share,0.05,300,0.9689
CHANNEL,opus_nb_8k,voice,voice_share,0.075,300,0.9692500000000001
CHANNEL,opus_nb_8k,voice,voice_share,0.1,300,0.9687
CHANNEL,opus_nb_8k,voice,voice_share,0.15,300,0.9663
CHANNEL,opus_nb_8k,voice,voice_share,0.2,300,0.96325
CHANNEL,opus_nb_8k,voice,voice_composite,0.0,300,0.9662
CHANNEL,opus_nb_8k,voice,voice_composite,0.01,300,0.9663
CHANNEL,opus_nb_8k,voice,voice_composite,0.025,300,0.9665
CHANNEL,opus_nb_8k,voice,voice_composite,0.05,300,0.9669
CHANNEL,opus_nb_8k,voice,voice_composite,0.075,300,0.9671500000000001
CHANNEL,opus_nb_8k,voice,voice_composite,0.1,300,0.9671500000000001
CHANNEL,opus_nb_8k,voice,voice_composite,0.15,300,0.9676
CHANNEL,opus_nb_8k,voice,voice_composite,0.2,300,0.9683
CHANNEL,opus_nb_8k,music,music_energy,0.0,300,0.9826500000000001
CHANNEL,opus_nb_8k,music,music_energy,0.01,300,0.98445
CHANNEL,opus_nb_8k,music,music_energy,0.025,300,0.9865
CHANNEL,opus_nb_8k,music,music_energy,0.05,300,0.9898
CHANNEL,opus_nb_8k,music,music_energy,0.075,300,0.9939
CHANNEL,opus_nb_8k,music,music_energy,0.1,300,0.9951500000000001
CHANNEL,opus_nb_8k,music,music_energy,0.15,300,0.9962
