DATASET,VOICE_WEIGHT,FILE_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,ADS_DELTA,FILE_EER_DELTA,VOICE_EER_DELTA
factorial,0.075,0.0,400,400,350,350,0.23236363636363638,0.2114285714285714,0.2114285714285714,0.9928,0.9989142857142856,0.7781038961038961,0.9958571428571428,0.7998792207792208,0.0022857142857142243,0.0,-0.011428571428571455
phone,0.075,0.0,1200,1200,800,800,0.1782857142857143,0.16000000000000003,0.17000000000000004,0.956603125,0.9840593750000001,0.8278571428571428,0.9703312500000001,0.8421045535714287,0.0014999999999999458,0.0,-0.007499999999999951
yue,0.075,0.0,124,124,108,124,0.12228260869565216,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8689662225338943,,,0.00374999999999992,0.0,-0.01874999999999999
factorial,0.075,0.01,400,400,350,350,0.23236363636363638,0.2114285714285714,0.2114285714285714,0.9928,0.9989142857142856,0.7781038961038961,0.9958571428571428,0.7998792207792208,0.0022857142857142243,0.0,-0.011428571428571455
phone,0.075,0.01,1200,1200,800,800,0.17585714285714285,0.16000000000000003,0.17000000000000004,0.956603125,0.9840593750000001,0.8290714285714286,0.9703312500000001,0.8431974107142858,0.002714285714285669,-0.0024285714285714466,-0.007499999999999951
yue,0.075,0.01,124,124,108,124,0.12228260869565216,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8689662225338943,,,0.00374999999999992,0.0,-0.01874999999999999
factorial,0.075,0.025,400,400,350,350,0.22472727272727272,0.2114285714285714,0.2114285714285714,0.9928,0.9989142857142856,0.7819220779220779,0.9958571428571428,0.8033155844155844,0.006103896103896056,-0.007636363636363663,-0.011428571428571455
phone,0.075,0.025,1200,1200,800,800,0.17171428571428568,0.16000000000000003,0.17000000000000004,0.956603125,0.9840593750000001,0.8311428571428572,0.9703312500000001,0.8450616964285715,0.004785714285714282,-0.006571428571428617,-0.007499999999999951
yue,0.075,0.025,124,124,108,124,0.12228260869565216,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8689662225338943,,,0.00374999999999992,0.0,-0.01874999999999999
factorial,0.075,0.05,400,400,350,350,0.22472727272727272,0.2114285714285714,0.2114285714285714,0.9928,0.9989142857142856,0.7819220779220779,0.9958571428571428,0.8033155844155844,0.006103896103896056,-0.007636363636363663,-0.011428571428571455
phone,0.075,0.05,1200,1200,800,800,0.16828571428571432,0.16000000000000003,0.17000000000000004,0.956603125,0.9840593750000001,0.8328571428571429,0.9703312500000001,0.8466045535714286,0.00649999999999995,-0.009999999999999981,-0.007499999999999951
yue,0.075,0.05,124,124,108,124,0.12228260869565216,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8689662225338943,,,0.00374999999999992,0.0,-0.01874999999999999
factorial,0.075,0.075,400,400,350,350,0.2229090909090909,0.2114285714285714,0.2114285714285714,0.9928,0.9989142857142856,0.7828311688311688,0.9958571428571428,0.8041337662337662,0.007012987012986915,-0.009454545454545493,-0.011428571428571455
phone,0.075,0.075,1200,1200,800,800,0.16414285714285715,0.16000000000000003,0.17000000000000004,0.956603125,0.9840593750000001,0.8349285714285715,0.9703312500000001,0.8484688392857144,0.008571428571428563,-0.014142857142857151,-0.007499999999999951
yue,0.075,0.075,124,124,108,124,0.12228260869565216,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8689662225338943,,,0.00374999999999992,0.0,-0.01874999999999999
factorial,0.075,0.1,400,400,350,350,0.20945454545454545,0.2114285714285714,0.2114285714285714,0.9928,0.9989142857142856,0.7895584415584416,0.9958571428571428,0.8101883116883117,0.01374025974025972,-0.022909090909090934,-0.011428571428571455
phone,0.075,0.1,1200,1200,800,800,0.16171428571428575,0.16000000000000003,0.17000000000000004,0.956603125,0.9840593750000001,0.8361428571428572,0.9703312500000001,0.8495616964285715,0.009785714285714286,-0.016571428571428543,-0.007499999999999951
yue,0.075,0.1,124,124,108,124,0.10122282608695654,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8794961138382422,,,0.014279891304347814,-0.02105978260869562,-0.01874999999999999
factorial,0.1,0.0,400,400,350,350,0.23236363636363638,0.20571428571428574,0.2114285714285714,0.9928,0.9989142857142856,0.7792467532467532,0.9958571428571428,0.8009077922077922,0.0034285714285713365,0.0,-0.017142857142857126
phone,0.1,0.0,1200,1200,800,800,0.1782857142857143,0.16249999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8273571428571429,0.9703312500000001,0.8416545535714287,0.0010000000000000009,0.0,-0.0050000000000000044
yue,0.1,0.0,124,124,108,124,0.12228260869565216,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8689662225338943,,,0.00374999999999992,0.0,-0.01874999999999999
factorial,0.1,0.01,400,400,350,350,0.23236363636363638,0.20571428571428574,0.2114285714285714,0.9928,0.9989142857142856,0.7792467532467532,0.9958571428571428,0.8009077922077922,0.0034285714285713365,0.0,-0.017142857142857126
phone,0.1,0.01,1200,1200,800,800,0.17585714285714285,0.16249999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8285714285714286,0.9703312500000001,0.8427474107142858,0.002214285714285724,-0.0024285714285714466,-0.0050000000000000044
yue,0.1,0.01,124,124,108,124,0.12228260869565216,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8689662225338943,,,0.00374999999999992,0.0,-0.01874999999999999
factorial,0.1,0.025,400,400,350,350,0.22472727272727272,0.20571428571428574,0.2114285714285714,0.9928,0.9989142857142856,0.7830649350649351,0.9958571428571428,0.8043441558441559,0.007246753246753279,-0.007636363636363663,-0.017142857142857126
phone,0.1,0.025,1200,1200,800,800,0.17171428571428568,0.16249999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8306428571428571,0.9703312500000001,0.8446116964285715,0.004285714285714226,-0.006571428571428617,-0.0050000000000000044
yue,0.1,0.025,124,124,108,124,0.12228260869565216,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8689662225338943,,,0.00374999999999992,0.0,-0.01874999999999999
factorial,0.1,0.05,400,400,350,350,0.22472727272727272,0.20571428571428574,0.2114285714285714,0.9928,0.9989142857142856,0.7830649350649351,0.9958571428571428,0.8043441558441559,0.007246753246753279,-0.007636363636363663,-0.017142857142857126
phone,0.1,0.05,1200,1200,800,800,0.16828571428571432,0.16249999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8323571428571428,0.9703312500000001,0.8461545535714285,0.005999999999999894,-0.009999999999999981,-0.0050000000000000044
yue,0.1,0.05,124,124,108,124,0.12228260869565216,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8689662225338943,,,0.00374999999999992,0.0,-0.01874999999999999
factorial,0.1,0.075,400,400,350,350,0.2229090909090909,0.20571428571428574,0.2114285714285714,0.9928,0.9989142857142856,0.7839740259740259,0.9958571428571428,0.8051623376623376,0.008155844155844028,-0.009454545454545493,-0.017142857142857126
phone,0.1,0.075,1200,1200,800,800,0.16414285714285715,0.16249999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8344285714285714,0.9703312500000001,0.8480188392857143,0.008071428571428507,-0.014142857142857151,-0.0050000000000000044
yue,0.1,0.075,124,124,108,124,0.12228260869565216,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8689662225338943,,,0.00374999999999992,0.0,-0.01874999999999999
factorial,0.1,0.1,400,400,350,350,0.20945454545454545,0.20571428571428574,0.2114285714285714,0.9928,0.9989142857142856,0.7907012987012987,0.9958571428571428,0.8112168831168831,0.014883116883116831,-0.022909090909090934,-0.017142857142857126
phone,0.1,0.1,1200,1200,800,800,0.16171428571428575,0.16249999999999998,0.17000000000000004,0.956603125,0.9840593750000001,0.8356428571428571,0.9703312500000001,0.8491116964285715,0.00928571428571423,-0.016571428571428543,-0.0050000000000000044
yue,0.1,0.1,124,124,108,124,0.10122282608695654,0.08333333333333334,0.17741935483870966,0.9837962962962963,,0.8794961138382422,,,0.014279891304347814,-0.02105978260869562,-0.01874999999999999
