SPLIT,EVAL_CELL,N,FILE_FAKE_PROB_Q10,FILE_FAKE_PROB_MEDIAN,FILE_FAKE_PROB_Q90,VOICE_FAKE_PROB_Q10,VOICE_FAKE_PROB_MEDIAN,VOICE_FAKE_PROB_Q90,MUSIC_FAKE_PROB_Q10,MUSIC_FAKE_PROB_MEDIAN,MUSIC_FAKE_PROB_Q90,VOICE_PRESENT_PROB_Q10,VOICE_PRESENT_PROB_MEDIAN,VOICE_PRESENT_PROB_Q90,MUSIC_PRESENT_PROB_Q10,MUSIC_PRESENT_PROB_MEDIAN,MUSIC_PRESENT_PROB_Q90
dev,voice_only__voice_real,25,0.0050715243200000005,0.0929725964,0.53506895098,0.0050715243200000005,0.0929725964,0.53506895098,0.365425184,0.5545242907,0.67827550938,0.7733136057400001,0.8207572699,0.8882832765600001,0.02972859514,0.0380049311,0.06214385186
holdout,concurrent__voice_fake__music_fake,25,0.28322511578000004,0.5099425784,0.71873458038,0.22018817926,0.4285069314,0.6541858475800001,0.249988828,0.4393035318,0.5746007636999999,0.11524048890000002,0.6105589867,0.8051890731,0.70615124702,0.8705130816,0.9175346613400001
holdout,concurrent__voice_fake__music_real,25,0.14742495082,0.3202074891,0.57827009652,0.11304970560000002,0.3241698199,0.5870085862000001,0.11927445918000001,0.2637466142,0.44047470614,0.17548624576000005,0.5744946003,0.7777349114800001,0.8115761399,0.8808624148,0.91986595394
holdout,concurrent__voice_real__music_fake,25,0.18069401802,0.4453680242,0.5949854922200001,0.04455106132000001,0.3141661662,0.49687952812,0.20393818456,0.3918847077,0.5949854922200001,0.27459305526000005,0.6767566204,0.8378080487199999,0.5475404620000001,0.8727535009,0.92381705046
holdout,concurrent__voice_real__music_real,25,0.15887959606000002,0.3416400934,0.47109210202,0.01385402812,0.2471794837,0.48430729792,0.15426752406,0.2524923826,0.46092762762,0.35653352144,0.7195736766,0.83924564126,0.7538479566399999,0.8713593483,0.92408472304
holdout,music_only__music_fake,25,0.28754346634,0.6228949313,0.8625113547600001,0.29687409434000006,0.482955464,0.704590548,0.28754346634,0.6228949313,0.8625113547600001,0.030904254699999998,0.0525495857,0.16871832010000004,0.7696993708400001,0.9012128115,0.93990952966
holdout,music_only__music_real,25,0.10245025504000001,0.3253528013,0.5582418785,0.061102031720000005,0.232054681,0.47509479810000005,0.10245025504000001,0.3253528013,0.5582418785,0.02356092334,0.0417702608,0.13883359132000003,0.6087991714200001,0.8405728936,0.90644373894
holdout,partial_overlap__voice_fake__music_fake,25,0.42308216986,0.7112397964,0.8772865772399999,0.36778346482000007,0.6926765411,0.86275908592,0.33639201898,0.5168173458,0.8772865772399999,0.52565033434,0.7364904284,0.84407161474,0.78298356534,0.8856488466,0.92685595746
holdout,partial_overlap__voice_fake__music_real,25,0.37159417318000004,0.628317297,0.82283103594,0.43134921904000006,0.6776493173,0.89538628738,0.18276140658,0.3388223361,0.6966155812,0.63098305468,0.7880802751,0.8288999795800001,0.7608789921,0.8712516427,0.91674979922
holdout,partial_overlap__voice_real__music_fake,25,0.34250046596,0.4631172575,0.6397114434000001,0.16851160590000003,0.3367199292,0.5385965895,0.29922930208000004,0.4363358224,0.61821081498,0.56936433314,0.7469850183,0.8590859532,0.7819234252,0.8930764198,0.9265933871200001
holdout,partial_overlap__voice_real__music_real,25,0.23150195408,0.3350488795,0.56882073022,0.15646298844,0.2355560117,0.5024050484000001,0.17259932322000002,0.2861469755,0.4583659012600001,0.46220415232,0.7738624215,0.85841037034,0.8138306141,0.8771158457,0.91268571614
holdout,sequential__voice_fake__music_fake,25,0.56751473542,0.8903609471,0.97206984268,0.54258413396,0.8903609471,0.97206984268,0.42016570298,0.7019304776,0.88389127146,0.74582382444,0.8102165461,0.88022345308,0.5737859129800001,0.8696696162,0.92012598516
holdout,sequential__voice_fake__music_real,25,0.51571510724,0.8194622803,0.9588014997400001,0.38707053628000004,0.7904426624,0.9588014997400001,0.28567237134,0.4762282834,0.7584463823,0.74451011416,0.8122286201,0.8817800879600001,0.78613692522,0.8496869206,0.91902586222
holdout,sequential__voice_real__music_fake,25,0.35627048746,0.5738951131,0.7929216130800001,0.25060168104,0.4028094986,0.73251866614,0.33284811878,0.533693566,0.70885686072,0.6827286720200001,0.8271025419,0.87401112316,0.695883441,0.8802365065,0.91503160002
holdout,sequential__voice_real__music_real,25,0.29714571112,0.4288631147,0.56256405738,0.17185303196,0.2645511051,0.42442851248,0.26605319654000004,0.4122602687,0.56256405738,0.74611947538,0.8334299326,0.86303174498,0.80312353374,0.8819506168,0.93399968148
holdout,voice_only__voice_fake,25,0.82711773148,0.9843382724,0.99848898408,0.82711773148,0.9843382724,0.99848898408,0.5899933356,0.7065301444,0.84704486068,0.6962343454600001,0.7941350937,0.88132447004,0.029847275080000003,0.0384371094,0.049476876100000004
holdout,voice_only__voice_real,25,0.00060708546,0.072392434,0.3361238373000001,0.00060708546,0.072392434,0.3361238373000001,0.34126453274,0.5099370166,0.6241938304400001,0.63368778226,0.8318300247,0.88481827978,0.037395280600000004,0.0499385558,0.11813236774000002
locked,concurrent__voice_fake__music_fake,25,0.23500099566000002,0.5804432911,0.76203378294,0.26552177934,0.5198629327,0.72683517172,0.19803562922,0.4656658521,0.7187044515000002,0.15669736268,0.5928717256,0.83590795996,0.16918328406000008,0.8586480021,0.91601121426
locked,concurrent__voice_fake__music_real,25,0.23354375398000002,0.36478675,0.59258046052,0.22486103726,0.3799895607,0.5619875131800001,0.1592477957,0.2832386093,0.49258750552,0.16074303094,0.7189275622,0.85156611202,0.77167776824,0.8830325603,0.9204841375
locked,concurrent__voice_real__music_fake,25,0.051823089060000035,0.3597141291,0.55386557422,0.009085102400000001,0.2029879023,0.45235871322000015,0.19264030608000005,0.4704065967,0.6393569879200002,0.16240791384,0.6949093342,0.8584493160400001,0.5308451891,0.8700714707,0.89220536946
locked,concurrent__voice_real__music_real,25,0.12374099864000002,0.3663029361,0.6389724224000002,0.02915972282000002,0.2518066426,0.6056225218400002,0.1524019844,0.3663029361,0.5636558515200001,0.2631967068,0.6566768289,0.80865194798,0.6515812755000001,0.8836864829,0.92798672914
