BANK,ROLE,MODEL,GROUP,VALUE,N,FILE_EER
codec_mixed_dev_v4,selection,input_file,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_FF,100,0.21999999999999997
codec_mixed_dev_v4,selection,input_file,MIX_MODE_X_FILE_CASE,sequential__RR_vs_RF,100,0.19999999999999998
codec_mixed_dev_v4,selection,input_file,MIX_MODE_X_FILE_CASE,sequential__RR_vs_FR,100,0.09999999999999999
codec_mixed_dev_v4,selection,input_file,MIX_MODE_X_FILE_CASE,sequential__RR_vs_FF,100,0.16000000000000003
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,MIX_MODE,concurrent,200,0.26
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,MIX_MODE,partial_overlap,200,0.24
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,MIX_MODE,sequential,200,0.1433333333333333
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,CHANNEL,clean,120,0.06666666666666665
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,CHANNEL,g711_ulaw,120,0.19444444444444445
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,CHANNEL,g722_wb,120,0.16666666666666663
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,CHANNEL,opus_nb_8k,120,0.33333333333333337
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,CHANNEL,transcode_g711_opus,120,0.30000000000000004
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,IS_PHONE,False,239,0.10027932960893855
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,IS_PHONE,True,361,0.28835588355883557
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_RF,100,0.26
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_FR,100,0.36
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,MIX_MODE_X_FILE_CASE,concurrent__RR_vs_FF,100,0.16000000000000003
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_RF,100,0.31999999999999995
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_FR,100,0.21999999999999997
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,MIX_MODE_X_FILE_CASE,partial_overlap__RR_vs_FF,100,0.21999999999999997
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,MIX_MODE_X_FILE_CASE,sequential__RR_vs_RF,100,0.24
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,MIX_MODE_X_FILE_CASE,sequential__RR_vs_FR,100,0.09999999999999999
codec_mixed_dev_v4,selection,max_logit_w20_gated_v51,MIX_MODE_X_FILE_CASE,sequential__RR_vs_FF,100,0.14
codec_mixed_dev_v4,selection,noisy_or_logit_w20_gated,MIX_MODE,concurrent,200,0.26333333333333336
