SPLIT,SEED,FOLD,MODEL,N,GROUP_N,FILE_EER
codec_parent_disjoint,3,1,learned_monotone_l2_1,600,200,0.21355311355311357
codec_parent_disjoint,3,2,input_file,600,200,0.16484696291443757
codec_parent_disjoint,3,2,max_logit_w20_gated_v51,600,200,0.15991556574589655
codec_parent_disjoint,3,2,noisy_or_logit_w20_gated,600,200,0.15991556574589655
codec_parent_disjoint,3,2,presence_logit_max_w20_gated,600,200,0.1734177675874368
codec_parent_disjoint,3,2,phone_w30_w20_gated,600,200,0.16484696291443757
codec_parent_disjoint,3,2,learned_monotone_l2_1,600,200,0.17834916475597773
codec_parent_disjoint,3,3,input_file,600,200,0.1617216117216117
codec_parent_disjoint,3,3,max_logit_w20_gated_v51,600,200,0.16666666666666663
codec_parent_disjoint,3,3,noisy_or_logit_w20_gated,600,200,0.16666666666666663
codec_parent_disjoint,3,3,presence_logit_max_w20_gated,600,200,0.17161172161172158
codec_parent_disjoint,3,3,phone_w30_w20_gated,600,200,0.17161172161172158
codec_parent_disjoint,3,3,learned_monotone_l2_1,600,200,0.18021978021978025
codec_parent_disjoint,3,4,input_file,600,200,0.13827838827838826
codec_parent_disjoint,3,4,max_logit_w20_gated_v51,600,200,0.14322344322344324
codec_parent_disjoint,3,4,noisy_or_logit_w20_gated,600,200,0.13827838827838826
codec_parent_disjoint,3,4,presence_logit_max_w20_gated,600,200,0.13827838827838826
codec_parent_disjoint,3,4,phone_w30_w20_gated,600,200,0.14688644688644692
codec_parent_disjoint,3,4,learned_monotone_l2_1,600,200,0.1617216117216117
codec_parent_disjoint,4,0,input_file,600,200,0.15677655677655677
codec_parent_disjoint,4,0,max_logit_w20_gated_v51,600,200,0.15677655677655677
codec_parent_disjoint,4,0,noisy_or_logit_w20_gated,600,200,0.15677655677655677
codec_parent_disjoint,4,0,presence_logit_max_w20_gated,600,200,0.1617216117216117
codec_parent_disjoint,4,0,phone_w30_w20_gated,600,200,0.15183150183150185
codec_parent_disjoint,4,0,learned_monotone_l2_1,600,200,0.1617216117216117
codec_parent_disjoint,4,1,input_file,600,200,0.17161172161172158
codec_parent_disjoint,4,1,max_logit_w20_gated_v51,600,200,0.1617216117216117
codec_parent_disjoint,4,1,noisy_or_logit_w20_gated,600,200,0.16300366300366298
codec_parent_disjoint,4,1,presence_logit_max_w20_gated,600,200,0.15805860805860805
codec_parent_disjoint,4,1,phone_w30_w20_gated,600,200,0.1617216117216117
codec_parent_disjoint,4,1,learned_monotone_l2_1,600,200,0.17161172161172158
codec_parent_disjoint,4,2,input_file,600,200,0.15677655677655677
codec_parent_disjoint,4,2,max_logit_w20_gated_v51,600,200,0.1617216117216117
codec_parent_disjoint,4,2,noisy_or_logit_w20_gated,600,200,0.1617216117216117
codec_parent_disjoint,4,2,presence_logit_max_w20_gated,600,200,0.1617216117216117
codec_parent_disjoint,4,2,phone_w30_w20_gated,600,200,0.1617216117216117
codec_parent_disjoint,4,2,learned_monotone_l2_1,600,200,0.1765567765567766
codec_parent_disjoint,4,3,input_file,600,200,0.16666666666666663
codec_parent_disjoint,4,3,max_logit_w20_gated_v51,600,200,0.1617216117216117
codec_parent_disjoint,4,3,noisy_or_logit_w20_gated,600,200,0.1617216117216117
codec_parent_disjoint,4,3,presence_logit_max_w20_gated,600,200,0.17527472527472532
codec_parent_disjoint,4,3,phone_w30_w20_gated,600,200,0.16666666666666663
codec_parent_disjoint,4,3,learned_monotone_l2_1,600,200,0.18150183150183152
codec_parent_disjoint,4,4,input_file,600,200,0.19678276376605885
codec_parent_disjoint,4,4,max_logit_w20_gated_v51,600,200,0.20171416093459987
codec_parent_disjoint,4,4,noisy_or_logit_w20_gated,600,200,0.19678276376605885
codec_parent_disjoint,4,4,presence_logit_max_w20_gated,600,200,0.21157695527168177
codec_parent_disjoint,4,4,phone_w30_w20_gated,600,200,0.20171416093459987
codec_parent_disjoint,4,4,learned_monotone_l2_1,600,200,0.20171416093459987
source_connected_disjoint,0,0,input_file,609,1,0.16917989417989415
source_connected_disjoint,0,0,max_logit_w20_gated_v51,609,1,0.17420634920634923
source_connected_disjoint,0,0,noisy_or_logit_w20_gated,609,1,0.17420634920634923
source_connected_disjoint,0,0,presence_logit_max_w20_gated,609,1,0.17420634920634923
source_connected_disjoint,0,0,phone_w30_w20_gated,609,1,0.17420634920634923
source_connected_disjoint,0,0,learned_monotone_l2_1,609,1,0.17420634920634923
source_connected_disjoint,0,1,input_file,600,66,0.19484126984126982
source_connected_disjoint,0,1,max_logit_w20_gated_v51,600,66,0.19484126984126982
source_connected_disjoint,0,1,noisy_or_logit_w20_gated,600,66,0.19484126984126982
source_connected_disjoint,0,1,presence_logit_max_w20_gated,600,66,0.19484126984126982
source_connected_disjoint,0,1,phone_w30_w20_gated,600,66,0.19484126984126982
source_connected_disjoint,0,1,learned_monotone_l2_1,600,66,0.19999999999999998
source_connected_disjoint,0,2,input_file,597,65,0.117476108971616
source_connected_disjoint,0,2,max_logit_w20_gated_v51,597,65,0.117476108971616
source_connected_disjoint,0,2,noisy_or_logit_w20_gated,597,65,0.117476108971616
source_connected_disjoint,0,2,presence_logit_max_w20_gated,597,65,0.11883112252175151
source_connected_disjoint,0,2,phone_w30_w20_gated,597,65,0.117476108971616
source_connected_disjoint,0,2,learned_monotone_l2_1,597,65,0.12237911852802738
source_connected_disjoint,0,3,input_file,597,66,0.19581026208933183
source_connected_disjoint,0,3,max_logit_w20_gated_v51,597,66,0.19581026208933183
source_connected_disjoint,0,3,noisy_or_logit_w20_gated,597,66,0.19581026208933183
source_connected_disjoint,0,3,presence_logit_max_w20_gated,597,66,0.19084533038021412
source_connected_disjoint,0,3,phone_w30_w20_gated,597,66,0.19084533038021412
source_connected_disjoint,0,3,learned_monotone_l2_1,597,66,0.20077519379844963
source_connected_disjoint,0,4,input_file,597,66,0.16249739420471127
source_connected_disjoint,0,4,max_logit_w20_gated_v51,597,66,0.1507018275310958
source_connected_disjoint,0,4,noisy_or_logit_w20_gated,597,66,0.1507018275310958
source_connected_disjoint,0,4,presence_logit_max_w20_gated,597,66,0.1541588492808005
source_connected_disjoint,0,4,phone_w30_w20_gated,597,66,0.1507018275310958
source_connected_disjoint,0,4,learned_monotone_l2_1,597,66,0.16595441595441596
