variant,axis,group,rows,real_rows,fake_rows,VOICE_EER,FPR_at_fixed_half,FNR_at_fixed_half
xlsr_wavlm_control,COMPONENT_CASE,real_voice_only,145,145,0,,0.20689655172413793,
xlsr_wavlm_control,DATASET,asvspoof_voice_wav_dev_v1,176,90,86,0.10232558139534886,0.32222222222222224,0.011627906976744186
xlsr_wavlm_control,DATASET,codec_mixed_dev_v4,600,300,300,0.17333333333333334,0.08333333333333333,0.2633333333333333
xlsr_wavlm_control,DATASET,external_mixed_v1,400,200,200,0.15999999999999998,0.15,0.16
xlsr_wavlm_control,DATASET,external_mixed_v1_telephone_v1,400,200,200,0.15500000000000003,0.185,0.13
xlsr_wavlm_control,DATASET,factorial_eval_1200_v2,350,175,175,0.2628571428571429,0.12,0.3942857142857143
xlsr_wavlm_control,DATASET,mixfake_music_dev_v1,1600,800,800,0.053749999999999964,0.02625,0.08625
xlsr_wavlm_control,DATASET,multigen_voice_v2,90,30,60,0.125,0.03333333333333333,0.25
xlsr_wavlm_control,DATASET,source_disjoint_mixed_v1,200,100,100,0.18999999999999995,0.33,0.05
xlsr_wavlm_control,DATASET,source_disjoint_mixed_v1_telephone_v1,200,100,100,0.15999999999999998,0.33,0.04
xlsr_wavlm_control,CHANNEL_V57,clean,120,60,60,0.10000000000000003,0.016666666666666666,0.18333333333333332
xlsr_wavlm_control,CHANNEL_V57,clean_flac,58,29,29,0.24137931034482762,0.10344827586206896,0.27586206896551724
xlsr_wavlm_control,CHANNEL_V57,flac16k,600,300,300,0.15333333333333332,0.21,0.12333333333333334
xlsr_wavlm_control,CHANNEL_V57,g711_ulaw,120,60,60,0.1333333333333333,0.016666666666666666,0.25
xlsr_wavlm_control,CHANNEL_V57,g722_wb,120,60,60,0.10000000000000003,0.05,0.21666666666666667
xlsr_wavlm_control,CHANNEL_V57,mp3_64k,58,29,29,0.41379310344827586,0.2413793103448276,0.4482758620689655
xlsr_wavlm_control,CHANNEL_V57,noisy_flac,58,29,29,0.2068965517241379,0.034482758620689655,0.3793103448275862
xlsr_wavlm_control,CHANNEL_V57,ogg_48k,59,29,30,0.27126436781609203,0.13793103448275862,0.3
xlsr_wavlm_control,CHANNEL_V57,opus_nb_8k,120,60,60,0.23333333333333334,0.15,0.3333333333333333
xlsr_wavlm_control,CHANNEL_V57,stereo_wav,59,30,29,0.2712643678160919,0.1,0.4827586206896552
xlsr_wavlm_control,CHANNEL_V57,telephone8k,600,300,300,0.14999999999999997,0.23333333333333334,0.1
xlsr_wavlm_control,CHANNEL_V57,telephone_flac,58,29,29,0.24137931034482762,0.10344827586206896,0.4827586206896552
xlsr_wavlm_control,CHANNEL_V57,transcode_g711_opus,120,60,60,0.30000000000000004,0.18333333333333332,0.3333333333333333
xlsr_wavlm_control,CHANNEL_V57,unknown,90,30,60,0.125,0.03333333333333333,0.25
xlsr_wavlm_control,CHANNEL_V57,wav,176,90,86,0.10232558139534886,0.32222222222222224,0.011627906976744186
xlsr_wavlm_control,CHANNEL_V57,wav16k,1600,800,800,0.053749999999999964,0.02625,0.08625
xlsr_wavlm_control,LAYOUT_V57,concurrent,1900,950,950,0.08526315789473687,0.034736842105263156,0.14947368421052631
xlsr_wavlm_control,LAYOUT_V57,partial_overlap,300,150,150,0.19333333333333336,0.12,0.26
xlsr_wavlm_control,LAYOUT_V57,sequential,900,450,450,0.1555555555555555,0.1622222222222222,0.13111111111111112
xlsr_wavlm_control,LAYOUT_V57,simultaneous,600,300,300,0.17333333333333334,0.25333333333333335,0.13
xlsr_wavlm_control,LAYOUT_V57,speech_only,266,120,146,0.19931506849315067,0.25,0.1095890410958904
xlsr_wavlm_control,LAYOUT_V57,voice_only,50,25,25,0.040000000000000036,0.0,0.2
xlsr_wavlm_lora,ALL,ALL,4016,1995,2021,0.13421393662285352,0.11278195488721804,0.15338941118258287
xlsr_wavlm_lora,VOICE_CONTEXT,fake_music_RF_vs_FF,1850,925,925,0.14270270270270274,0.1437837837837838,0.1372972972972973
xlsr_wavlm_lora,VOICE_CONTEXT,pure_voice,316,145,171,0.18029844726759425,0.20689655172413793,0.12280701754385964
xlsr_wavlm_lora,VOICE_CONTEXT,real_music_RR_vs_FR,1850,925,925,0.12000000000000005,0.06702702702702702,0.17513513513513512
xlsr_wavlm_lora,COMPONENT_CASE,FF,925,0,925,,,0.1372972972972973
xlsr_wavlm_lora,COMPONENT_CASE,FR,925,0,925,,,0.17513513513513512
xlsr_wavlm_lora,COMPONENT_CASE,RF,925,925,0,,0.1437837837837838,
xlsr_wavlm_lora,COMPONENT_CASE,RR,925,925,0,,0.06702702702702702,
