MODE,ROUTE,POOL,WEIGHT,FILE_RATIO,dev,factorial,factorial_plus_phone,phone,yue,MIN_AUDIT_DELTA,MEAN_AUDIT_DELTA
residual,hard_nonphone,MEAN,0.05,0.5,-0.0017142857142856682,0.0,-0.0010434782608695903,0.0,-0.0027173913043478937,-0.0027173913043478937,-0.0011079192546583905
residual,soft_nonphone,MEAN,0.025,1.0,-0.0017142857142856682,0.0,-0.0005217391304347396,0.0,-0.0027173913043478937,-0.0027173913043478937,-0.0011079192546583905
residual,soft_nonphone,MEAN,0.05,0.5,-0.0017142857142856682,0.0,-0.0010434782608695903,0.0,-0.0027173913043478937,-0.0027173913043478937,-0.0011079192546583905
residual,hard_nonphone,LME_T5,0.025,0.5,-0.0034285714285713365,0.0029090909090909722,-0.001565217391304441,0.0,-0.0027173913043478937,-0.0034285714285713365,-0.0008092179559570645
residual,soft_nonphone,LME_T5,0.025,0.5,-0.0034285714285713365,0.0029090909090909722,-0.001565217391304441,0.0,-0.0027173913043478937,-0.0034285714285713365,-0.0008092179559570645
moe,global,Q75,0.01,0.0,-0.0034285714285713365,0.0,-0.00260869565217392,0.0,0.0,-0.0034285714285713365,-0.0008571428571428341
residual,global,MAX,0.01,0.0,-0.0034285714285713365,0.0,-0.0010434782608695903,0.0,0.0,-0.0034285714285713365,-0.0008571428571428341
residual,hard_nonphone,LME_T5,0.025,0.0,-0.0034285714285713365,0.0,-0.001565217391304441,0.0,0.0,-0.0034285714285713365,-0.0008571428571428341
residual,hard_nonphone,LME_T5,0.025,0.25,-0.0034285714285713365,0.0,-0.001565217391304441,0.0,0.0,-0.0034285714285713365,-0.0008571428571428341
residual,hard_nonphone,MAX,0.01,0.0,-0.0034285714285713365,0.0,-0.0010434782608695903,0.0,0.0,-0.0034285714285713365,-0.0008571428571428341
residual,hard_nonphone,MAX,0.01,0.25,-0.0034285714285713365,0.0,-0.0010434782608695903,0.0,0.0,-0.0034285714285713365,-0.0008571428571428341
residual,hard_nonphone,MAX,0.01,0.5,-0.0034285714285713365,0.0,-0.0010434782608695903,0.0,0.0,-0.0034285714285713365,-0.0008571428571428341
residual,hard_nonphone,Q75,0.025,0.0,-0.0034285714285713365,0.0,-0.001565217391304441,0.0,0.0,-0.0034285714285713365,-0.0008571428571428341
residual,hard_nonphone,Q75,0.025,0.25,-0.0034285714285713365,0.0,-0.001565217391304441,0.0,0.0,-0.0034285714285713365,-0.0008571428571428341
residual,hard_nonphone,Q75,0.025,0.5,-0.0034285714285713365,0.0,-0.001565217391304441,0.0,0.0,-0.0034285714285713365,-0.0008571428571428341
residual,soft_nonphone,LME_T5,0.025,0.0,-0.0034285714285713365,0.0,-0.001565217391304441,0.0,0.0,-0.0034285714285713365,-0.0008571428571428341
residual,soft_nonphone,LME_T5,0.025,0.25,-0.0034285714285713365,0.0,-0.001565217391304441,0.0,0.0,-0.0034285714285713365,-0.0008571428571428341
residual,soft_nonphone,MAX,0.01,0.0,-0.0034285714285713365,0.0,-0.0010434782608695903,0.0,0.0,-0.0034285714285713365,-0.0008571428571428341
residual,soft_nonphone,MAX,0.01,0.25,-0.0034285714285713365,0.0,-0.0010434782608695903,0.0,0.0,-0.0034285714285713365,-0.0008571428571428341
residual,soft_nonphone,MAX,0.01,0.5,-0.0034285714285713365,0.0,-0.0010434782608695903,0.0,0.0,-0.0034285714285713365,-0.0008571428571428341
residual,soft_nonphone,Q75,0.025,0.0,-0.0034285714285713365,0.0,-0.001565217391304441,0.0,0.0,-0.0034285714285713365,-0.0008571428571428341
residual,soft_nonphone,Q75,0.025,0.25,-0.0034285714285713365,0.0,-0.001565217391304441,0.0,0.0,-0.0034285714285713365,-0.0008571428571428341
residual,soft_nonphone,Q75,0.025,0.5,-0.0034285714285713365,0.0,-0.001565217391304441,0.0,0.0,-0.0034285714285713365,-0.0008571428571428341
residual,global,LME_T5,0.1,0.0,-0.0034285714285713365,0.0017142857142857792,-0.00260869565217392,-0.0022500000000000853,0.0,-0.0034285714285713365,-0.0009910714285714106
residual,global,MEAN,0.025,0.0,-0.0034285714285713365,0.0,-0.0005217391304347396,-0.0007500000000000284,0.0,-0.0034285714285713365,-0.0010446428571428412
residual,global,Q75,0.025,0.0,-0.0034285714285713365,0.0,-0.0010434782608695903,-0.0007500000000000284,0.0,-0.0034285714285713365,-0.0010446428571428412
moe,global,Q75,0.01,0.25,-0.0034285714285713365,0.0,-0.0032651059085841982,-0.0008571428571428896,0.0,-0.0034285714285713365,-0.0010714285714285565
residual,global,LME_T5,0.2,0.0,-0.0034285714285713365,0.0017142857142857792,-0.00417391304347825,-0.0030000000000001137,0.0,-0.0034285714285713365,-0.0011785714285714177
residual,hard_nonphone,MAX,0.01,1.0,-0.0034285714285713365,0.0,-0.0010434782608695903,0.0,-0.0027173913043478937,-0.0034285714285713365,-0.0015364906832298075
residual,hard_nonphone,Q75,0.025,1.0,-0.0034285714285713365,0.0,-0.001565217391304441,0.0,-0.0027173913043478937,-0.0034285714285713365,-0.0015364906832298075
residual,soft_nonphone,MAX,0.01,1.0,-0.0034285714285713365,0.0,-0.0010434782608695903,0.0,-0.0027173913043478937,-0.0034285714285713365,-0.0015364906832298075
