MODEL,GROUP,VALUE,N,AUC,EER,THRESHOLD,TPR,FPR
robust_frame_band,VARIANT,g711_alaw,776,,,5.932097911834717,0.18814432989690721,
robust_frame_band,VARIANT,g711_clipped,776,,,5.932097911834717,0.04381443298969072,
robust_frame_band,VARIANT,g711_postnoise_20,776,,,5.932097911834717,0.0,
robust_frame_band,VARIANT,g722_wb,776,,,5.932097911834717,,0.0
robust_frame_band,VARIANT,g726_24k,776,,,5.932097911834717,0.010309278350515464,
robust_frame_band,VARIANT,lowpass_6k,776,,,5.932097911834717,,0.002577319587628866
robust_frame_band,VARIANT,mp3_64k,776,,,5.932097911834717,,0.001288659793814433
robust_frame_band,VARIANT,mulaw_numpy,776,,,5.932097911834717,0.06829896907216494,
robust_frame_band,VARIANT,ogg_48k,776,,,5.932097911834717,,0.001288659793814433
robust_frame_band,VARIANT,opus_audio_48k,776,,,5.932097911834717,,0.001288659793814433
robust_frame_band,VARIANT,opus_nb_12k,776,,,5.932097911834717,0.015463917525773196,
robust_frame_band,VARIANT,opus_nb_postnoise_20,776,,,5.932097911834717,0.0,
robust_frame_band,VARIANT,opus_wb_12k,776,,,5.932097911834717,,0.0
robust_frame_band,VARIANT,opus_wb_16k,776,,,5.932097911834717,,0.0
robust_frame_band,VARIANT,packetloss_g711,776,,,5.932097911834717,0.13402061855670103,
robust_frame_band,VARIANT,packetloss_g722,776,,,5.932097911834717,,0.0
robust_frame_band,VARIANT,packetloss_opus_nb,776,,,5.932097911834717,0.010309278350515464,
robust_frame_band,VARIANT,packetloss_opus_nb_heavy,776,,,5.932097911834717,0.006443298969072165,
robust_frame_band,VARIANT,pstn_bandpass,776,,,5.932097911834717,0.1018041237113402,
robust_frame_band,VARIANT,transcode_g711_opus,776,,,5.932097911834717,0.014175257731958763,
robust_frame_band,DATASET,asvspoof_voice_wav_dev_v1,4224,0.7761223743112947,0.24195075757575757,5.932097911834717,0.045454545454545456,0.0
robust_frame_band,DATASET,external_mixed_v1,4800,0.8295149305555556,0.19499999999999998,5.932097911834717,0.06666666666666667,0.0033333333333333335
robust_frame_band,DATASET,source_disjoint_mixed_v1,4800,0.8501204861111111,0.17125,5.932097911834717,0.035,0.0
robust_frame_band,DATASET,source_disjoint_music_v1,4800,0.8729225694444444,0.1775,5.932097911834717,0.05,0.0004166666666666667
robust_frame_band,AUDIO_TYPE,mixed,9600,0.8401545138888888,0.18270833333333336,5.932097911834717,0.050833333333333335,0.0016666666666666668
robust_frame_band,AUDIO_TYPE,music,4800,0.8729225694444444,0.1775,5.932097911834717,0.05,0.0004166666666666667
robust_frame_band,AUDIO_TYPE,voice,4224,0.7761223743112947,0.24195075757575757,5.932097911834717,0.045454545454545456,0.0
logistic_c0.01,ALL,ALL,18624,0.9998415007498731,0.002469931271477659,0.5157916856121989,0.9946305841924399,0.0009664948453608248
logistic_c0.01,VARIANT,aac_48k,776,,,0.5157916856121989,,0.002577319587628866
logistic_c0.01,VARIANT,clean,2328,,,0.5157916856121989,,0.0
logistic_c0.01,VARIANT,g711_alaw,776,,,0.5157916856121989,0.9987113402061856,
logistic_c0.01,VARIANT,g711_clipped,776,,,0.5157916856121989,0.9536082474226805,
logistic_c0.01,VARIANT,g711_postnoise_20,776,,,0.5157916856121989,0.990979381443299,
logistic_c0.01,VARIANT,g722_wb,776,,,0.5157916856121989,,0.003865979381443299
logistic_c0.01,VARIANT,g726_24k,776,,,0.5157916856121989,1.0,
logistic_c0.01,VARIANT,lowpass_6k,776,,,0.5157916856121989,,0.0
logistic_c0.01,VARIANT,mp3_64k,776,,,0.5157916856121989,,0.0
logistic_c0.01,VARIANT,mulaw_numpy,776,,,0.5157916856121989,1.0,
logistic_c0.01,VARIANT,ogg_48k,776,,,0.5157916856121989,,0.0
logistic_c0.01,VARIANT,opus_audio_48k,776,,,0.5157916856121989,,0.0
logistic_c0.01,VARIANT,opus_nb_12k,776,,,0.5157916856121989,1.0,
logistic_c0.01,VARIANT,opus_nb_postnoise_20,776,,,0.5157916856121989,0.9948453608247423,
logistic_c0.01,VARIANT,opus_wb_12k,776,,,0.5157916856121989,,0.0
logistic_c0.01,VARIANT,opus_wb_16k,776,,,0.5157916856121989,,0.001288659793814433
logistic_c0.01,VARIANT,packetloss_g711,776,,,0.5157916856121989,0.9974226804123711,
logistic_c0.01,VARIANT,packetloss_g722,776,,,0.5157916856121989,,0.003865979381443299
logistic_c0.01,VARIANT,packetloss_opus_nb,776,,,0.5157916856121989,1.0,
logistic_c0.01,VARIANT,packetloss_opus_nb_heavy,776,,,0.5157916856121989,1.0,
logistic_c0.01,VARIANT,pstn_bandpass,776,,,0.5157916856121989,1.0,
logistic_c0.01,VARIANT,transcode_g711_opus,776,,,0.5157916856121989,1.0,
logistic_c0.01,DATASET,asvspoof_voice_wav_dev_v1,4224,0.9999917050476355,0.0009469696969697104,0.5157916856121989,0.993844696969697,0.0
logistic_c0.01,DATASET,external_mixed_v1,4800,0.9996411458333333,0.0033333333333333166,0.5157916856121989,0.9958333333333333,0.0016666666666666668
logistic_c0.01,DATASET,source_disjoint_mixed_v1,4800,0.9999934027777778,0.000833333333333343,0.5157916856121989,0.9966666666666667,0.0008333333333333334
logistic_c0.01,DATASET,source_disjoint_music_v1,4800,0.9998586805555556,0.0037500000000000155,0.5157916856121989,0.9920833333333333,0.00125
logistic_c0.01,AUDIO_TYPE,mixed,9600,0.9997879774305556,0.0020833333333333294,0.5157916856121989,0.99625,0.00125
logistic_c0.01,AUDIO_TYPE,music,4800,0.9998586805555556,0.0037500000000000155,0.5157916856121989,0.9920833333333333,0.00125
logistic_c0.01,AUDIO_TYPE,voice,4224,0.9999917050476355,0.0009469696969697104,0.5157916856121989,0.993844696969697,0.0
logistic_c0.1,ALL,ALL,18624,0.9997786038559417,0.004832474226804115,0.41241626577742363,0.9851804123711341,0.0009664948453608248
logistic_c0.1,VARIANT,aac_48k,776,,,0.41241626577742363,,0.001288659793814433
logistic_c0.1,VARIANT,clean,2328,,,0.41241626577742363,,0.001288659793814433
logistic_c0.1,VARIANT,g711_alaw,776,,,0.41241626577742363,0.9987113402061856,
logistic_c0.1,VARIANT,g711_clipped,776,,,0.41241626577742363,0.8311855670103093,
logistic_c0.1,VARIANT,g711_postnoise_20,776,,,0.41241626577742363,0.9948453608247423,
logistic_c0.1,VARIANT,g722_wb,776,,,0.41241626577742363,,0.002577319587628866
logistic_c0.1,VARIANT,g726_24k,776,,,0.41241626577742363,1.0,
logistic_c0.1,VARIANT,lowpass_6k,776,,,0.41241626577742363,,0.0
logistic_c0.1,VARIANT,mp3_64k,776,,,0.41241626577742363,,0.0
logistic_c0.1,VARIANT,mulaw_numpy,776,,,0.41241626577742363,1.0,
logistic_c0.1,VARIANT,ogg_48k,776,,,0.41241626577742363,,0.0
logistic_c0.1,VARIANT,opus_audio_48k,776,,,0.41241626577742363,,0.0
logistic_c0.1,VARIANT,opus_nb_12k,776,,,0.41241626577742363,1.0,
logistic_c0.1,VARIANT,opus_nb_postnoise_20,776,,,0.41241626577742363,1.0,
logistic_c0.1,VARIANT,opus_wb_12k,776,,,0.41241626577742363,,0.0
logistic_c0.1,VARIANT,opus_wb_16k,776,,,0.41241626577742363,,0.0
logistic_c0.1,VARIANT,packetloss_g711,776,,,0.41241626577742363,0.9974226804123711,
logistic_c0.1,VARIANT,packetloss_g722,776,,,0.41241626577742363,,0.003865979381443299
logistic_c0.1,VARIANT,packetloss_opus_nb,776,,,0.41241626577742363,1.0,
logistic_c0.1,VARIANT,packetloss_opus_nb_heavy,776,,,0.41241626577742363,1.0,
logistic_c0.1,VARIANT,pstn_bandpass,776,,,0.41241626577742363,1.0,
logistic_c0.1,VARIANT,transcode_g711_opus,776,,,0.41241626577742363,1.0,
logistic_c0.1,DATASET,asvspoof_voice_wav_dev_v1,4224,0.9999726490759873,0.0033143939393939312,0.41241626577742363,0.9753787878787878,0.0
logistic_c0.1,DATASET,external_mixed_v1,4800,0.9995510416666666,0.0037500000000000155,0.41241626577742363,0.9904166666666666,0.0008333333333333334
logistic_c0.1,DATASET,source_disjoint_mixed_v1,4800,0.9999475694444444,0.0037500000000000155,0.41241626577742363,0.98625,0.0016666666666666668
logistic_c0.1,DATASET,source_disjoint_music_v1,4800,0.9998125,0.006666666666666689,0.41241626577742363,0.9875,0.00125
logistic_c0.1,AUDIO_TYPE,mixed,9600,0.9997155815972223,0.003541666666666666,0.41241626577742363,0.9883333333333333,0.00125
logistic_c0.1,AUDIO_TYPE,music,4800,0.9998125,0.006666666666666689,0.41241626577742363,0.9875,0.00125
logistic_c0.1,AUDIO_TYPE,voice,4224,0.9999726490759873,0.0033143939393939312,0.41241626577742363,0.9753787878787878,0.0
extra_depth8_leaf5,ALL,ALL,18624,0.9977745178412218,0.02319587628865981,0.40643104868089286,0.8318298969072165,0.0009664948453608248
extra_depth8_leaf5,VARIANT,aac_48k,776,,,0.40643104868089286,,0.001288659793814433
extra_depth8_leaf5,VARIANT,clean,2328,,,0.40643104868089286,,0.001288659793814433
extra_depth8_leaf5,VARIANT,g711_alaw,776,,,0.40643104868089286,1.0,
extra_depth8_leaf5,VARIANT,g711_clipped,776,,,0.40643104868089286,0.9755154639175257,
extra_depth8_leaf5,VARIANT,g711_postnoise_20,776,,,0.40643104868089286,0.007731958762886598,
extra_depth8_leaf5,VARIANT,g722_wb,776,,,0.40643104868089286,,0.002577319587628866
extra_depth8_leaf5,VARIANT,g726_24k,776,,,0.40643104868089286,0.9987113402061856,
extra_depth8_leaf5,VARIANT,lowpass_6k,776,,,0.40643104868089286,,0.0
extra_depth8_leaf5,VARIANT,mp3_64k,776,,,0.40643104868089286,,0.0
extra_depth8_leaf5,VARIANT,mulaw_numpy,776,,,0.40643104868089286,1.0,
extra_depth8_leaf5,VARIANT,ogg_48k,776,,,0.40643104868089286,,0.0
extra_depth8_leaf5,VARIANT,opus_audio_48k,776,,,0.40643104868089286,,0.0
extra_depth8_leaf5,VARIANT,opus_nb_12k,776,,,0.40643104868089286,1.0,
extra_depth8_leaf5,VARIANT,opus_nb_postnoise_20,776,,,0.40643104868089286,0.0,
extra_depth8_leaf5,VARIANT,opus_wb_12k,776,,,0.40643104868089286,,0.0
extra_depth8_leaf5,VARIANT,opus_wb_16k,776,,,0.40643104868089286,,0.0
extra_depth8_leaf5,VARIANT,packetloss_g711,776,,,0.40643104868089286,1.0,
extra_depth8_leaf5,VARIANT,packetloss_g722,776,,,0.40643104868089286,,0.003865979381443299
extra_depth8_leaf5,VARIANT,packetloss_opus_nb,776,,,0.40643104868089286,1.0,
extra_depth8_leaf5,VARIANT,packetloss_opus_nb_heavy,776,,,0.40643104868089286,1.0,
extra_depth8_leaf5,VARIANT,pstn_bandpass,776,,,0.40643104868089286,1.0,
extra_depth8_leaf5,VARIANT,transcode_g711_opus,776,,,0.40643104868089286,1.0,
extra_depth8_leaf5,DATASET,asvspoof_voice_wav_dev_v1,4224,0.9974104055469468,0.025094696969696993,0.40643104868089286,0.8309659090909091,0.0
extra_depth8_leaf5,DATASET,external_mixed_v1,4800,0.9990934027777778,0.012916666666666677,0.40643104868089286,0.8325,0.0004166666666666667
extra_depth8_leaf5,DATASET,source_disjoint_mixed_v1,4800,0.9986947916666666,0.016249999999999994,0.40643104868089286,0.8325,0.0
extra_depth8_leaf5,DATASET,source_disjoint_music_v1,4800,0.9964847222222221,0.03208333333333334,0.40643104868089286,0.83125,0.0033333333333333335
extra_depth8_leaf5,AUDIO_TYPE,mixed,9600,0.9988876736111112,0.014583333333333308,0.40643104868089286,0.8325,0.00020833333333333335
extra_depth8_leaf5,AUDIO_TYPE,music,4800,0.9964847222222221,0.03208333333333334,0.40643104868089286,0.83125,0.0033333333333333335
extra_depth8_leaf5,AUDIO_TYPE,voice,4224,0.9974104055469468,0.025094696969696993,0.40643104868089286,0.8309659090909091,0.0
extra_depth12_leaf3,ALL,ALL,18624,0.9981202316450856,0.021262886597938162,0.3164534687669576,0.8387027491408935,0.0009664948453608248
extra_depth12_leaf3,VARIANT,aac_48k,776,,,0.3164534687669576,,0.0
extra_depth12_leaf3,VARIANT,clean,2328,,,0.3164534687669576,,0.0
extra_depth12_leaf3,VARIANT,g711_alaw,776,,,0.3164534687669576,1.0,
extra_depth12_leaf3,VARIANT,g711_clipped,776,,,0.3164534687669576,0.9832474226804123,
extra_depth12_leaf3,VARIANT,g711_postnoise_20,776,,,0.3164534687669576,0.06572164948453608,
extra_depth12_leaf3,VARIANT,g722_wb,776,,,0.3164534687669576,,0.003865979381443299
extra_depth12_leaf3,VARIANT,g726_24k,776,,,0.3164534687669576,1.0,
extra_depth12_leaf3,VARIANT,lowpass_6k,776,,,0.3164534687669576,,0.001288659793814433
extra_depth12_leaf3,VARIANT,mp3_64k,776,,,0.3164534687669576,,0.0
extra_depth12_leaf3,VARIANT,mulaw_numpy,776,,,0.3164534687669576,1.0,
extra_depth12_leaf3,VARIANT,ogg_48k,776,,,0.3164534687669576,,0.002577319587628866
extra_depth12_leaf3,VARIANT,opus_audio_48k,776,,,0.3164534687669576,,0.0
extra_depth12_leaf3,VARIANT,opus_nb_12k,776,,,0.3164534687669576,1.0,
extra_depth12_leaf3,VARIANT,opus_nb_postnoise_20,776,,,0.3164534687669576,0.015463917525773196,
extra_depth12_leaf3,VARIANT,opus_wb_12k,776,,,0.3164534687669576,,0.0
extra_depth12_leaf3,VARIANT,opus_wb_16k,776,,,0.3164534687669576,,0.0
extra_depth12_leaf3,VARIANT,packetloss_g711,776,,,0.3164534687669576,1.0,
extra_depth12_leaf3,VARIANT,packetloss_g722,776,,,0.3164534687669576,,0.003865979381443299
extra_depth12_leaf3,VARIANT,packetloss_opus_nb,776,,,0.3164534687669576,1.0,
extra_depth12_leaf3,VARIANT,packetloss_opus_nb_heavy,776,,,0.3164534687669576,1.0,
extra_depth12_leaf3,VARIANT,pstn_bandpass,776,,,0.3164534687669576,1.0,
extra_depth12_leaf3,VARIANT,transcode_g711_opus,776,,,0.3164534687669576,1.0,
extra_depth12_leaf3,DATASET,asvspoof_voice_wav_dev_v1,4224,0.9976704635129707,0.025568181818181795,0.3164534687669576,0.8338068181818182,0.0
extra_depth12_leaf3,DATASET,external_mixed_v1,4800,0.9992064236111112,0.012916666666666677,0.3164534687669576,0.845,0.0004166666666666667
extra_depth12_leaf3,DATASET,source_disjoint_mixed_v1,4800,0.9987189236111111,0.015000000000000006,0.3164534687669576,0.83625,0.0008333333333333334
extra_depth12_leaf3,DATASET,source_disjoint_music_v1,4800,0.9970583333333334,0.026666666666666644,0.3164534687669576,0.8391666666666666,0.0025
extra_depth12_leaf3,AUDIO_TYPE,mixed,9600,0.9989690104166667,0.013958333333333314,0.3164534687669576,0.840625,0.000625
extra_depth12_leaf3,AUDIO_TYPE,music,4800,0.9970583333333334,0.026666666666666644,0.3164534687669576,0.8391666666666666,0.0025
extra_depth12_leaf3,AUDIO_TYPE,voice,4224,0.9976704635129707,0.025568181818181795,0.3164534687669576,0.8338068181818182,0.0
hist_leaf15_l2,ALL,ALL,18624,0.9998382601874979,0.005369415807560128,0.21181964564951608,0.9690721649484536,0.0007517182130584193
hist_leaf15_l2,VARIANT,aac_48k,776,,,0.21181964564951608,,0.001288659793814433
hist_leaf15_l2,VARIANT,clean,2328,,,0.21181964564951608,,0.0
hist_leaf15_l2,VARIANT,g711_alaw,776,,,0.21181964564951608,1.0,
hist_leaf15_l2,VARIANT,g711_clipped,776,,,0.21181964564951608,0.8891752577319587,
hist_leaf15_l2,VARIANT,g711_postnoise_20,776,,,0.21181964564951608,0.8930412371134021,
hist_leaf15_l2,VARIANT,g722_wb,776,,,0.21181964564951608,,0.003865979381443299
hist_leaf15_l2,VARIANT,g726_24k,776,,,0.21181964564951608,1.0,
hist_leaf15_l2,VARIANT,lowpass_6k,776,,,0.21181964564951608,,0.0
hist_leaf15_l2,VARIANT,mp3_64k,776,,,0.21181964564951608,,0.0
hist_leaf15_l2,VARIANT,mulaw_numpy,776,,,0.21181964564951608,1.0,
hist_leaf15_l2,VARIANT,ogg_48k,776,,,0.21181964564951608,,0.0
hist_leaf15_l2,VARIANT,opus_audio_48k,776,,,0.21181964564951608,,0.0
hist_leaf15_l2,VARIANT,opus_nb_12k,776,,,0.21181964564951608,1.0,
hist_leaf15_l2,VARIANT,opus_nb_postnoise_20,776,,,0.21181964564951608,0.8466494845360825,
hist_leaf15_l2,VARIANT,opus_wb_12k,776,,,0.21181964564951608,,0.0
hist_leaf15_l2,VARIANT,opus_wb_16k,776,,,0.21181964564951608,,0.0
hist_leaf15_l2,VARIANT,packetloss_g711,776,,,0.21181964564951608,1.0,
hist_leaf15_l2,VARIANT,packetloss_g722,776,,,0.21181964564951608,,0.003865979381443299
hist_leaf15_l2,VARIANT,packetloss_opus_nb,776,,,0.21181964564951608,1.0,
hist_leaf15_l2,VARIANT,packetloss_opus_nb_heavy,776,,,0.21181964564951608,1.0,
hist_leaf15_l2,VARIANT,pstn_bandpass,776,,,0.21181964564951608,1.0,
hist_leaf15_l2,VARIANT,transcode_g711_opus,776,,,0.21181964564951608,1.0,
hist_leaf15_l2,DATASET,asvspoof_voice_wav_dev_v1,4224,0.9999056168933655,0.004261363636363641,0.21181964564951608,0.9611742424242424,0.0
hist_leaf15_l2,DATASET,external_mixed_v1,4800,0.9999487847222222,0.0020833333333333294,0.21181964564951608,0.9770833333333333,0.0008333333333333334
hist_leaf15_l2,DATASET,source_disjoint_mixed_v1,4800,0.9998637152777778,0.005833333333333345,0.21181964564951608,0.9758333333333333,0.00125
hist_leaf15_l2,DATASET,source_disjoint_music_v1,4800,0.9995855902777777,0.00958333333333336,0.21181964564951608,0.96125,0.0008333333333333334
hist_leaf15_l2,AUDIO_TYPE,mixed,9600,0.999905859375,0.0033333333333333166,0.21181964564951608,0.9764583333333333,0.0010416666666666667
hist_leaf15_l2,AUDIO_TYPE,music,4800,0.9995855902777777,0.00958333333333336,0.21181964564951608,0.96125,0.0008333333333333334
hist_leaf15_l2,AUDIO_TYPE,voice,4224,0.9999056168933655,0.004261363636363641,0.21181964564951608,0.9611742424242424,0.0
hist_leaf31_l2,ALL,ALL,18624,0.9998379834134872,0.005691580756013736,0.26907203108578753,0.9716494845360825,0.000859106529209622
hist_leaf31_l2,VARIANT,aac_48k,776,,,0.26907203108578753,,0.001288659793814433
hist_leaf31_l2,VARIANT,clean,2328,,,0.26907203108578753,,0.0
hist_leaf31_l2,VARIANT,g711_alaw,776,,,0.26907203108578753,1.0,
hist_leaf31_l2,VARIANT,g711_clipped,776,,,0.26907203108578753,0.8865979381443299,
hist_leaf31_l2,VARIANT,g711_postnoise_20,776,,,0.26907203108578753,0.9085051546391752,
hist_leaf31_l2,VARIANT,g722_wb,776,,,0.26907203108578753,,0.003865979381443299
hist_leaf31_l2,VARIANT,g726_24k,776,,,0.26907203108578753,1.0,
hist_leaf31_l2,VARIANT,lowpass_6k,776,,,0.26907203108578753,,0.0
hist_leaf31_l2,VARIANT,mp3_64k,776,,,0.26907203108578753,,0.0
hist_leaf31_l2,VARIANT,mulaw_numpy,776,,,0.26907203108578753,1.0,
hist_leaf31_l2,VARIANT,ogg_48k,776,,,0.26907203108578753,,0.001288659793814433
hist_leaf31_l2,VARIANT,opus_audio_48k,776,,,0.26907203108578753,,0.0
hist_leaf31_l2,VARIANT,opus_nb_12k,776,,,0.26907203108578753,1.0,
hist_leaf31_l2,VARIANT,opus_nb_postnoise_20,776,,,0.26907203108578753,0.8646907216494846,
hist_leaf31_l2,VARIANT,opus_wb_12k,776,,,0.26907203108578753,,0.0
hist_leaf31_l2,VARIANT,opus_wb_16k,776,,,0.26907203108578753,,0.0
hist_leaf31_l2,VARIANT,packetloss_g711,776,,,0.26907203108578753,1.0,
hist_leaf31_l2,VARIANT,packetloss_g722,776,,,0.26907203108578753,,0.003865979381443299
hist_leaf31_l2,VARIANT,packetloss_opus_nb,776,,,0.26907203108578753,1.0,
hist_leaf31_l2,VARIANT,packetloss_opus_nb_heavy,776,,,0.26907203108578753,1.0,
hist_leaf31_l2,VARIANT,pstn_bandpass,776,,,0.26907203108578753,1.0,
hist_leaf31_l2,VARIANT,transcode_g711_opus,776,,,0.26907203108578753,1.0,
hist_leaf31_l2,DATASET,asvspoof_voice_wav_dev_v1,4224,0.999889251176538,0.006155303030303007,0.26907203108578753,0.96875,0.0
hist_leaf31_l2,DATASET,external_mixed_v1,4800,0.999926736111111,0.0014583333333333527,0.26907203108578753,0.9791666666666666,0.0008333333333333334
hist_leaf31_l2,DATASET,source_disjoint_mixed_v1,4800,0.9998619791666666,0.0037500000000000155,0.26907203108578753,0.975,0.0016666666666666668
hist_leaf31_l2,DATASET,source_disjoint_music_v1,4800,0.9996397569444444,0.008750000000000018,0.26907203108578753,0.9633333333333334,0.0008333333333333334
hist_leaf31_l2,AUDIO_TYPE,mixed,9600,0.9998973524305557,0.0026041666666666565,0.26907203108578753,0.9770833333333333,0.00125
hist_leaf31_l2,AUDIO_TYPE,music,4800,0.9996397569444444,0.008750000000000018,0.26907203108578753,0.9633333333333334,0.0008333333333333334
hist_leaf31_l2,AUDIO_TYPE,voice,4224,0.999889251176538,0.006155303030303007,0.26907203108578753,0.96875,0.0
