DURATION,MIX_MODE,COMPONENT_CASE,CHANNEL,FILE_MEDIAN_PROB,FILE_ERROR_AT_FIXED_HALF,VOICE_MEDIAN_PROB,VOICE_ERROR_AT_FIXED_HALF,MUSIC_MEDIAN_PROB,MUSIC_ERROR_AT_FIXED_HALF
60,concurrent,RR,g711_ulaw,0.6685708165168762,0.8,0.7019147276878357,0.9,0.02121414989233017,0.0
60,concurrent,RR,opus_nb_8k,0.20936458557844162,0.0,0.38413403928279877,0.2,0.01633143937215209,0.0
60,fake_music,MF,clean,0.9999988675117493,0.0,,,0.9999207854270935,0.0
60,fake_music,MF,g711_ulaw,0.9995701909065247,0.0,,,0.9908315241336823,0.1
60,fake_music,MF,opus_nb_8k,0.7278775274753571,0.3,,,0.2988922670483589,0.7
60,fake_voice,VF,clean,0.9999247193336487,0.0,0.9980814158916473,0.0,,
60,fake_voice,VF,g711_ulaw,0.9995908737182617,0.0,0.9989854693412781,0.0,,
60,fake_voice,VF,opus_nb_8k,0.9809073805809021,0.0,0.951405942440033,0.0,,
60,real_music,MR,clean,0.3016965687274933,0.1,,,0.14062818512320518,0.1
60,real_music,MR,g711_ulaw,0.11311236768960953,0.2,,,0.013241917360574007,0.1
60,real_music,MR,opus_nb_8k,0.13135522603988647,0.2,,,0.021787628531455994,0.1
60,real_voice,VR,clean,0.530454158782959,0.6,0.5479212999343872,0.7,,
60,real_voice,VR,g711_ulaw,0.4568180739879608,0.5,0.5927004814147949,1.0,,
60,real_voice,VR,opus_nb_8k,0.14295338094234467,0.0,0.29959459602832794,0.1,,
60,sequential_music_first,FF,clean,0.9999985098838806,0.0,0.9942320883274078,0.0,0.9995919466018677,0.0
60,sequential_music_first,FF,g711_ulaw,0.9994741976261139,0.0,0.9950197041034698,0.0,0.7354261577129364,0.3
60,sequential_music_first,FF,opus_nb_8k,0.9134876430034637,0.0,0.8809857666492462,0.0,0.037866948172450066,0.8
60,sequential_music_first,FR,clean,0.9998193681240082,0.0,0.9936964809894562,0.0,0.1602315530180931,0.2
60,sequential_music_first,FR,g711_ulaw,0.9982037246227264,0.0,0.9948383271694183,0.0,0.03720364160835743,0.1
60,sequential_music_first,FR,opus_nb_8k,0.8955114185810089,0.0,0.878667414188385,0.0,0.03508490417152643,0.1
60,sequential_music_first,RF,clean,0.9999966025352478,0.0,0.29762034118175507,0.1,0.9995924234390259,0.0
60,sequential_music_first,RF,g711_ulaw,0.8541624248027802,0.1,0.5708198845386505,0.6,0.7239111363887787,0.3
60,sequential_music_first,RF,opus_nb_8k,0.2440144047141075,0.6,0.1969366818666458,0.0,0.03671793453395367,0.9
60,sequential_music_first,RR,clean,0.3388989418745041,0.3,0.32478779554367065,0.2,0.036030806601047516,0.1
