VIEWS,METHOD,NORMAL_WEIGHT,PHONE_WEIGHT,FILE_EER,WORST_CHANNEL_EER,MIN_CHANNEL_DELTA,ROBUST_OBJECTIVE
2,hard,0.1,0.6000000000000001,0.16763636363636364,0.17979797979797982,0.0,0.17371717171717171
2,hard,0.1,0.7000000000000001,0.16763636363636364,0.17979797979797982,0.0,0.17371717171717171
2,hard,0.1,0.8,0.16763636363636364,0.17979797979797982,0.0,0.17371717171717171
2,hard,0.1,0.9,0.16763636363636364,0.17979797979797982,0.0,0.17371717171717171
2,hard,0.1,1.0,0.16763636363636364,0.17979797979797982,0.0,0.17371717171717171
2,hard,0.2,0.0,0.1581818181818182,0.16010638297872343,-0.035869565217391305,0.15914410058027081
2,hard,0.2,0.1,0.15236363636363637,0.16010638297872343,-0.035869565217391305,0.1562350096711799
2,hard,0.2,0.2,0.15236363636363637,0.16010638297872343,-0.035869565217391305,0.1562350096711799
2,hard,0.2,0.30000000000000004,0.15236363636363637,0.19574468085106386,-0.035869565217391305,0.17405415860735013
2,hard,0.2,0.4,0.15236363636363637,0.19574468085106386,-0.035869565217391305,0.17405415860735013
2,hard,0.2,0.5,0.1581818181818182,0.149468085106383,-0.035869565217391305,0.1538249516441006
2,hard,0.2,0.6000000000000001,0.1581818181818182,0.149468085106383,-0.035869565217391305,0.1538249516441006
2,hard,0.2,0.7000000000000001,0.1581818181818182,0.149468085106383,-0.035869565217391305,0.1538249516441006
2,hard,0.2,0.8,0.1581818181818182,0.149468085106383,-0.035869565217391305,0.1538249516441006
2,hard,0.2,0.9,0.16000000000000003,0.149468085106383,-0.035869565217391305,0.1547340425531915
2,hard,0.2,1.0,0.16000000000000003,0.149468085106383,-0.035869565217391305,0.1547340425531915
2,hard,0.30000000000000004,0.0,0.15236363636363637,0.16010638297872343,-0.0467391304347826,0.1562350096711799
2,hard,0.30000000000000004,0.1,0.15236363636363637,0.16010638297872343,-0.0467391304347826,0.1562350096711799
