axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,variant
CHANNEL_V57,telephone_flac,67,67,58,59,0.149468085106383,0.13793103448275865,0.18605990783410142,1.0,1.0,0.8418617782000264,1.0,0.8576756003800238,dense_supervised
CHANNEL_V57,transcode_g711_opus,120,120,120,120,0.33333333333333337,0.30000000000000004,0.2833333333333333,,,0.6883333333333332,,,dense_supervised
CHANNEL_V57,unknown,90,90,90,0,0.125,0.16666666666666663,,,,,,,dense_supervised
CHANNEL_V57,wav,176,176,176,0,0.2556847545219638,0.24431524547803618,,,,,,,dense_supervised
CHANNEL_V57,wav16k,1600,1600,1600,1600,0.12749999999999997,0.16374999999999998,0.12875000000000003,,,0.8648750000000001,,,dense_supervised
LAYOUT_V57,concurrent,1900,1900,1900,1900,0.14526315789473687,0.18947368421052635,0.13473684210526315,,,0.8490526315789474,,,dense_supervised
LAYOUT_V57,music_only,50,50,0,50,0.07999999999999999,,0.07999999999999999,,,,,,dense_supervised
LAYOUT_V57,partial_overlap,300,300,300,300,0.31999999999999995,0.3466666666666667,0.21999999999999997,,,0.7046666666666667,,,dense_supervised
LAYOUT_V57,sequential,900,900,900,900,0.1822222222222222,0.21555555555555553,0.12888888888888891,,,0.8271111111111111,,,dense_supervised
LAYOUT_V57,simultaneous,600,600,600,600,0.22666666666666668,0.2833333333333333,0.15333333333333332,,,0.784,,,dense_supervised
LAYOUT_V57,source_disjoint,400,400,0,400,0.030000000000000013,,0.050000000000000024,,,,,,dense_supervised
LAYOUT_V57,source_matched_instrumental,61,61,0,61,0.018181818181818188,,0.009090909090909094,,,,,,dense_supervised
LAYOUT_V57,speech_only,266,266,266,0,0.19172374429223743,0.19172374429223743,,,,,,,dense_supervised
LAYOUT_V57,voice_only,50,50,50,0,0.16000000000000003,0.12,,,,,,,dense_supervised
LAYOUT_V57,voice_screened_instrumental,50,50,0,50,,,,,,,,,dense_supervised
VOICE_GENERATOR,A07,20,20,20,20,,,0.0,,,,,,dense_supervised
VOICE_GENERATOR,A08,25,25,25,25,,,0.0,,,,,,dense_supervised
VOICE_GENERATOR,A09,20,20,20,20,,,0.4,,,,,,dense_supervised
VOICE_GENERATOR,A10,25,25,25,25,,,0.0,,,,,,dense_supervised
VOICE_GENERATOR,A11,25,25,25,25,,,0.31666666666666665,,,,,,dense_supervised
VOICE_GENERATOR,A12,20,20,20,20,,,0.0,,,,,,dense_supervised
VOICE_GENERATOR,A13,25,25,25,25,,,0.08333333333333331,,,,,,dense_supervised
VOICE_GENERATOR,A14,25,25,25,25,,,0.19999999999999998,,,,,,dense_supervised
VOICE_GENERATOR,A15,25,25,25,25,,,0.0,,,,,,dense_supervised
VOICE_GENERATOR,A16,20,20,20,20,,,0.0,,,,,,dense_supervised
VOICE_GENERATOR,A17,20,20,20,20,,,0.19999999999999998,,,,,,dense_supervised
VOICE_GENERATOR,A18,25,25,25,25,,,0.08333333333333333,,,,,,dense_supervised
VOICE_GENERATOR,A19,25,25,25,25,,,0.0,,,,,,dense_supervised
VOICE_GENERATOR,ASVspoof2019-LA,800,800,800,800,,,0.13249999999999998,,,,,,dense_supervised
VOICE_GENERATOR,bonafide,1275,1275,1275,1250,0.18587692307692305,,0.15680000000000002,,0.999968,,,,dense_supervised
VOICE_GENERATOR,cosyvoice3_0.5b,43,43,43,37,,,0.1632352941176471,,1.0,,,,dense_supervised
VOICE_GENERATOR,f5tts_v1_base,42,42,42,39,,,0.1031746031746032,,1.0,,,,dense_supervised
VOICE_GENERATOR,qwen3tts_custom_0.6b,47,47,47,38,,,0.21130952380952384,,1.0,,,,dense_supervised
VOICE_GENERATOR,qwen3tts_finetuned_1.7b,43,43,43,36,,,0.19375,,0.996031746031746,,,,dense_supervised
VOICE_GENERATOR,nan,2027,2027,1466,1761,0.158358130918339,0.2516998063747393,0.11130043339180681,0.9955023309087991,0.9982345130287389,0.8370908432483406,0.996868421968769,0.8530686011203834,dense_supervised
MUSIC_GENERATOR,FMA,1100,1100,1100,1100,0.21636363636363634,0.20181818181818179,,,,,,,dense_supervised
MUSIC_GENERATOR,MusicGen_medium,192,192,192,192,,0.25,,,,,,,dense_supervised
MUSIC_GENERATOR,acestep,11,11,9,11,,0.45,,1.0,,,,,dense_supervised
MUSIC_GENERATOR,audioldm,16,16,15,16,,0.33333333333333337,,1.0,,,,,dense_supervised
MUSIC_GENERATOR,audioldm2,192,192,192,192,,0.23958333333333337,,,,,,,dense_supervised
MUSIC_GENERATOR,brev,11,11,9,11,,0.22499999999999998,,1.0,,,,,dense_supervised
MUSIC_GENERATOR,diffrhythm,19,19,17,19,,0.5192307692307692,,1.0,,,,,dense_supervised
MUSIC_GENERATOR,elevenlabs,12,12,10,12,,0.4,,1.0,,,,,dense_supervised
MUSIC_GENERATOR,mubert,15,15,14,15,,0.21111111111111108,,1.0,,,,,dense_supervised
MUSIC_GENERATOR,musicgen,14,14,13,14,,0.2361111111111111,,1.0,,,,,dense_supervised
MUSIC_GENERATOR,musicldm,194,194,194,194,,0.25773195876288657,,,,,,,dense_supervised
MUSIC_GENERATOR,mustango,192,192,192,192,,0.15625,,,,,,,dense_supervised
MUSIC_GENERATOR,producer,17,17,14,17,,0.21111111111111108,,1.0,,,,,dense_supervised
MUSIC_GENERATOR,real,175,175,150,175,0.26833333333333337,0.24,,0.9968,,,,,dense_supervised
MUSIC_GENERATOR,songgen,15,15,14,15,,0.2111111111111111,,1.0,,,,,dense_supervised
MUSIC_GENERATOR,stable_audio_open,60,60,60,60,,0.43333333333333335,,,,,,,dense_supervised
MUSIC_GENERATOR,stableaudio,17,17,15,17,,0.33333333333333337,,1.0,,,,,dense_supervised
