MODEL,AXIS,GROUP,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,NORMALIZED_AVAILABLE_ADS
v1_strict,LAYOUT_V57,source_disjoint,400,400,0,400,0.06499999999999997,,0.09999999999999999,,,,,,0.921875
v1_strict,LAYOUT_V57,source_matched_instrumental,61,61,0,61,0.15606060606060607,,0.036363636363636376,,,,,,0.8888257575757575
v1_strict,LAYOUT_V57,speech_only,266,266,266,0,0.04138127853881281,0.03378995433789955,,,,,,,0.9607876712328768
v1_strict,LAYOUT_V57,voice_only,50,50,50,0,0.12,0.24,,,,,,,0.8457142857142859
v1_strict,LAYOUT_V57,voice_screened_instrumental,50,50,0,50,,,,,,,,,
v1_strict,CHANNEL_V57,clean,120,120,120,120,0.1333333333333333,0.15000000000000002,0.11666666666666668,,,0.8683333333333334,,,0.8683333333333334
v1_strict,CHANNEL_V57,clean_flac,66,66,58,58,0.16195652173913044,0.2068965517241379,0.20714285714285713,1.0,1.0,0.8154995716427501,1.0,0.833949614478475,0.8154995716427501
v1_strict,CHANNEL_V57,common_flac16k,511,511,0,511,0.07045036764705881,,0.09784773284313725,,,,,,0.9192756204044117
v1_strict,CHANNEL_V57,flac16k,600,600,600,600,0.16111111111111115,0.18666666666666665,0.1433333333333333,,,0.839111111111111,,,0.839111111111111
v1_strict,CHANNEL_V57,g711_ulaw,120,120,120,120,0.2333333333333333,0.15000000000000002,0.19999999999999998,,,0.7933333333333333,,,0.7933333333333333
v1_strict,CHANNEL_V57,g722_wb,120,120,120,120,0.1388888888888889,0.16666666666666663,0.08333333333333334,,,0.8722222222222222,,,0.8722222222222222
v1_strict,CHANNEL_V57,mp3_64k,67,67,58,59,0.19306418219461696,0.3448275862068966,0.23735632183908045,1.0,1.0,0.763295495109588,1.0,0.7869659455986292,0.763295495109588
v1_strict,CHANNEL_V57,noisy_flac,66,66,58,58,0.1952380952380952,0.27586206896551724,0.20714285714285716,0.9935344827586207,1.0,0.7850656814449917,0.9967672413793103,0.8062358374384235,0.7850656814449917
v1_strict,CHANNEL_V57,ogg_48k,67,67,59,58,0.19306418219461696,0.23735632183908045,0.1380952380952381,1.0,1.0,0.814568073106304,1.0,0.8331112657956735,0.814568073106304
v1_strict,CHANNEL_V57,opus_nb_8k,120,120,120,120,0.4277777777777778,0.44999999999999996,0.3666666666666667,,,0.586111111111111,,,0.586111111111111
v1_strict,CHANNEL_V57,stereo_wav,67,67,59,58,0.3257575757575758,0.3390804597701149,0.20714285714285716,1.0,1.0,0.7071622630243319,1.0,0.7364460367218988,0.7071622630243319
v1_strict,CHANNEL_V57,telephone8k,600,600,600,600,0.17333333333333334,0.20333333333333337,0.19666666666666666,,,0.8136666666666666,,,0.8136666666666666
v1_strict,CHANNEL_V57,telephone_flac,67,67,58,59,0.298936170212766,0.24137931034482762,0.22004608294930877,1.0,1.0,0.7362422279398588,1.0,0.762618005145873,0.7362422279398588
v1_strict,CHANNEL_V57,transcode_g711_opus,120,120,120,120,0.3666666666666667,0.3833333333333333,0.4,,,0.62,,,0.62
