ROUTE,NONPHONE_W,PHONE_W,dev_FILE_EER,dev_ADS,factorial_FILE_EER,factorial_ADS,phone_FILE_EER,phone_ADS,yue_FILE_EER,yue_ADS,dev_DELTA,factorial_DELTA,phone_DELTA,yue_DELTA,AUDIT_MIN_DELTA,AUDIT_MEAN_DELTA
soft,0.05,0.05,0.21527272727272728,0.7837922077922077,0.2018181818181818,0.7973766233766233,0.13414285714285712,0.8621785714285715,0.09578804347826086,0.8881409244974288,-0.0038181818181819427,0.00290909090909075,0.007928571428571507,0.0,0.0,0.003612554112554086
soft,0.125,0.05,0.21527272727272728,0.7837922077922077,0.2018181818181818,0.7973766233766233,0.13414285714285712,0.8621785714285715,0.09578804347826086,0.8881409244974288,-0.0038181818181819427,0.00290909090909075,0.007928571428571507,0.0,0.0,0.003612554112554086
hard,0.05,0.05,0.21527272727272728,0.7837922077922077,0.2018181818181818,0.7973766233766233,0.13414285714285712,0.8621785714285715,0.09578804347826086,0.8881409244974288,-0.0038181818181819427,0.00290909090909075,0.007928571428571507,0.0,0.0,0.003612554112554086
hard,0.125,0.05,0.21527272727272728,0.7837922077922077,0.2018181818181818,0.7973766233766233,0.13414285714285712,0.8621785714285715,0.09578804347826086,0.8881409244974288,-0.0038181818181819427,0.00290909090909075,0.007928571428571507,0.0,0.0,0.003612554112554086
soft,0.025,0.025,0.21527272727272728,0.7837922077922077,0.19999999999999998,0.7982857142857143,0.14,0.8592500000000001,0.09578804347826086,0.8881409244974288,-0.0038181818181819427,0.0038181818181817206,0.0050000000000001155,0.0,0.0,0.0029393939393939452
hard,0.025,0.025,0.21527272727272728,0.7837922077922077,0.19999999999999998,0.7982857142857143,0.14,0.8592500000000001,0.09578804347826086,0.8881409244974288,-0.0038181818181819427,0.0038181818181817206,0.0050000000000001155,0.0,0.0,0.0029393939393939452
soft,0.1,0.25,0.21527272727272728,0.7837922077922077,0.21527272727272728,0.7906493506493506,0.09999999999999999,0.8792500000000001,0.09578804347826086,0.8881409244974288,-0.0038181818181819427,-0.0038181818181819427,0.025000000000000133,0.0,-0.0038181818181819427,0.007060606060606063
hard,0.1,0.25,0.21527272727272728,0.7837922077922077,0.21527272727272728,0.7906493506493506,0.1017142857142857,0.8783928571428572,0.09578804347826086,0.8881409244974288,-0.0038181818181819427,-0.0038181818181819427,0.024142857142857244,0.0,-0.0038181818181819427,0.006774891774891767
soft,0.075,0.25,0.21527272727272728,0.7837922077922077,0.21709090909090906,0.7897402597402599,0.09999999999999999,0.8792500000000001,0.09578804347826086,0.8881409244974288,-0.0038181818181819427,-0.004727272727272691,0.025000000000000133,0.0,-0.004727272727272691,0.006757575757575814
hard,0.075,0.25,0.21527272727272728,0.7837922077922077,0.21709090909090906,0.7897402597402599,0.1017142857142857,0.8783928571428572,0.09578804347826086,0.8881409244974288,-0.0038181818181819427,-0.004727272727272691,0.024142857142857244,0.0,-0.004727272727272691,0.0064718614718615175
soft,0.15,0.125,0.21527272727272728,0.7837922077922077,0.20945454545454545,0.7935584415584416,0.11828571428571427,0.8701071428571427,0.12771739130434784,0.8721762505843852,-0.0038181818181819427,-0.0009090909090909705,0.015857142857142792,-0.01596467391304357,-0.01596467391304357,-0.00033887398833058285
hard,0.15,0.125,0.21527272727272728,0.7837922077922077,0.20945454545454545,0.7935584415584416,0.11828571428571427,0.8701071428571427,0.12771739130434784,0.8721762505843852,-0.0038181818181819427,-0.0009090909090909705,0.015857142857142792,-0.01596467391304357,-0.01596467391304357,-0.00033887398833058285
soft,0.15,0.075,0.21527272727272728,0.7837922077922077,0.20763636363636362,0.7944675324675325,0.12585714285714283,0.8663214285714285,0.12771739130434784,0.8721762505843852,-0.0038181818181819427,0.0,0.01207142857142851,-0.01596467391304357,-0.01596467391304357,-0.0012977484472050198
soft,0.15,0.1,0.21527272727272728,0.7837922077922077,0.20763636363636362,0.7944675324675325,0.12585714285714283,0.8663214285714285,0.12771739130434784,0.8721762505843852,-0.0038181818181819427,0.0,0.01207142857142851,-0.01596467391304357,-0.01596467391304357,-0.0012977484472050198
hard,0.15,0.075,0.21527272727272728,0.7837922077922077,0.20763636363636362,0.7944675324675325,0.12585714285714283,0.8663214285714285,0.12771739130434784,0.8721762505843852,-0.0038181818181819427,0.0,0.01207142857142851,-0.01596467391304357,-0.01596467391304357,-0.0012977484472050198
hard,0.15,0.1,0.21527272727272728,0.7837922077922077,0.20763636363636362,0.7944675324675325,0.12585714285714283,0.8663214285714285,0.12771739130434784,0.8721762505843852,-0.0038181818181819427,0.0,0.01207142857142851,-0.01596467391304357,-0.01596467391304357,-0.0012977484472050198
soft,0.25,0.2,0.21527272727272728,0.7837922077922077,0.20945454545454545,0.7935584415584416,0.10242857142857142,0.8780357142857143,0.14877717391304346,0.8616463592800374,-0.0038181818181819427,-0.0009090909090909705,0.0237857142857143,-0.026494565217391353,-0.026494565217391353,-0.0012059806135893414
hard,0.25,0.2,0.21527272727272728,0.7837922077922077,0.20945454545454545,0.7935584415584416,0.10242857142857142,0.8780357142857143,0.14877717391304346,0.8616463592800374,-0.0038181818181819427,-0.0009090909090909705,0.0237857142857143,-0.026494565217391353,-0.026494565217391353,-0.0012059806135893414
soft,0.2,0.05,0.21527272727272728,0.7837922077922077,0.20945454545454545,0.7935584415584416,0.13414285714285712,0.8621785714285715,0.14877717391304346,0.8616463592800374,-0.0038181818181819427,-0.0009090909090909705,0.007928571428571507,-0.026494565217391353,-0.026494565217391353,-0.006491694899303606
