MODEL,DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,NORMALIZED_AVAILABLE_ADS
v2_disentangle_l2__voice_only,external_mixed_v1,400,400,400,400,0.21166666666666667,0.235,0.125,,,0.8096666666666668,,,0.8096666666666668
v2_disentangle_l2__voice_only,external_mixed_v1_telephone_v1,400,400,400,400,0.20833333333333331,0.255,0.125,,,0.8073333333333335,,,0.8073333333333335
v2_disentangle_l2__voice_only,factorial_eval_1200_v2,400,400,350,350,0.23236363636363638,0.2914285714285715,0.2114285714285714,0.9992571428571428,1.0,0.7621038961038961,0.9996285714285714,0.7858563636363636,0.7621038961038961
v2_disentangle_l2__voice_only,mixfake_music_dev_v1,1600,1600,1600,1600,0.07499999999999998,0.07874999999999999,0.07625000000000001,,,0.923875,,,0.923875
v2_disentangle_l2__voice_only,multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09166666666666669,,,,,,,0.9261904761904762
v2_disentangle_l2__voice_only,source_disjoint_mixed_v1,200,200,200,200,0.21999999999999997,0.15000000000000002,0.16000000000000003,,,0.812,,,0.812
v2_disentangle_l2__voice_only,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.2833333333333333,0.16000000000000003,0.31000000000000005,,,0.7333333333333333,,,0.7333333333333333
v2_disentangle_l2__voice_only,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.050000000000000024,,,,,,0.9593749999999999
v2_disentangle_l2__music_only,asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
v2_disentangle_l2__music_only,codec_mixed_dev_v4,600,600,600,600,0.2788888888888889,0.29666666666666663,0.26,,,0.7232222222222222,,,0.7232222222222222
v2_disentangle_l2__music_only,echoes_fma_paired_v3,111,111,0,111,0.07207792207792209,,0.07207792207792209,,,,,,0.9279220779220778
v2_disentangle_l2__music_only,external_mixed_v1,400,400,400,400,0.21166666666666667,0.31000000000000005,0.11499999999999999,,,0.7976666666666667,,,0.7976666666666667
v2_disentangle_l2__music_only,external_mixed_v1_telephone_v1,400,400,400,400,0.20833333333333331,0.31999999999999995,0.125,,,0.7943333333333333,,,0.7943333333333333
v2_disentangle_l2__music_only,factorial_eval_1200_v2,400,400,350,350,0.23236363636363638,0.2857142857142857,0.16000000000000003,0.9992571428571428,1.0,0.7786753246753247,0.9996285714285714,0.8007706493506495,0.7786753246753247
v2_disentangle_l2__music_only,mixfake_music_dev_v1,1600,1600,1600,1600,0.07499999999999998,0.10250000000000001,0.07999999999999999,,,0.918,,,0.918
v2_disentangle_l2__music_only,multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09999999999999999,,,,,,,0.923809523809524
v2_disentangle_l2__music_only,source_disjoint_mixed_v1,200,200,200,200,0.21999999999999997,0.15000000000000002,0.13,,,0.8210000000000001,,,0.8210000000000001
v2_disentangle_l2__music_only,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.2833333333333333,0.14,0.26,,,0.7523333333333333,,,0.7523333333333333
v2_disentangle_l2__music_only,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.06499999999999997,,,,,,0.95375
v2_disentangle_l2__file_only,asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
v2_disentangle_l2__file_only,codec_mixed_dev_v4,600,600,600,600,0.29333333333333333,0.29666666666666663,0.2733333333333333,,,0.712,,,0.712
v2_disentangle_l2__file_only,echoes_fma_paired_v3,111,111,0,111,0.07207792207792209,,0.09009740259740262,,,,,,0.9211647727272727
v2_disentangle_l2__file_only,external_mixed_v1,400,400,400,400,0.16000000000000003,0.31000000000000005,0.125,,,0.8205,,,0.8205
v2_disentangle_l2__file_only,external_mixed_v1_telephone_v1,400,400,400,400,0.18000000000000002,0.31999999999999995,0.125,,,0.8085,,,0.8085
v2_disentangle_l2__file_only,factorial_eval_1200_v2,400,400,350,350,0.20763636363636362,0.2857142857142857,0.2114285714285714,0.9992571428571428,1.0,0.7756103896103896,0.9996285714285714,0.7980122077922078,0.7756103896103896
v2_disentangle_l2__file_only,mixfake_music_dev_v1,1600,1600,1600,1600,0.07541666666666666,0.10250000000000001,0.07625000000000001,,,0.9189166666666666,,,0.9189166666666666
v2_disentangle_l2__file_only,multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09999999999999999,,,,,,,0.923809523809524
v2_disentangle_l2__file_only,source_disjoint_mixed_v1,200,200,200,200,0.21999999999999997,0.15000000000000002,0.16000000000000003,,,0.812,,,0.812
v2_disentangle_l2__file_only,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.26,0.14,0.31000000000000005,,,0.749,,,0.749
v2_disentangle_l2__file_only,source_disjoint_music_v1,400,400,0,400,0.04500000000000002,,0.050000000000000024,,,,,,0.9531249999999999
