GROUP,VALUE,WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
MIX_MODE,sequential,0.0,300,300,300,300,0.3466666666666667,0.24,0.42666666666666664,,,0.6506666666666667,,
MIX_MODE,sequential,0.05,300,300,300,300,0.33333333333333337,0.24,0.42666666666666664,,,0.6573333333333333,,
MIX_MODE,sequential,0.1,300,300,300,300,0.30666666666666664,0.24,0.4,,,0.6786666666666668,,
MIX_MODE,sequential,0.15,300,300,300,300,0.29333333333333333,0.24,0.38,,,0.6913333333333334,,
MIX_MODE,sequential,0.2,300,300,300,300,0.28222222222222226,0.24,0.3533333333333334,,,0.7048888888888889,,
MIX_MODE,sequential,0.25,300,300,300,300,0.29333333333333333,0.24,0.3466666666666667,,,0.7013333333333334,,
MIX_MODE,sequential,0.3,300,300,300,300,0.30666666666666664,0.24,0.33999999999999997,,,0.6966666666666668,,
MIX_MODE,voice_only,0.0,150,150,150,0,0.09333333333333335,0.09333333333333335,,,,,,
MIX_MODE,voice_only,0.05,150,150,150,0,0.09333333333333335,0.09333333333333335,,,,,,
MIX_MODE,voice_only,0.1,150,150,150,0,0.09333333333333335,0.09333333333333335,,,,,,
MIX_MODE,voice_only,0.15,150,150,150,0,0.09333333333333335,0.09333333333333335,,,,,,
MIX_MODE,voice_only,0.2,150,150,150,0,0.07999999999999999,0.09333333333333335,,,,,,
MIX_MODE,voice_only,0.25,150,150,150,0,0.07999999999999999,0.09333333333333335,,,,,,
MIX_MODE,voice_only,0.3,150,150,150,0,0.07999999999999999,0.09333333333333335,,,,,,
COMPONENT_CASE,music_fake,0.0,75,75,0,75,,,,,,,,
COMPONENT_CASE,music_fake,0.05,75,75,0,75,,,,,,,,
COMPONENT_CASE,music_fake,0.1,75,75,0,75,,,,,,,,
COMPONENT_CASE,music_fake,0.15,75,75,0,75,,,,,,,,
COMPONENT_CASE,music_fake,0.2,75,75,0,75,,,,,,,,
COMPONENT_CASE,music_fake,0.25,75,75,0,75,,,,,,,,
COMPONENT_CASE,music_fake,0.3,75,75,0,75,,,,,,,,
COMPONENT_CASE,music_real,0.0,75,75,0,75,,,,,,,,
COMPONENT_CASE,music_real,0.05,75,75,0,75,,,,,,,,
COMPONENT_CASE,music_real,0.1,75,75,0,75,,,,,,,,
COMPONENT_CASE,music_real,0.15,75,75,0,75,,,,,,,,
COMPONENT_CASE,music_real,0.2,75,75,0,75,,,,,,,,
COMPONENT_CASE,music_real,0.25,75,75,0,75,,,,,,,,
COMPONENT_CASE,music_real,0.3,75,75,0,75,,,,,,,,
COMPONENT_CASE,voice_fake,0.0,75,75,75,0,,,,,,,,
COMPONENT_CASE,voice_fake,0.05,75,75,75,0,,,,,,,,
COMPONENT_CASE,voice_fake,0.1,75,75,75,0,,,,,,,,
COMPONENT_CASE,voice_fake,0.15,75,75,75,0,,,,,,,,
COMPONENT_CASE,voice_fake,0.2,75,75,75,0,,,,,,,,
COMPONENT_CASE,voice_fake,0.25,75,75,75,0,,,,,,,,
COMPONENT_CASE,voice_fake,0.3,75,75,75,0,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.0,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.05,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.1,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.15,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.2,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.25,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,0.3,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,0.0,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,0.05,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,0.1,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,0.15,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,0.2,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,0.25,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,0.3,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_real,0.0,75,75,75,0,,,,,,,,
COMPONENT_CASE,voice_real,0.05,75,75,75,0,,,,,,,,
COMPONENT_CASE,voice_real,0.1,75,75,75,0,,,,,,,,
COMPONENT_CASE,voice_real,0.15,75,75,75,0,,,,,,,,
COMPONENT_CASE,voice_real,0.2,75,75,75,0,,,,,,,,
COMPONENT_CASE,voice_real,0.25,75,75,75,0,,,,,,,,
COMPONENT_CASE,voice_real,0.3,75,75,75,0,,,,,,,,
COMPONENT_CASE,voice_real__music_fake,0.0,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_real__music_fake,0.05,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_real__music_fake,0.1,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_real__music_fake,0.15,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_real__music_fake,0.2,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_real__music_fake,0.25,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_real__music_fake,0.3,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_real__music_real,0.0,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_real__music_real,0.05,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_real__music_real,0.1,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_real__music_real,0.15,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_real__music_real,0.2,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_real__music_real,0.25,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_real__music_real,0.3,225,225,225,225,,,,,,,,
