axis,group,task,contrast,n,base_count,eer
CHANNEL+MIX_MODE,transcode_g711_opus|partial_overlap,FILE,RR_vs_FF,20,20,0.39999999999999997
CHANNEL+MIX_MODE,transcode_g711_opus|partial_overlap,VOICE,RR_vs_FR,20,20,0.30000000000000004
CHANNEL+MIX_MODE,transcode_g711_opus|partial_overlap,VOICE,RF_vs_FF,20,20,0.39999999999999997
CHANNEL+MIX_MODE,transcode_g711_opus|partial_overlap,MUSIC,RR_vs_RF,20,20,0.5
CHANNEL+MIX_MODE,transcode_g711_opus|partial_overlap,MUSIC,FR_vs_FF,20,20,0.6000000000000001
CHANNEL+MIX_MODE,transcode_g711_opus|sequential,FILE,RR_vs_FR,20,20,0.10000000000000003
CHANNEL+MIX_MODE,transcode_g711_opus|sequential,FILE,RR_vs_RF,20,20,0.30000000000000004
CHANNEL+MIX_MODE,transcode_g711_opus|sequential,FILE,RR_vs_FF,20,20,0.19999999999999996
CHANNEL+MIX_MODE,transcode_g711_opus|sequential,VOICE,RR_vs_FR,20,20,0.10000000000000003
CHANNEL+MIX_MODE,transcode_g711_opus|sequential,VOICE,RF_vs_FF,20,20,0.39999999999999997
CHANNEL+MIX_MODE,transcode_g711_opus|sequential,MUSIC,RR_vs_RF,20,20,0.19999999999999996
CHANNEL+MIX_MODE,transcode_g711_opus|sequential,MUSIC,FR_vs_FF,20,20,0.19999999999999996
