gate,wf,devADS,devF,devM,holdADS,holdF,holdM,phoneADS,phoneF,phoneM,yueADS,yueF,yueM
0.7,0.3,0.7470649350649351,0.26472727272727276,0.2114285714285714,0.7532987012987012,0.27054545454545453,0.22285714285714286,0.8113928571428571,0.1917142857142857,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
0.7,0.375,0.7441558441558441,0.27054545454545453,0.2114285714285714,0.7562077922077922,0.26472727272727276,0.22285714285714286,0.81225,0.18999999999999997,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
0.8,0.05,0.7347012987012987,0.2894545454545454,0.2114285714285714,0.7562077922077922,0.26472727272727276,0.22285714285714286,0.7843214285714286,0.24585714285714283,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
0.8,0.1,0.7317922077922078,0.29527272727272724,0.2114285714285714,0.7638441558441559,0.24945454545454543,0.22285714285714286,0.79225,0.22999999999999998,0.1975,0.856807649602618,0.14877717391304346,0.16129032258064513
0.8,0.15,0.7385194805194805,0.28181818181818186,0.2114285714285714,0.7609350649350649,0.25527272727272726,0.22285714285714286,0.8013928571428571,0.2117142857142857,0.1975,0.856807649602618,0.14877717391304346,0.16129032258064513
0.8,0.2,0.7403376623376623,0.2781818181818182,0.2114285714285714,0.7571168831168831,0.2629090909090909,0.22285714285714286,0.8034642857142857,0.20757142857142857,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
0.8,0.25,0.7441558441558441,0.27054545454545453,0.2114285714285714,0.7562077922077922,0.26472727272727276,0.22285714285714286,0.8063928571428571,0.2017142857142857,0.1975,0.8513728669939223,0.15964673913043476,0.16129032258064513
0.8,0.3,0.7470649350649351,0.26472727272727276,0.2114285714285714,0.7571168831168831,0.2629090909090909,0.22285714285714286,0.8084642857142857,0.1975714285714286,0.1975,0.8513728669939223,0.15964673913043476,0.16129032258064513
0.8,0.375,0.7441558441558441,0.27054545454545453,0.2114285714285714,0.7609350649350649,0.25527272727272726,0.22285714285714286,0.8113928571428571,0.1917142857142857,0.1975,0.8381255843852267,0.1861413043478261,0.16129032258064513
0.9,0.05,0.7270649350649351,0.30472727272727274,0.2114285714285714,0.7609350649350649,0.25527272727272726,0.22285714285714286,0.7801785714285714,0.25414285714285717,0.1975,0.8513728669939223,0.15964673913043476,0.16129032258064513
0.9,0.1,0.7279740259740259,0.3029090909090909,0.2114285714285714,0.7609350649350649,0.25527272727272726,0.22285714285714286,0.78225,0.25,0.1975,0.8673375409069658,0.12771739130434784,0.16129032258064513
0.9,0.15,0.7308831168831169,0.29709090909090907,0.2114285714285714,0.7647532467532467,0.24763636363636365,0.22285714285714286,0.7851785714285714,0.24414285714285716,0.1975,0.8673375409069658,0.12771739130434784,0.16129032258064513
0.9,0.2,0.7317922077922078,0.29527272727272724,0.2114285714285714,0.7609350649350649,0.25527272727272726,0.22285714285714286,0.7863928571428571,0.24171428571428571,0.1975,0.8673375409069658,0.12771739130434784,0.16129032258064513
0.9,0.25,0.7317922077922078,0.29527272727272724,0.2114285714285714,0.7609350649350649,0.25527272727272726,0.22285714285714286,0.7893214285714286,0.23585714285714288,0.1975,0.856807649602618,0.14877717391304346,0.16129032258064513
0.9,0.3,0.7317922077922078,0.29527272727272724,0.2114285714285714,0.7571168831168831,0.2629090909090909,0.22285714285714286,0.7901785714285714,0.23414285714285715,0.1975,0.856807649602618,0.14877717391304346,0.16129032258064513
0.9,0.375,0.7347012987012987,0.2894545454545454,0.2114285714285714,0.7532987012987012,0.27054545454545453,0.22285714285714286,0.7901785714285714,0.23414285714285715,0.1975,0.8540902582982702,0.15421195652173914,0.16129032258064513
