DATASET,GROUP,VALUE,TASK,MODEL,N,POS,EER,AUC
factorial,CHANNEL,ogg_48k,MUSIC,patch,59,30,0.16954022988505746,0.9448275862068966
factorial,CHANNEL,ogg_48k,MUSIC,fused05,59,30,0.20344827586206893,0.8988505747126436
factorial,CHANNEL,ogg_48k,MUSIC,fused15,59,30,0.13563218390804596,0.9379310344827586
factorial,CHANNEL,stereo_wav,FILE,v18,66,46,0.2554347826086957,0.8108695652173913
factorial,CHANNEL,stereo_wav,FILE,patch,66,46,0.2554347826086957,0.8065217391304349
factorial,CHANNEL,stereo_wav,FILE,fused05,66,46,0.24456521739130432,0.8293478260869566
factorial,CHANNEL,stereo_wav,FILE,fused15,66,46,0.2554347826086957,0.8782608695652174
factorial,CHANNEL,stereo_wav,VOICE,v18,58,29,0.31034482758620685,0.7740784780023782
factorial,CHANNEL,stereo_wav,VOICE,patch,58,29,0.31034482758620685,0.7907253269916765
factorial,CHANNEL,stereo_wav,VOICE,fused05,58,29,0.31034482758620685,0.7740784780023782
factorial,CHANNEL,stereo_wav,VOICE,fused15,58,29,0.31034482758620685,0.7740784780023782
factorial,CHANNEL,stereo_wav,MUSIC,v18,58,30,0.25833333333333336,0.8130952380952381
factorial,CHANNEL,stereo_wav,MUSIC,patch,58,30,0.20714285714285713,0.8404761904761904
factorial,CHANNEL,stereo_wav,MUSIC,fused05,58,30,0.25833333333333336,0.8702380952380953
factorial,CHANNEL,stereo_wav,MUSIC,fused15,58,30,0.17261904761904762,0.905952380952381
factorial,CHANNEL,telephone_flac,FILE,v18,67,46,0.32971014492753625,0.7453416149068323
factorial,CHANNEL,telephone_flac,FILE,patch,67,46,0.3405797101449275,0.6785714285714286
factorial,CHANNEL,telephone_flac,FILE,fused05,67,46,0.2841614906832298,0.7722567287784678
factorial,CHANNEL,telephone_flac,FILE,fused15,67,46,0.2841614906832298,0.7950310559006211
factorial,CHANNEL,telephone_flac,VOICE,v18,59,30,0.23735632183908045,0.8160919540229885
factorial,CHANNEL,telephone_flac,VOICE,patch,59,30,0.44080459770114944,0.6367816091954023
factorial,CHANNEL,telephone_flac,VOICE,fused05,59,30,0.23735632183908045,0.8160919540229885
factorial,CHANNEL,telephone_flac,VOICE,fused15,59,30,0.23735632183908045,0.8160919540229885
factorial,CHANNEL,telephone_flac,MUSIC,v18,58,28,0.32738095238095233,0.7892857142857144
factorial,CHANNEL,telephone_flac,MUSIC,patch,58,28,0.32738095238095233,0.7535714285714287
factorial,CHANNEL,telephone_flac,MUSIC,fused05,58,28,0.2583333333333333,0.8226190476190476
factorial,CHANNEL,telephone_flac,MUSIC,fused15,58,28,0.20714285714285716,0.8321428571428572
factorial,SNR_DB,-10.0,FILE,v18,48,35,0.378021978021978,0.7076923076923076
factorial,SNR_DB,-10.0,FILE,patch,48,35,0.310989010989011,0.734065934065934
factorial,SNR_DB,-10.0,FILE,fused05,48,35,0.310989010989011,0.7472527472527473
factorial,SNR_DB,-10.0,FILE,fused15,48,35,0.310989010989011,0.7802197802197802
factorial,SNR_DB,-10.0,VOICE,v18,48,26,0.41608391608391615,0.6136363636363636
factorial,SNR_DB,-10.0,VOICE,patch,48,26,0.3548951048951049,0.6643356643356644
factorial,SNR_DB,-10.0,VOICE,fused05,48,26,0.41608391608391615,0.6136363636363636
factorial,SNR_DB,-10.0,VOICE,fused15,48,26,0.41608391608391615,0.6136363636363636
factorial,SNR_DB,-10.0,MUSIC,v18,48,18,0.27222222222222225,0.8166666666666667
factorial,SNR_DB,-10.0,MUSIC,patch,48,18,0.16666666666666663,0.8935185185185185
factorial,SNR_DB,-10.0,MUSIC,fused05,48,18,0.22777777777777777,0.8703703703703703
factorial,SNR_DB,-10.0,MUSIC,fused15,48,18,0.2111111111111111,0.9148148148148147
factorial,SNR_DB,-5.0,FILE,v18,28,22,0.3484848484848485,0.5909090909090908
factorial,SNR_DB,-5.0,FILE,patch,28,22,0.19696969696969696,0.8484848484848485
factorial,SNR_DB,-5.0,FILE,fused05,28,22,0.3484848484848485,0.6287878787878788
factorial,SNR_DB,-5.0,FILE,fused15,28,22,0.3257575757575758,0.7196969696969696
factorial,SNR_DB,-5.0,VOICE,v18,28,18,0.28888888888888886,0.6888888888888889
factorial,SNR_DB,-5.0,VOICE,patch,28,18,0.6055555555555556,0.4444444444444444
factorial,SNR_DB,-5.0,VOICE,fused05,28,18,0.28888888888888886,0.6888888888888889
factorial,SNR_DB,-5.0,VOICE,fused15,28,18,0.28888888888888886,0.6888888888888889
factorial,SNR_DB,-5.0,MUSIC,v18,28,15,0.14358974358974358,0.9076923076923077
factorial,SNR_DB,-5.0,MUSIC,patch,28,15,0.07179487179487179,0.9897435897435898
factorial,SNR_DB,-5.0,MUSIC,fused05,28,15,0.07179487179487179,0.9230769230769231
factorial,SNR_DB,-5.0,MUSIC,fused15,28,15,0.07179487179487179,0.9487179487179487
factorial,SNR_DB,0.0,FILE,v18,50,31,0.4787775891341256,0.5432937181663837
factorial,SNR_DB,0.0,FILE,patch,50,31,0.31918505942275044,0.7351443123938879
factorial,SNR_DB,0.0,FILE,fused05,50,31,0.4626485568760611,0.5789473684210527
factorial,SNR_DB,0.0,FILE,fused15,50,31,0.3777589134125636,0.6434634974533108
factorial,SNR_DB,0.0,VOICE,v18,50,17,0.2834224598930481,0.837789661319073
factorial,SNR_DB,0.0,VOICE,patch,50,17,0.41800356506238856,0.7130124777183602
factorial,SNR_DB,0.0,VOICE,fused05,50,17,0.2834224598930481,0.837789661319073
factorial,SNR_DB,0.0,VOICE,fused15,50,17,0.2834224598930481,0.837789661319073
factorial,SNR_DB,0.0,MUSIC,v18,50,21,0.339080459770115,0.6896551724137931
factorial,SNR_DB,0.0,MUSIC,patch,50,21,0.28078817733990147,0.7791461412151067
factorial,SNR_DB,0.0,MUSIC,fused05,50,21,0.28078817733990147,0.7487684729064039
factorial,SNR_DB,0.0,MUSIC,fused15,50,21,0.28078817733990147,0.7816091954022988
factorial,SNR_DB,5.0,FILE,v18,44,36,0.25,0.7291666666666667
factorial,SNR_DB,5.0,FILE,patch,44,36,0.02777777777777779,0.9652777777777777
factorial,SNR_DB,5.0,FILE,fused05,44,36,0.25,0.7743055555555556
factorial,SNR_DB,5.0,FILE,fused15,44,36,0.25,0.8402777777777778
factorial,SNR_DB,5.0,VOICE,v18,44,23,0.3405797101449275,0.6687370600414079
factorial,SNR_DB,5.0,VOICE,patch,44,23,0.3405797101449275,0.7142857142857143
factorial,SNR_DB,5.0,VOICE,fused05,44,23,0.3405797101449275,0.6687370600414079
factorial,SNR_DB,5.0,VOICE,fused15,44,23,0.3405797101449275,0.6687370600414079
factorial,SNR_DB,5.0,MUSIC,v18,44,26,0.22649572649572647,0.8547008547008547
factorial,SNR_DB,5.0,MUSIC,patch,44,26,0.11324786324786326,0.9679487179487181
factorial,SNR_DB,5.0,MUSIC,fused05,44,26,0.22649572649572647,0.8846153846153846
factorial,SNR_DB,5.0,MUSIC,fused15,44,26,0.16025641025641024,0.9316239316239316
factorial,SNR_DB,10.0,FILE,v18,30,26,0.20192307692307693,0.8461538461538461
factorial,SNR_DB,10.0,FILE,patch,30,26,0.25961538461538464,0.7692307692307692
factorial,SNR_DB,10.0,FILE,fused05,30,26,0.24038461538461536,0.8269230769230769
factorial,SNR_DB,10.0,FILE,fused15,30,26,0.25961538461538464,0.8076923076923077
factorial,SNR_DB,10.0,VOICE,v18,30,16,0.26785714285714285,0.84375
factorial,SNR_DB,10.0,VOICE,patch,30,16,0.4330357142857143,0.65625
factorial,SNR_DB,10.0,VOICE,fused05,30,16,0.26785714285714285,0.84375
factorial,SNR_DB,10.0,VOICE,fused15,30,16,0.26785714285714285,0.84375
factorial,SNR_DB,10.0,MUSIC,v18,30,20,0.4,0.75
factorial,SNR_DB,10.0,MUSIC,patch,30,20,0.225,0.86
factorial,SNR_DB,10.0,MUSIC,fused05,30,20,0.225,0.8550000000000001
factorial,SNR_DB,10.0,MUSIC,fused15,30,20,0.09999999999999999,0.9
factorial,SNR_DB,nan,FILE,v18,200,125,0.18533333333333335,0.91392
factorial,SNR_DB,nan,FILE,patch,200,125,0.2546666666666667,0.8162133333333332
factorial,SNR_DB,nan,FILE,fused05,200,125,0.1706666666666667,0.9277866666666668
