DATASET,CELL,TASK,MODEL,N,LABEL_MEAN,GLOBAL_EER_THRESHOLD,ERROR_RATE,SCORE_Q10,SCORE_MEDIAN,SCORE_Q90
factorial,voice_only__voice_real,FILE,fused05,25,0.0,0.6658264435208996,0.0,0.0020621542059876185,0.09408020313711533,0.29541284426934467
factorial,concurrent__voice_fake__music_fake,VOICE,fused05,25,1.0,0.7468768858781002,0.24,0.23298439096071466,0.8538132200040764,0.9641108465473525
factorial,concurrent__voice_fake__music_real,VOICE,fused05,25,1.0,0.7468768858781002,0.36,0.0669121682534439,0.8232934195751962,0.9661536810034375
factorial,concurrent__voice_real__music_fake,VOICE,fused05,25,0.0,0.7468768858781002,0.24,0.008008528689569255,0.5842592100311652,0.8999732768949601
factorial,concurrent__voice_real__music_real,VOICE,fused05,25,0.0,0.7468768858781002,0.32,0.0016304094257864157,0.485973637289899,0.892432241559473
factorial,partial_overlap__voice_fake__music_fake,VOICE,fused05,25,1.0,0.7468768858781002,0.36,0.6537681469347493,0.8413292476363053,0.9526492318554949
factorial,partial_overlap__voice_fake__music_real,VOICE,fused05,25,1.0,0.7468768858781002,0.2,0.6342721839268456,0.8561714377117268,0.9537605432057057
factorial,partial_overlap__voice_real__music_fake,VOICE,fused05,25,0.0,0.7468768858781002,0.24,0.37005220438624026,0.6275216767058731,0.8901171870484075
factorial,partial_overlap__voice_real__music_real,VOICE,fused05,25,0.0,0.7468768858781002,0.4,0.1470795772335743,0.6282095157341692,0.8919732755664673
factorial,sequential__voice_fake__music_fake,VOICE,fused05,25,1.0,0.7468768858781002,0.08,0.7875809886789245,0.8987384412690038,0.9792582306899337
factorial,sequential__voice_fake__music_real,VOICE,fused05,25,1.0,0.7468768858781002,0.24,0.55768285321728,0.850631059169326,0.9315092073383997
factorial,sequential__voice_real__music_fake,VOICE,fused05,25,0.0,0.7468768858781002,0.16,0.2717442610781901,0.49914361358905224,0.7803429355671543
factorial,sequential__voice_real__music_real,VOICE,fused05,25,0.0,0.7468768858781002,0.2,0.27899453124509194,0.57856634515249,0.7693098056553234
factorial,voice_only__voice_fake,VOICE,fused05,25,1.0,0.7468768858781002,0.08,0.8447140431673293,0.9869012522256541,0.9994035812190162
factorial,voice_only__voice_real,VOICE,fused05,25,0.0,0.7468768858781002,0.0,0.00017864864969127195,0.004762741910245366,0.11613404493937327
factorial,concurrent__voice_fake__music_fake,MUSIC,fused05,25,1.0,0.4865710508170826,0.4,0.2260687830268136,0.5814724040680366,0.7437329711918554
factorial,concurrent__voice_fake__music_real,MUSIC,fused05,25,0.0,0.4865710508170826,0.04,0.004344658099208891,0.10351332598410559,0.2952786165829738
factorial,concurrent__voice_real__music_fake,MUSIC,fused05,25,1.0,0.4865710508170826,0.52,0.11613908020085113,0.4533946361394516,0.8039007200253089
factorial,concurrent__voice_real__music_real,MUSIC,fused05,25,0.0,0.4865710508170826,0.08,0.008055625196954946,0.14177806561747208,0.41822805480667946
factorial,music_only__music_fake,MUSIC,fused05,25,1.0,0.4865710508170826,0.24,0.2767462781396427,0.8022404006381123,0.8844118132254624
factorial,music_only__music_real,MUSIC,fused05,25,0.0,0.4865710508170826,0.2,0.024640276288375063,0.2027290104357767,0.5650807315114991
factorial,partial_overlap__voice_fake__music_fake,MUSIC,fused05,25,1.0,0.4865710508170826,0.32,0.32358663263224047,0.6697881620394682,0.9430382444204138
factorial,partial_overlap__voice_fake__music_real,MUSIC,fused05,25,0.0,0.4865710508170826,0.24,0.03922295343122945,0.3492792319092737,0.5926291373919835
factorial,partial_overlap__voice_real__music_fake,MUSIC,fused05,25,1.0,0.4865710508170826,0.2,0.25638007178866706,0.7296357439321223,0.8916226382474367
factorial,partial_overlap__voice_real__music_real,MUSIC,fused05,25,0.0,0.4865710508170826,0.24,0.08085517293802924,0.20707394247864452,0.6490034194801014
factorial,sequential__voice_fake__music_fake,MUSIC,fused05,25,1.0,0.4865710508170826,0.0,0.5501932071426053,0.8281498191880333,0.9075339295216096
factorial,sequential__voice_fake__music_real,MUSIC,fused05,25,0.0,0.4865710508170826,0.48,0.2642988029401243,0.450394673799507,0.8050535492612144
factorial,sequential__voice_real__music_fake,MUSIC,fused05,25,1.0,0.4865710508170826,0.04,0.566815465868362,0.7367142388876574,0.9014806606163559
