encoder,pooling,duration_bin,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
xlsr,attention,4_to_10.24s,2376,2376,2353,2075,0.21161265432098766,0.14576662183075167,0.2187946003805899,0.9946783939097176,0.9988728335267983,0.799401968359179,0.996775613718258,0.8191393328950869
xlsr,attention,below_4s,1232,1232,1232,1232,0.17295150501672238,0.05681952947315438,0.26785789584651065,,,0.8218029728430547,,
xlsr,attention,competition_range_4_to_60s,3345,3345,2784,3029,0.20893730795589527,0.1548130285412262,0.2109610768287717,0.9847242711086525,0.9988706219623805,0.8012804172651755,0.9917974465355165,0.8203321201922096
spear,mean,10.24_to_30s,969,969,431,954,0.15371596208816007,0.23659278574532816,0.13311626925326148,0.9960108332830195,0.9686582809224318,0.8358885810308758,0.9823345571027257,0.8505331786380608
spear,mean,4_to_10.24s,2376,2376,2353,2075,0.2238618827160494,0.17000115705587132,0.18747026641294007,0.9982261313032392,0.9956994756434374,0.797827747306919,0.9969628034733383,0.8177412529235609
spear,mean,below_4s,1232,1232,1232,1232,0.13793199554069122,0.0681834353677852,0.18587919038583176,,,0.8616335580403478,,
spear,mean,competition_range_4_to_60s,3345,3345,2784,3029,0.19456358146760303,0.18103362843551798,0.17002325502311116,0.9958311563915012,0.9937941669348198,0.8155045070721616,0.9948126616631605,0.8334353225312615
spear,attention,10.24_to_30s,969,969,431,954,0.15371596208816007,0.23659278574532816,0.13521362710999918,0.9944841683988994,0.9795946890286514,0.8352593736738545,0.9870394287137754,0.8504373791778466
spear,attention,4_to_10.24s,2376,2376,2353,2075,0.2222222222222222,0.18147372760012148,0.17975811726926738,0.9978565753247473,0.9955409678581436,0.7986667081880844,0.9966987715914455,0.8184699145284206
spear,attention,below_4s,1232,1232,1232,1232,0.13469899665551838,0.07630051100680729,0.1915559772296015,,,0.8599236063019989,,
spear,attention,competition_range_4_to_60s,3345,3345,2784,3029,0.19547846476572392,0.19037394291754756,0.1660615303322408,0.9948092742844266,0.995077123669507,0.8143675199339563,0.9949431989769668,0.8324250878382573
wavlm,mean,10.24_to_30s,969,969,431,954,0.24259064239506545,0.29234028683181223,0.2222319932814197,0.9900335521265493,0.9958770090845562,0.7535670234516789,0.9929552806055528,0.7775058491670663
wavlm,mean,4_to_10.24s,2376,2376,2353,2075,0.29793595679012347,0.22610101097756757,0.29397551067435773,0.9909458785269499,0.996532041788416,0.7176191662071174,0.9937389601576829,0.745231145602174
wavlm,mean,below_4s,1232,1232,1232,1232,0.2209030100334448,0.13068096466700227,0.31574425469112377,,,0.76868902564254,,
wavlm,mean,competition_range_4_to_60s,3345,3345,2784,3029,0.27806129050299383,0.23634877114164904,0.27467805264686107,0.9881715225275062,0.9969869322289596,0.7312961847261149,0.9925792273782329,0.7574244889913267
wavlm,attention,10.24_to_30s,969,969,431,954,0.23228524146231383,0.271490656236419,0.23164811875354505,0.9924615530580737,0.9986023759608665,0.7600648123954957,0.9955319645094701,0.7836115276068931
wavlm,attention,4_to_10.24s,2376,2376,2353,2075,0.30092592592592593,0.2282148074225134,0.28529934288772596,0.9933110367892978,0.9975999679782251,0.7183042726862165,0.9954555023837615,0.7460193956559711
wavlm,attention,below_4s,1232,1232,1232,1232,0.22413600891861762,0.13230437979480664,0.3303552603837234,,,0.7623645414666129,,
wavlm,attention,competition_range_4_to_60s,3345,3345,2784,3029,0.27714640720487294,0.2338382003171247,0.2687354656105555,0.9898295198434651,0.9980651173675565,0.734038516650972,0.9939473186055108,0.7600293968464258
