FILE_W,VOICE_W,dev_FILE_EER,dev_VOICE_EER,dev_ADS,factorial_FILE_EER,factorial_VOICE_EER,factorial_ADS,phone_FILE_EER,phone_VOICE_EER,phone_ADS,yue_FILE_EER,yue_VOICE_EER,yue_ADS,dev_DELTA,factorial_DELTA,phone_DELTA,yue_DELTA,AUDIT_MIN_DELTA,AUDIT_MEAN_DELTA,DEV_THEN_AUDIT_RANK
0.025,0.25,0.21527272727272728,0.26857142857142857,0.7837922077922077,0.19999999999999998,0.22857142857142854,0.7925714285714285,0.14414285714285713,0.10750000000000001,0.8651785714285714,0.09578804347826086,0.12916666666666665,0.882724257830762,-0.0038181818181819427,-0.0018961038961040622,0.010928571428571399,-0.005416666666666736,-0.005416666666666736,0.0012052669552668667,280020.0
0.15,0.2,0.21527272727272728,0.26857142857142857,0.7837922077922077,0.20945454545454545,0.21714285714285717,0.79012987012987,0.12828571428571428,0.10999999999999999,0.8726071428571429,0.10122282608695654,0.12916666666666665,0.8800068665264142,-0.0038181818181819427,-0.004337662337662529,0.01835714285714296,-0.008134057971014519,-0.008134057971014519,0.001961807516155304,280055.0
0.15,0.25,0.21527272727272728,0.26857142857142857,0.7837922077922077,0.20945454545454545,0.22857142857142854,0.7878441558441558,0.12828571428571428,0.10750000000000001,0.8731071428571429,0.10122282608695654,0.12916666666666665,0.8800068665264142,-0.0038181818181819427,-0.006623376623376753,0.018857142857142906,-0.008134057971014519,-0.008134057971014519,0.0013665694209172112,280055.0
0.25,0.0,0.21527272727272728,0.26857142857142857,0.7837922077922077,0.21527272727272728,0.19999999999999998,0.7906493506493506,0.11414285714285716,0.14749999999999996,0.8721785714285715,0.14877717391304346,0.10208333333333333,0.8616463592800374,-0.0038181818181819427,-0.0038181818181819427,0.017928571428571516,-0.026494565217391353,-0.026494565217391353,-0.00412805853566726,280073.0
0.25,0.2,0.21527272727272728,0.26857142857142857,0.7837922077922077,0.21527272727272728,0.21714285714285717,0.7872207792207793,0.11414285714285716,0.10999999999999999,0.8796785714285715,0.14877717391304346,0.12916666666666665,0.8562296926133708,-0.0038181818181819427,-0.007246753246753279,0.025428571428571578,-0.03191123188405798,-0.03191123188405798,-0.004576471234079893,280078.0
0.25,0.25,0.21527272727272728,0.26857142857142857,0.7837922077922077,0.21527272727272728,0.22857142857142854,0.7849350649350648,0.11414285714285716,0.10750000000000001,0.8801785714285715,0.14877717391304346,0.12916666666666665,0.8562296926133708,-0.0038181818181819427,-0.009532467532467725,0.025928571428571523,-0.03191123188405798,-0.03191123188405798,-0.00517170932931806,280078.0
0.025,0.025,0.21527272727272728,0.27428571428571424,0.7826493506493506,0.19999999999999998,0.2114285714285714,0.796,0.14414285714285713,0.14749999999999996,0.8571785714285713,0.09578804347826086,0.10208333333333333,0.8881409244974288,-0.004961038961039055,0.0015324675324674963,0.0029285714285713915,0.0,0.0,0.0014870129870129627,370001.0
0.15,0.025,0.21527272727272728,0.27428571428571424,0.7826493506493506,0.20945454545454545,0.2114285714285714,0.7912727272727273,0.12828571428571428,0.14749999999999996,0.8651071428571429,0.10122282608695654,0.10208333333333333,0.8854235331930809,-0.004961038961039055,-0.0031948051948051948,0.010857142857142899,-0.0027173913043478937,-0.0031948051948051948,0.00164831545266327,370013.0
0.025,0.1,0.21527272727272728,0.27428571428571424,0.7826493506493506,0.19999999999999998,0.22857142857142854,0.7925714285714285,0.14414285714285713,0.135,0.8596785714285715,0.09578804347826086,0.12083333333333335,0.8843909244974287,-0.004961038961039055,-0.0018961038961040622,0.00542857142857156,-0.003750000000000031,-0.003750000000000031,-7.251082251084433e-05,370015.0
0.025,0.125,0.21527272727272728,0.27428571428571424,0.7826493506493506,0.19999999999999998,0.22857142857142854,0.7925714285714285,0.14414285714285713,0.13,0.8606785714285714,0.09578804347826086,0.12916666666666665,0.882724257830762,-0.004961038961039055,-0.0018961038961040622,0.00642857142857145,-0.005416666666666736,-0.005416666666666736,-0.00029473304473311607,370020.0
0.15,0.1,0.21527272727272728,0.27428571428571424,0.7826493506493506,0.20945454545454545,0.22857142857142854,0.7878441558441558,0.12828571428571428,0.135,0.8676071428571428,0.10122282608695654,0.12083333333333335,0.8816735331930808,-0.004961038961039055,-0.006623376623376753,0.013357142857142845,-0.006467391304347925,-0.006623376623376753,8.879164313938907e-05,370044.0
0.15,0.125,0.21527272727272728,0.27428571428571424,0.7826493506493506,0.20945454545454545,0.22857142857142854,0.7878441558441558,0.12828571428571428,0.13,0.8686071428571429,0.10122282608695654,0.12916666666666665,0.8800068665264142,-0.004961038961039055,-0.006623376623376753,0.014357142857142957,-0.008134057971014519,-0.008134057971014519,-0.00013343057908277167,370055.0
0.25,0.025,0.21527272727272728,0.27428571428571424,0.7826493506493506,0.21527272727272728,0.2114285714285714,0.7883636363636364,0.11414285714285716,0.14749999999999996,0.8721785714285715,0.14877717391304346,0.10208333333333333,0.8616463592800374,-0.004961038961039055,-0.006103896103896167,0.017928571428571516,-0.026494565217391353,-0.026494565217391353,-0.0048899632975720015,370073.0
0.25,0.1,0.21527272727272728,0.27428571428571424,0.7826493506493506,0.21527272727272728,0.22857142857142854,0.7849350649350648,0.11414285714285716,0.135,0.8746785714285714,0.14877717391304346,0.12083333333333335,0.8578963592800374,-0.004961038961039055,-0.009532467532467725,0.020428571428571463,-0.030244565217391384,-0.030244565217391384,-0.006449487107095882,370077.0
0.25,0.125,0.21527272727272728,0.27428571428571424,0.7826493506493506,0.21527272727272728,0.22857142857142854,0.7849350649350648,0.11414285714285716,0.13,0.8756785714285715,0.14877717391304346,0.12916666666666665,0.8562296926133708,-0.004961038961039055,-0.009532467532467725,0.021428571428571574,-0.03191123188405798,-0.03191123188405798,-0.006671709329318043,370078.0
0.025,0.05,0.21527272727272728,0.28,0.7815064935064935,0.19999999999999998,0.22285714285714286,0.7937142857142858,0.14414285714285713,0.14249999999999996,0.8581785714285715,0.09578804347826086,0.10208333333333333,0.8881409244974288,-0.006103896103896167,-0.000753246753246728,0.003928571428571503,0.0,-0.000753246753246728,0.0010584415584415918,460006.0
0.025,0.075,0.21527272727272728,0.28,0.7815064935064935,0.19999999999999998,0.23428571428571432,0.7914285714285714,0.14414285714285713,0.14,0.8586785714285714,0.09578804347826086,0.10208333333333333,0.8881409244974288,-0.006103896103896167,-0.0030389610389611743,0.004428571428571448,0.0,-0.0030389610389611743,0.0004632034632034247,460012.0
0.025,0.15,0.21527272727272728,0.28,0.7815064935064935,0.19999999999999998,0.21714285714285717,0.7948571428571429,0.14414285714285713,0.12,0.8626785714285714,0.09578804347826086,0.12916666666666665,0.882724257830762,-0.006103896103896167,0.0003896103896103842,0.008428571428571452,-0.005416666666666736,-0.005416666666666736,0.0011338383838383665,460020.0
0.15,0.05,0.21527272727272728,0.28,0.7815064935064935,0.20945454545454545,0.22285714285714286,0.7889870129870129,0.12828571428571428,0.14249999999999996,0.8661071428571427,0.10122282608695654,0.10208333333333333,0.8854235331930809,-0.006103896103896167,-0.005480519480519641,0.011857142857142788,-0.0027173913043478937,-0.005480519480519641,0.0012197440240917512,460032.0
0.15,0.075,0.21527272727272728,0.28,0.7815064935064935,0.20945454545454545,0.23428571428571432,0.7867012987012987,0.12828571428571428,0.14,0.8666071428571429,0.10122282608695654,0.10208333333333333,0.8854235331930809,-0.006103896103896167,-0.007766233766233865,0.012357142857142955,-0.0027173913043478937,-0.007766233766233865,0.0006245059288537321,460053.0
0.15,0.15,0.21527272727272728,0.28,0.7815064935064935,0.20945454545454545,0.21714285714285717,0.79012987012987,0.12828571428571428,0.12,0.8706071428571429,0.10122282608695654,0.12916666666666665,0.8800068665264142,-0.006103896103896167,-0.004337662337662529,0.01635714285714296,-0.008134057971014519,-0.008134057971014519,0.001295140849488637,460055.0
0.25,0.05,0.21527272727272728,0.28,0.7815064935064935,0.21527272727272728,0.22285714285714286,0.7860779220779222,0.11414285714285716,0.14249999999999996,0.8731785714285714,0.14877717391304346,0.10208333333333333,0.8616463592800374,-0.006103896103896167,-0.008389610389610391,0.018928571428571406,-0.026494565217391353,-0.026494565217391353,-0.005318534726143446,460073.0
0.25,0.075,0.21527272727272728,0.28,0.7815064935064935,0.21527272727272728,0.23428571428571432,0.7837922077922077,0.11414285714285716,0.14,0.8736785714285715,0.14877717391304346,0.10208333333333333,0.8616463592800374,-0.006103896103896167,-0.010675324675324838,0.019428571428571573,-0.026494565217391353,-0.026494565217391353,-0.0059137728213815395,460073.0
0.25,0.15,0.21527272727272728,0.28,0.7815064935064935,0.21527272727272728,0.21714285714285717,0.7872207792207793,0.11414285714285716,0.12,0.8776785714285715,0.14877717391304346,0.12916666666666665,0.8562296926133708,-0.006103896103896167,-0.007246753246753279,0.023428571428571576,-0.03191123188405798,-0.03191123188405798,-0.00524313790074656,460078.0
0.075,0.0,0.2229090909090909,0.26857142857142857,0.779974025974026,0.20763636363636362,0.19999999999999998,0.7944675324675325,0.12828571428571428,0.14749999999999996,0.8651071428571429,0.09578804347826086,0.10208333333333333,0.8881409244974288,-0.007636363636363663,0.0,0.010857142857142899,0.0,0.0,0.003619047619047633,550001.0
0.125,0.0,0.2229090909090909,0.26857142857142857,0.779974025974026,0.20945454545454545,0.19999999999999998,0.7935584415584416,0.12828571428571428,0.14749999999999996,0.8651071428571429,0.09578804347826086,0.10208333333333333,0.8881409244974288,-0.007636363636363663,-0.0009090909090909705,0.010857142857142899,0.0,-0.0009090909090909705,0.003316017316017309,550007.0
0.1,0.0,0.2229090909090909,0.26857142857142857,0.779974025974026,0.21527272727272728,0.19999999999999998,0.7906493506493506,0.13,0.14749999999999996,0.86425,0.09578804347826086,0.10208333333333333,0.8881409244974288,-0.007636363636363663,-0.0038181818181819427,0.010000000000000009,0.0,-0.0038181818181819427,0.002060606060606022,550016.0
0.075,0.2,0.2229090909090909,0.26857142857142857,0.779974025974026,0.20763636363636362,0.21714285714285717,0.791038961038961,0.12828571428571428,0.10999999999999999,0.8726071428571429,0.09578804347826086,0.12916666666666665,0.882724257830762,-0.007636363636363663,-0.0034285714285715585,0.01835714285714296,-0.005416666666666736,-0.005416666666666736,0.0031706349206348885,550020.0
