DATASET,HEAD,TARGET,WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
dev,seed10,MUSIC,0.025,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
dev,seed10,MUSIC,0.05,400,400,350,350,0.21709090909090906,0.2857142857142857,0.1885714285714286,0.9962285714285715,0.993257142857143,0.7777402597402598,0.9947428571428572,0.7994405194805196
dev,seed10,MUSIC,0.075,400,400,350,350,0.21709090909090906,0.2857142857142857,0.19428571428571428,0.9962285714285715,0.993257142857143,0.7760259740259741,0.9947428571428572,0.7978976623376625
dev,seed10,MUSIC,0.1,400,400,350,350,0.21709090909090906,0.2857142857142857,0.19999999999999998,0.9962285714285715,0.993257142857143,0.7743116883116884,0.9947428571428572,0.7963548051948053
dev,seed10,MUSIC,0.15,400,400,350,350,0.21709090909090906,0.2857142857142857,0.19428571428571428,0.9962285714285715,0.993257142857143,0.7760259740259741,0.9947428571428572,0.7978976623376625
dev,seed10,MUSIC,0.2,400,400,350,350,0.21709090909090906,0.2857142857142857,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7725974025974027,0.9947428571428572,0.7948119480519482
dev,seed10,ALL,0.0,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
dev,seed10,ALL,0.01,400,400,350,350,0.21527272727272728,0.28,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7815064935064935,0.9947428571428572,0.8028301298701299
dev,seed10,ALL,0.025,400,400,350,350,0.21709090909090906,0.28,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7805974025974026,0.9947428571428572,0.8020119480519481
dev,seed10,ALL,0.05,400,400,350,350,0.21527272727272728,0.2857142857142857,0.1885714285714286,0.9962285714285715,0.993257142857143,0.7786493506493507,0.9947428571428572,0.8002587012987014
dev,seed10,ALL,0.075,400,400,350,350,0.21709090909090906,0.2857142857142857,0.19428571428571428,0.9962285714285715,0.993257142857143,0.7760259740259741,0.9947428571428572,0.7978976623376625
dev,seed10,ALL,0.1,400,400,350,350,0.2229090909090909,0.28,0.19999999999999998,0.9962285714285715,0.993257142857143,0.7725454545454545,0.9947428571428572,0.7947651948051948
dev,seed10,ALL,0.15,400,400,350,350,0.21709090909090906,0.28,0.19428571428571428,0.9962285714285715,0.993257142857143,0.7771688311688312,0.9947428571428572,0.7989262337662338
dev,seed10,ALL,0.2,400,400,350,350,0.21527272727272728,0.26857142857142857,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7769350649350648,0.9947428571428572,0.7987158441558441
dev,seed11,FILE,0.0,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
dev,seed11,FILE,0.01,400,400,350,350,0.2229090909090909,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7765454545454545,0.9947428571428572,0.7983651948051949
dev,seed11,FILE,0.025,400,400,350,350,0.22472727272727272,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7756363636363637,0.9947428571428572,0.797547012987013
dev,seed11,FILE,0.05,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
dev,seed11,FILE,0.075,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
dev,seed11,FILE,0.1,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
dev,seed11,FILE,0.15,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
dev,seed11,FILE,0.2,400,400,350,350,0.20945454545454545,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7832727272727272,0.9947428571428572,0.8044197402597403
dev,seed11,VOICE,0.0,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
dev,seed11,VOICE,0.01,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
dev,seed11,VOICE,0.025,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
dev,seed11,VOICE,0.05,400,400,350,350,0.21709090909090906,0.28,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7805974025974026,0.9947428571428572,0.8020119480519481
dev,seed11,VOICE,0.075,400,400,350,350,0.21709090909090906,0.2914285714285715,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7783116883116883,0.9947428571428572,0.7999548051948052
