ROUTE,FILE_NONPHONE_W,FILE_PHONE_W,VOICE_NONPHONE_W,VOICE_PHONE_W,dev,factorial,phone,yue,factorial_plus_phone,dev_DELTA,factorial_DELTA,phone_DELTA,yue_DELTA,factorial_plus_phone_DELTA,MIN_AUDIT_DELTA,MEAN_AUDIT_DELTA
soft,0.225,0.35,0.3,0.35,0.7914285714285714,0.7935584415584416,0.8613214285714286,0.8881409244974288,0.8378738015607581,0.0026753246753246085,0.00023376623376636374,0.008071428571428507,0.0,0.004877591973244111,0.0,0.00274512987012987
hard,0.25,0.4,0.225,0.2,0.7905194805194805,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8388338907469343,0.001766233766233749,0.0,0.008785714285714175,0.0,0.005837681159420294,0.0,0.002637987012986981
hard,0.25,0.4,0.225,0.275,0.7905194805194805,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8402251950947603,0.001766233766233749,0.0,0.008785714285714175,0.0,0.007228985507246377,0.0,0.002637987012986981
hard,0.25,0.4,0.275,0.2,0.7905194805194805,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8388338907469343,0.001766233766233749,0.0,0.008785714285714175,0.0,0.005837681159420294,0.0,0.002637987012986981
hard,0.25,0.4,0.3,0.225,0.7905194805194805,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8388338907469343,0.001766233766233749,0.0,0.008785714285714175,0.0,0.005837681159420294,0.0,0.002637987012986981
soft,0.25,0.4,0.225,0.2,0.7905194805194805,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8388338907469343,0.001766233766233749,0.0,0.008785714285714175,0.0,0.005837681159420294,0.0,0.002637987012986981
soft,0.25,0.4,0.225,0.275,0.7905194805194805,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8402251950947603,0.001766233766233749,0.0,0.008785714285714175,0.0,0.007228985507246377,0.0,0.002637987012986981
soft,0.25,0.4,0.275,0.2,0.7905194805194805,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8388338907469343,0.001766233766233749,0.0,0.008785714285714175,0.0,0.005837681159420294,0.0,0.002637987012986981
soft,0.25,0.4,0.3,0.225,0.7905194805194805,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8388338907469343,0.001766233766233749,0.0,0.008785714285714175,0.0,0.005837681159420294,0.0,0.002637987012986981
hard,0.225,0.4,0.2,0.2,0.7902857142857143,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8391817168338908,0.0015324675324674963,0.0,0.008785714285714175,0.0,0.006185507246376787,0.0,0.0025795454545454177
hard,0.225,0.4,0.2,0.225,0.7902857142857143,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8395295429208474,0.0015324675324674963,0.0,0.008785714285714175,0.0,0.006533333333333391,0.0,0.0025795454545454177
hard,0.225,0.4,0.2,0.25,0.7902857142857143,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8402251950947603,0.0015324675324674963,0.0,0.008785714285714175,0.0,0.007228985507246377,0.0,0.0025795454545454177
hard,0.225,0.4,0.2,0.275,0.7902857142857143,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8405730211817168,0.0015324675324674963,0.0,0.008785714285714175,0.0,0.00757681159420287,0.0,0.0025795454545454177
hard,0.225,0.4,0.25,0.2,0.7902857142857143,0.7933246753246752,0.8620357142857142,0.8881409244974288,0.8388338907469343,0.0015324675324674963,0.0,0.008785714285714175,0.0,0.005837681159420294,0.0,0.0025795454545454177
