DATASET,MUSIC_WEIGHT,FILE_RATIO,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
dev,0.5,0.0,400,400,350,350,0.21709090909090906,0.2857142857142857,0.19428571428571428,0.9962285714285715,0.993257142857143,0.7760259740259741,0.9947428571428572,0.7978976623376625
dev,0.5,0.5,400,400,350,350,0.21527272727272728,0.2857142857142857,0.19428571428571428,0.9962285714285715,0.993257142857143,0.776935064935065,0.9947428571428572,0.7987158441558443
dev,0.6,0.0,400,400,350,350,0.21709090909090906,0.2857142857142857,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7725974025974027,0.9947428571428572,0.7948119480519482
dev,0.6,0.5,400,400,350,350,0.22472727272727272,0.2857142857142857,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7687792207792208,0.9947428571428572,0.7913755844155844
dev,0.7,0.0,400,400,350,350,0.2229090909090909,0.2857142857142857,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7696883116883118,0.9947428571428572,0.7921937662337664
dev,0.7,0.5,400,400,350,350,0.22472727272727272,0.2857142857142857,0.20571428571428574,0.9962285714285715,0.993257142857143,0.7687792207792208,0.9947428571428572,0.7913755844155844
factorial,0.0,0.0,400,400,350,350,0.23818181818181816,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7694805194805194,0.9958571428571428,0.7921181818181818
factorial,0.0,0.5,400,400,350,350,0.23818181818181816,0.22285714285714286,0.22285714285714286,0.9928,0.9989142857142856,0.7694805194805194,0.9958571428571428,0.7921181818181818
factorial,0.1,0.0,400,400,350,350,0.23818181818181816,0.22285714285714286,0.21714285714285717,0.9928,0.9989142857142856,0.7711948051948052,0.9958571428571428,0.793661038961039
factorial,0.1,0.5,400,400,350,350,0.23818181818181816,0.22285714285714286,0.21714285714285717,0.9928,0.9989142857142856,0.7711948051948052,0.9958571428571428,0.793661038961039
factorial,0.2,0.0,400,400,350,350,0.23054545454545455,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7784415584415585,0.9958571428571428,0.8001831168831169
factorial,0.2,0.5,400,400,350,350,0.23236363636363638,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7775324675324675,0.9958571428571428,0.7993649350649351
factorial,0.3,0.0,400,400,350,350,0.21709090909090906,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7851688311688312,0.9958571428571428,0.8062376623376624
factorial,0.3,0.5,400,400,350,350,0.23236363636363638,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7775324675324675,0.9958571428571428,0.7993649350649351
factorial,0.4,0.0,400,400,350,350,0.21527272727272728,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7860779220779222,0.9958571428571428,0.8070558441558442
factorial,0.4,0.5,400,400,350,350,0.23236363636363638,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7775324675324675,0.9958571428571428,0.7993649350649351
factorial,0.5,0.0,400,400,350,350,0.22472727272727272,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7796363636363637,0.9958571428571428,0.8012584415584416
factorial,0.5,0.5,400,400,350,350,0.22472727272727272,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7796363636363637,0.9958571428571428,0.8012584415584416
factorial,0.6,0.0,400,400,350,350,0.22472727272727272,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7796363636363637,0.9958571428571428,0.8012584415584416
factorial,0.6,0.5,400,400,350,350,0.22472727272727272,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7796363636363637,0.9958571428571428,0.8012584415584416
factorial,0.7,0.0,400,400,350,350,0.22472727272727272,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7796363636363637,0.9958571428571428,0.8012584415584416
factorial,0.7,0.5,400,400,350,350,0.22472727272727272,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7796363636363637,0.9958571428571428,0.8012584415584416
phone,0.0,0.0,1200,1200,800,800,0.17585714285714285,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8260714285714286,0.9703312500000001,0.8404974107142857
phone,0.0,0.5,1200,1200,800,800,0.17585714285714285,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8260714285714286,0.9703312500000001,0.8404974107142857
phone,0.1,0.0,1200,1200,800,800,0.17171428571428568,0.16749999999999998,0.16500000000000004,0.956603125,0.9840593750000001,0.8311428571428572,0.9703312500000001,0.8450616964285715
phone,0.1,0.5,1200,1200,800,800,0.17171428571428568,0.16749999999999998,0.16500000000000004,0.956603125,0.9840593750000001,0.8311428571428572,0.9703312500000001,0.8450616964285715
phone,0.2,0.0,1200,1200,800,800,0.17171428571428568,0.16749999999999998,0.15500000000000003,0.956603125,0.9840593750000001,0.8341428571428571,0.9703312500000001,0.8477616964285715
phone,0.2,0.5,1200,1200,800,800,0.16585714285714287,0.16749999999999998,0.15500000000000003,0.956603125,0.9840593750000001,0.8370714285714285,0.9703312500000001,0.8503974107142857
phone,0.3,0.0,1200,1200,800,800,0.17000000000000004,0.16749999999999998,0.15000000000000002,0.956603125,0.9840593750000001,0.8365,0.9703312500000001,0.8498831250000001
phone,0.3,0.5,1200,1200,800,800,0.16414285714285715,0.16749999999999998,0.15000000000000002,0.956603125,0.9840593750000001,0.8394285714285714,0.9703312500000001,0.8525188392857144
phone,0.4,0.0,1200,1200,800,800,0.16585714285714287,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8423214285714284,0.9703312500000001,0.8551224107142856
phone,0.4,0.5,1200,1200,800,800,0.16414285714285715,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8431785714285713,0.9703312500000001,0.8558938392857143
phone,0.5,0.0,1200,1200,800,800,0.16414285714285715,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8431785714285713,0.9703312500000001,0.8558938392857143
phone,0.5,0.5,1200,1200,800,800,0.16242857142857142,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8440357142857142,0.9703312500000001,0.8566652678571429
phone,0.6,0.0,1200,1200,800,800,0.16171428571428575,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8443928571428572,0.9703312500000001,0.8569866964285715
phone,0.6,0.5,1200,1200,800,800,0.15757142857142858,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8464642857142857,0.9703312500000001,0.8588509821428572
phone,0.7,0.0,1200,1200,800,800,0.16171428571428575,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8443928571428572,0.9703312500000001,0.8569866964285715
phone,0.7,0.5,1200,1200,800,800,0.15414285714285714,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8481785714285714,0.9703312500000001,0.8603938392857143
