MODEL,WEIGHT,SELECTION,MEAN_EER,WORST_DATASET_EER,MEAN_GENERATOR_EER,WORST_GENERATOR_EER,MEAN_PHONE_EER,WORST_CHANNEL_EER
seed23_cc005,0.125,0.7776251279338295,0.1785515873015873,0.2857142857142857,0.18363985775746997,0.4178737541528239,0.20666666666666667,0.3390804597701149
seed23_cc005,0.15,0.7791896748942577,0.17539021164021165,0.2914285714285715,0.18116898818406393,0.4178737541528239,0.20111111111111113,0.3448275862068966
seed23_cc005,0.175,0.7842668265611423,0.17003306878306879,0.2857142857142857,0.17995927050776905,0.40053156146179403,0.1977777777777778,0.3448275862068966
seed23_cc005,0.2,0.7834732997999119,0.16732142857142857,0.29714285714285715,0.17967099731954794,0.39481727574750836,0.19333333333333333,0.3448275862068966
seed23_cc005,0.225,0.7856331718983507,0.16631613756613758,0.2914285714285715,0.17781991559483412,0.3976744186046512,0.1922222222222222,0.3448275862068966
seed23_cc005,0.25,0.7858813722238743,0.16593253968253968,0.29714285714285715,0.17586692706289822,0.39481727574750836,0.18833333333333332,0.3729885057471264
seed23_cc005,0.275,0.7863871058907839,0.16296957671957674,0.29714285714285715,0.1758042704212942,0.39481727574750836,0.18944444444444444,0.3448275862068966
seed23_cc005,0.3,0.7865818743283749,0.1592526455026455,0.3028571428571428,0.17438115254559686,0.39481727574750836,0.18555555555555556,0.3448275862068966
ensemble3,0.0,0.7588042032352564,0.1949867724867725,0.31999999999999995,0.20330984499900176,0.3976744186046512,0.2388888888888889,0.31034482758620685
ensemble3,0.0125,0.7625577216564459,0.19415343915343916,0.31000000000000005,0.2001067210151908,0.39481727574750836,0.23888888888888893,0.31034482758620685
ensemble3,0.025,0.7630298307578948,0.19431216931216932,0.31000000000000005,0.1976640086988464,0.3976744186046512,0.23888888888888893,0.31034482758620685
ensemble3,0.0375,0.7649750653988902,0.19283068783068785,0.31000000000000005,0.19505217608701378,0.3976744186046512,0.23444444444444446,0.31034482758620685
ensemble3,0.05,0.765882980995132,0.1905555555555556,0.31000000000000005,0.19285391333365332,0.40053156146179403,0.23333333333333336,0.31034482758620685
ensemble3,0.075,0.7747188577865374,0.18457010582010583,0.2857142857142857,0.1892967793247797,0.3976744186046512,0.21722222222222223,0.31034482758620685
ensemble3,0.1,0.7781935424800703,0.18097222222222223,0.28,0.1883234561225521,0.3976744186046512,0.21166666666666667,0.31034482758620685
ensemble3,0.125,0.7821302449606111,0.17705026455026457,0.275,0.1846146049742794,0.39481727574750836,0.20555555555555557,0.31034482758620685
ensemble3,0.15,0.7835720038909468,0.17439814814814816,0.28,0.18097884917540874,0.39481727574750836,0.2027777777777778,0.31034482758620685
ensemble3,0.175,0.7815669378556475,0.1733399470899471,0.29714285714285715,0.1788971495640782,0.39481727574750836,0.20055555555555557,0.3390804597701149
ensemble3,0.2,0.7836716376972752,0.1694510582010582,0.29714285714285715,0.17899525493327925,0.39196013289036546,0.1938888888888889,0.3448275862068966
ensemble3,0.225,0.7880758934721853,0.1668121693121693,0.29714285714285715,0.1740853309762044,0.3717607973421927,0.19055555555555556,0.3448275862068966
ensemble3,0.25,0.7902173385274973,0.16381613756613758,0.2914285714285715,0.17221858509108956,0.3717607973421927,0.1872222222222222,0.3448275862068966
ensemble3,0.275,0.7903139511058056,0.1583531746031746,0.2914285714285715,0.17074906273287221,0.39481727574750836,0.18166666666666664,0.3448275862068966
ensemble3,0.3,0.7911050766805481,0.15548280423280422,0.2914285714285715,0.1693807929811185,0.40053156146179403,0.18055555555555555,0.3793103448275862
robust2,0.0,0.7588042032352564,0.1949867724867725,0.31999999999999995,0.20330984499900176,0.3976744186046512,0.2388888888888889,0.31034482758620685
robust2,0.0125,0.7612917014923994,0.19548280423280426,0.31499999999999995,0.19977511548621688,0.39481727574750836,0.24055555555555555,0.31034482758620685
robust2,0.025,0.7621615682942459,0.19486772486772488,0.31499999999999995,0.19754856858340628,0.3976744186046512,0.24055555555555555,0.31034482758620685
robust2,0.0375,0.7644972822774042,0.19307539682539684,0.31000000000000005,0.195897513440298,0.3976744186046512,0.2366666666666667,0.31034482758620685
robust2,0.05,0.7662635733281384,0.19000000000000003,0.31000000000000005,0.19369281354701637,0.3976744186046512,0.23333333333333336,0.31034482758620685
robust2,0.075,0.7743551039339103,0.18274470899470902,0.29000000000000004,0.18992130575713967,0.39481727574750836,0.2188888888888889,0.31034482758620685
robust2,0.1,0.7768789718788636,0.1824537037037037,0.28,0.18975934783202386,0.40053156146179403,0.21277777777777776,0.31034482758620685
robust2,0.125,0.7797832661030246,0.17636904761904765,0.275,0.1855519399431321,0.415016611295681,0.20833333333333334,0.31034482758620685
robust2,0.15,0.7817969341572497,0.17482804232804233,0.27428571428571424,0.1831911559324002,0.4178737541528239,0.2038888888888889,0.31034482758620685
robust2,0.175,0.7811981569713833,0.1724404761904762,0.2857142857142857,0.1811468788302714,0.4178737541528239,0.19999999999999998,0.31034482758620685
robust2,0.2,0.784619085738507,0.16826058201058203,0.2914285714285715,0.177863565536536,0.39481727574750836,0.1938888888888889,0.31034482758620685
robust2,0.225,0.7859277186532294,0.16525132275132276,0.2914285714285715,0.17539369573525268,0.39481727574750836,0.19111111111111112,0.3448275862068966
robust2,0.25,0.7879047977979335,0.16326058201058202,0.2914285714285715,0.1717098019699363,0.39481727574750836,0.1872222222222222,0.3448275862068966
robust2,0.275,0.7889128295671083,0.16187169312169314,0.2914285714285715,0.17026229225131276,0.39481727574750836,0.18555555555555556,0.3793103448275862
robust2,0.3,0.7908132980076571,0.1561772486772487,0.2914285714285715,0.16849685160950423,0.39481727574750836,0.18388888888888888,0.3793103448275862
