STRATEGY,NONPHONE_WEIGHT,PHONE_WEIGHT,MEAN_ADS,WORST_ADS,MIN_DELTA,MEAN_DELTA,MAX_MUSIC_EER,ROBUST_SELECTION
phone_hard_router,0.3,0.075,0.8325761918169877,0.7647792207792208,0.006000000000000005,0.00751152073732723,0.19428571428571428,1.6033554125962086
phone_soft_router,0.15,0.05,0.8328976203884163,0.7664935064935066,0.005250000000000088,0.007832949308755851,0.1885714285714286,1.6046411268819232
phone_hard_router,0.15,0.05,0.8328976203884163,0.7664935064935066,0.005250000000000088,0.007832949308755851,0.1885714285714286,1.6046411268819232
phone_soft_router,0.2,0.05,0.8328976203884163,0.7664935064935066,0.005250000000000088,0.007832949308755851,0.1885714285714286,1.6046411268819232
phone_hard_router,0.2,0.05,0.8328976203884163,0.7664935064935066,0.005250000000000088,0.007832949308755851,0.1885714285714286,1.6046411268819232
phone_soft_router,0.25,0.05,0.8328976203884163,0.7664935064935066,0.005250000000000088,0.007832949308755851,0.1885714285714286,1.6046411268819232
phone_hard_router,0.25,0.05,0.8328976203884163,0.7664935064935066,0.005250000000000088,0.007832949308755851,0.1885714285714286,1.6046411268819232
phone_soft_router,0.5,0.05,0.8328976203884163,0.7664935064935066,0.005250000000000088,0.007832949308755851,0.1885714285714286,1.6046411268819232
phone_hard_router,0.5,0.05,0.8328976203884163,0.7664935064935066,0.005250000000000088,0.007832949308755851,0.1885714285714286,1.6046411268819232
phone_soft_router,0.3,0.05,0.8323261918169877,0.7647792207792208,0.005250000000000088,0.007261520737327258,0.19428571428571428,1.6023554125962085
phone_hard_router,0.3,0.05,0.8323261918169877,0.7647792207792208,0.005250000000000088,0.007261520737327258,0.19428571428571428,1.6023554125962085
mixed_hard_router,0.15,0.5,0.833677574305467,0.7699220779220779,0.004838709677419395,0.008612903225806509,0.17714285714285716,1.6084383619049643
phone_soft_router,0.1,0.5,0.833427574305467,0.7699220779220779,0.004838709677419395,0.008362903225806498,0.17714285714285716,1.6081883619049644
phone_hard_router,0.1,0.5,0.833427574305467,0.7699220779220779,0.004838709677419395,0.008362903225806498,0.17714285714285716,1.6081883619049644
phone_soft_router,0.4,0.5,0.833427574305467,0.7699220779220779,0.004838709677419395,0.008362903225806498,0.17714285714285716,1.6081883619049644
phone_hard_router,0.4,0.5,0.833427574305467,0.7699220779220779,0.004838709677419395,0.008362903225806498,0.17714285714285716,1.6081883619049644
