GROUP,VALUE,BASE_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
CHANNEL,g726_24k,0.15,300,300,200,200,0.19314285714285714,0.060000000000000026,0.28,0.9618,0.9813000000000001,0.8074285714285714,0.97155,0.8238407142857143
CHANNEL,g726_24k,0.2,300,300,200,200,0.21657142857142858,0.060000000000000026,0.29000000000000004,0.9618,0.9813000000000001,0.7927142857142856,0.97155,0.810597857142857
CHANNEL,opus_nb_8k,0.0,300,300,200,200,0.44971428571428573,0.26,0.39,0.9662,0.9826500000000001,0.6061428571428571,0.9744250000000001,0.6429710714285714
CHANNEL,opus_nb_8k,0.025,300,300,200,200,0.44971428571428573,0.26,0.38,0.9662,0.9826500000000001,0.6091428571428572,0.9744250000000001,0.6456710714285715
CHANNEL,opus_nb_8k,0.05,300,300,200,200,0.44971428571428573,0.25,0.38,0.9662,0.9826500000000001,0.6111428571428572,0.9744250000000001,0.6474710714285715
CHANNEL,opus_nb_8k,0.075,300,300,200,200,0.45657142857142863,0.25,0.39,0.9662,0.9826500000000001,0.6047142857142858,0.9744250000000001,0.6416853571428572
CHANNEL,opus_nb_8k,0.1,300,300,200,200,0.44971428571428573,0.24,0.37,0.9662,0.9826500000000001,0.6161428571428571,0.9744250000000001,0.6519710714285714
CHANNEL,opus_nb_8k,0.15,300,300,200,200,0.44685714285714284,0.24,0.37,0.9662,0.9826500000000001,0.6175714285714287,0.9744250000000001,0.6532567857142858
CHANNEL,opus_nb_8k,0.2,300,300,200,200,0.44685714285714284,0.21999999999999997,0.35,0.9662,0.9826500000000001,0.6275714285714287,0.9744250000000001,0.6622567857142858
CHANNEL,resample8k,0.0,300,300,200,200,0.24685714285714283,0.050000000000000024,0.42000000000000004,0.94465,0.9887999999999999,0.7405714285714284,0.966725,0.7631867857142856
CHANNEL,resample8k,0.025,300,300,200,200,0.23314285714285715,0.050000000000000024,0.41000000000000003,0.94465,0.9887999999999999,0.7504285714285714,0.966725,0.7720582142857144
CHANNEL,resample8k,0.05,300,300,200,200,0.23314285714285715,0.050000000000000024,0.4,0.94465,0.9887999999999999,0.7534285714285713,0.966725,0.7747582142857141
CHANNEL,resample8k,0.075,300,300,200,200,0.22342857142857142,0.050000000000000024,0.39,0.94465,0.9887999999999999,0.7612857142857143,0.966725,0.781829642857143
CHANNEL,resample8k,0.1,300,300,200,200,0.21657142857142858,0.050000000000000024,0.38,0.94465,0.9887999999999999,0.7677142857142856,0.966725,0.787615357142857
CHANNEL,resample8k,0.15,300,300,200,200,0.21657142857142858,0.050000000000000024,0.35,0.94465,0.9887999999999999,0.7767142857142857,0.966725,0.7957153571428572
CHANNEL,resample8k,0.2,300,300,200,200,0.20685714285714285,0.050000000000000024,0.33999999999999997,0.94465,0.9887999999999999,0.7845714285714285,0.966725,0.8027867857142856
