candidate,axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
eat_control,DURATION|MIX_MODE|CHANNEL,30|sequential_voice_first|clean,40,40,40,40,0.11666666666666665,0.09999999999999999,0.09999999999999999,,,0.8916666666666667,,
eat_control,DURATION|MIX_MODE|CHANNEL,30|sequential_voice_first|g711_ulaw,40,40,40,40,0.09999999999999999,0.09999999999999999,0.19999999999999998,,,0.87,,
eat_control,DURATION|MIX_MODE|CHANNEL,30|sequential_voice_first|opus_nb_8k,40,40,40,40,0.19999999999999998,0.09999999999999999,0.4,,,0.76,,
eat_control,DURATION|MIX_MODE|CHANNEL,30|sparse_music|clean,40,40,40,40,0.31666666666666665,0.09999999999999999,0.44999999999999996,,,0.6866666666666668,,
eat_control,DURATION|MIX_MODE|CHANNEL,30|sparse_music|g711_ulaw,40,40,40,40,0.30000000000000004,0.15000000000000002,0.44999999999999996,,,0.685,,
eat_control,DURATION|MIX_MODE|CHANNEL,30|sparse_music|opus_nb_8k,40,40,40,40,0.30000000000000004,0.25,0.4,,,0.6799999999999999,,
eat_control,DURATION|MIX_MODE|CHANNEL,30|sparse_voice|clean,40,40,40,40,0.21666666666666665,0.44999999999999996,0.09999999999999999,,,0.7716666666666667,,
eat_control,DURATION|MIX_MODE|CHANNEL,30|sparse_voice|g711_ulaw,40,40,40,40,0.30000000000000004,0.44999999999999996,0.19999999999999998,,,0.7,,
eat_control,DURATION|MIX_MODE|CHANNEL,30|sparse_voice|opus_nb_8k,40,40,40,40,0.4,0.44999999999999996,0.4,,,0.5900000000000001,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|concurrent|clean,40,40,40,40,0.18333333333333332,0.19999999999999998,0.0,,,0.8683333333333334,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|concurrent|g711_ulaw,40,40,40,40,0.09999999999999999,0.15000000000000002,0.050000000000000024,,,0.905,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|concurrent|opus_nb_8k,40,40,40,40,0.30000000000000004,0.19999999999999998,0.25,,,0.735,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|fake_music|clean,10,10,0,10,,,,,,,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|fake_music|g711_ulaw,10,10,0,10,,,,,,,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|fake_music|opus_nb_8k,10,10,0,10,,,,,,,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|fake_voice|clean,10,10,10,0,,,,,,,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|fake_voice|g711_ulaw,10,10,10,0,,,,,,,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|fake_voice|opus_nb_8k,10,10,10,0,,,,,,,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|real_music|clean,10,10,0,10,,,,,,,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|real_music|g711_ulaw,10,10,0,10,,,,,,,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|real_music|opus_nb_8k,10,10,0,10,,,,,,,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|real_voice|clean,10,10,10,0,,,,,,,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|real_voice|g711_ulaw,10,10,10,0,,,,,,,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|real_voice|opus_nb_8k,10,10,10,0,,,,,,,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|sequential_music_first|clean,40,40,40,40,0.016666666666666663,0.0,0.050000000000000024,,,0.9766666666666666,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|sequential_music_first|g711_ulaw,40,40,40,40,0.18333333333333332,0.0,0.09999999999999999,,,0.8783333333333334,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|sequential_music_first|opus_nb_8k,40,40,40,40,0.19999999999999998,0.0,0.5,,,0.7500000000000001,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|sequential_voice_first|clean,40,40,40,40,0.016666666666666663,0.050000000000000024,0.050000000000000024,,,0.9666666666666666,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|sequential_voice_first|g711_ulaw,40,40,40,40,0.11666666666666665,0.0,0.09999999999999999,,,0.9116666666666666,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|sequential_voice_first|opus_nb_8k,40,40,40,40,0.19999999999999998,0.0,0.55,,,0.7350000000000001,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|sparse_music|clean,40,40,40,40,0.38333333333333336,0.19999999999999998,0.44999999999999996,,,0.6333333333333334,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|sparse_music|g711_ulaw,40,40,40,40,0.31666666666666665,0.19999999999999998,0.5,,,0.6516666666666667,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|sparse_music|opus_nb_8k,40,40,40,40,0.4,0.19999999999999998,0.5,,,0.61,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|sparse_voice|clean,40,40,40,40,0.23333333333333336,0.5,0.0,,,0.7833333333333332,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|sparse_voice|g711_ulaw,40,40,40,40,0.2833333333333333,0.5,0.0,,,0.7583333333333333,,
eat_control,DURATION|MIX_MODE|CHANNEL,60|sparse_voice|opus_nb_8k,40,40,40,40,0.31666666666666665,0.5,0.19999999999999998,,,0.6816666666666666,,
eat_adapted,AUDIO_TYPE,mixed,1800,1800,1800,1800,0.2733333333333333,0.26111111111111107,0.29000000000000004,,,0.724111111111111,,
eat_adapted,AUDIO_TYPE,music,180,180,0,180,0.19999999999999998,,0.19999999999999998,,,,,
eat_adapted,AUDIO_TYPE,voice,180,180,180,0,0.09999999999999999,0.09999999999999999,,,,,,
eat_adapted,DURATION|AUDIO_TYPE,10|mixed,600,600,600,600,0.24,0.26,0.31333333333333335,,,0.734,,
eat_adapted,DURATION|AUDIO_TYPE,10|music,60,60,0,60,0.30000000000000004,,0.2333333333333333,,,,,
eat_adapted,DURATION|AUDIO_TYPE,10|voice,60,60,60,0,0.1333333333333333,0.09999999999999999,,,,,,
eat_adapted,DURATION|AUDIO_TYPE,30|mixed,600,600,600,600,0.24777777777777782,0.2466666666666667,0.28,,,0.7427777777777778,,
eat_adapted,DURATION|AUDIO_TYPE,30|music,60,60,0,60,0.19999999999999998,,0.2333333333333333,,,,,
eat_adapted,DURATION|AUDIO_TYPE,30|voice,60,60,60,0,0.033333333333333326,0.033333333333333326,,,,,,
eat_adapted,DURATION|AUDIO_TYPE,60|mixed,600,600,600,600,0.23888888888888887,0.22999999999999998,0.29333333333333333,,,0.7465555555555555,,
eat_adapted,DURATION|AUDIO_TYPE,60|music,60,60,0,60,0.16666666666666663,,0.16666666666666663,,,,,
eat_adapted,DURATION|AUDIO_TYPE,60|voice,60,60,60,0,0.06666666666666665,0.06666666666666665,,,,,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,10|mixed|clean,200,200,200,200,0.21666666666666667,0.25,0.18000000000000002,,,0.7876666666666667,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,10|mixed|g711_ulaw,200,200,200,200,0.25666666666666665,0.26,0.24,,,0.7476666666666667,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,10|mixed|opus_nb_8k,200,200,200,200,0.28,0.27,0.45999999999999996,,,0.668,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,10|music|clean,20,20,0,20,0.09999999999999999,,0.0,,,,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,10|music|g711_ulaw,20,20,0,20,0.30000000000000004,,0.09999999999999999,,,,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,10|music|opus_nb_8k,20,20,0,20,0.5,,0.6,,,,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,10|voice|clean,20,20,20,0,0.09999999999999999,0.09999999999999999,,,,,,
eat_adapted,DURATION|AUDIO_TYPE|CHANNEL,10|voice|g711_ulaw,20,20,20,0,0.09999999999999999,0.09999999999999999,,,,,,
