axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
VOICE_GENERATOR,qwen3tts_custom_0.6b,47,47,47,38,,,0.28869047619047616,,1.0,,,
VOICE_GENERATOR,qwen3tts_finetuned_1.7b,43,43,43,36,,,0.30625,,0.9682539682539681,,,
VOICE_GENERATOR,nan,2027,2027,1466,1761,0.16531812988555455,0.15006702412868633,0.14650771334227636,0.9921658605151101,0.9991204587277392,0.8433752162288025,0.9956431596214247,0.8586020105680647
MUSIC_GENERATOR,FMA,1100,1100,1100,1100,0.12545454545454549,0.0818181818181818,,,,,,
MUSIC_GENERATOR,MusicGen_medium,192,192,192,192,,0.09375,,,,,,
MUSIC_GENERATOR,acestep,11,11,9,11,,0.45,,1.0,,,,
MUSIC_GENERATOR,audioldm,16,16,15,16,,0.13888888888888887,,1.0,,,,
MUSIC_GENERATOR,audioldm2,192,192,192,192,,0.08333333333333334,,,,,,
MUSIC_GENERATOR,brev,11,11,9,11,,0.22499999999999998,,1.0,,,,
MUSIC_GENERATOR,diffrhythm,19,19,17,19,,0.20192307692307693,,1.0,,,,
MUSIC_GENERATOR,elevenlabs,12,12,10,12,,0.4,,1.0,,,,
MUSIC_GENERATOR,mubert,15,15,14,15,,0.3666666666666667,,1.0,,,,
MUSIC_GENERATOR,musicgen,14,14,13,14,,0.2361111111111111,,0.6153846153846154,,,,
MUSIC_GENERATOR,musicldm,194,194,194,194,,0.10309278350515462,,,,,,
MUSIC_GENERATOR,mustango,192,192,192,192,,0.0625,,,,,,
MUSIC_GENERATOR,producer,17,17,14,17,,0.4222222222222222,,1.0,,,,
MUSIC_GENERATOR,real,175,175,150,175,0.31999999999999995,0.2666666666666667,,0.9922666666666666,,,,
MUSIC_GENERATOR,songgen,15,15,14,15,,0.6333333333333333,,0.9285714285714286,,,,
MUSIC_GENERATOR,stable_audio_open,60,60,60,60,,0.33333333333333337,,,,,,
MUSIC_GENERATOR,stableaudio,17,17,15,17,,0.4722222222222222,,1.0,,,,
MUSIC_GENERATOR,suno,148,148,143,148,,0.04197651663405091,,1.0,,,,
MUSIC_GENERATOR,udio,150,150,147,150,,0.10194805194805194,,1.0,,,,
MUSIC_GENERATOR,nan,2027,2027,1516,1711,0.1686300329415207,0.14775546444519888,0.14494452642509698,0.9914235112485736,0.9990678336008996,0.8426505327126708,0.9952456724247366,0.8579100466838774
