MODEL,AXIS,GROUP,N,IDENTITY_FILE_EER,CANDIDATE_FILE_EER,DELTA_FILE_EER,IDENTITY_VOICE_EER,CANDIDATE_VOICE_EER,DELTA_VOICE_EER,IDENTITY_MUSIC_EER,CANDIDATE_MUSIC_EER,DELTA_MUSIC_EER,IDENTITY_ADS,CANDIDATE_ADS,DELTA_ADS,IDENTITY_CPS,CANDIDATE_CPS,DELTA_CPS,IDENTITY_NORMALIZED_AVAILABLE_ADS,CANDIDATE_NORMALIZED_AVAILABLE_ADS,DELTA_NORMALIZED_AVAILABLE_ADS
v1_strict__full,CHANNEL,opus_nb_8k,120,0.33333333333333337,0.3388888888888889,0.005555555555555536,0.35,0.41666666666666663,0.06666666666666665,0.35,0.3666666666666667,0.01666666666666672,0.6583333333333333,0.6372222222222222,-0.02111111111111108,,,,0.6583333333333333,0.6372222222222222,-0.02111111111111108
v1_strict__full,CHANNEL,transcode_g711_opus,120,0.30000000000000004,0.3666666666666667,0.06666666666666665,0.31666666666666665,0.3833333333333333,0.06666666666666665,0.41666666666666663,0.4,-0.016666666666666607,0.6616666666666667,0.62,-0.04166666666666674,,,,0.6616666666666667,0.62,-0.04166666666666674
v1_strict__voice_only,CHANNEL,clean,120,0.09999999999999999,0.09999999999999999,0.0,0.11666666666666668,0.1333333333333333,0.01666666666666662,0.09999999999999999,0.09999999999999999,0.0,0.8966666666666667,0.8933333333333333,-0.0033333333333334103,,,,0.8966666666666667,0.8933333333333333,-0.0033333333333334103
v1_strict__voice_only,CHANNEL,g711_ulaw,120,0.19999999999999998,0.19999999999999998,0.0,0.09999999999999999,0.16666666666666663,0.06666666666666664,0.25,0.25,0.0,0.805,0.7916666666666666,-0.01333333333333342,,,,0.805,0.7916666666666666,-0.01333333333333342
v1_strict__voice_only,CHANNEL,g722_wb,120,0.16666666666666663,0.16666666666666663,0.0,0.09999999999999999,0.16666666666666663,0.06666666666666664,0.09999999999999999,0.09999999999999999,0.0,0.8666666666666667,0.8533333333333334,-0.013333333333333308,,,,0.8666666666666667,0.8533333333333334,-0.013333333333333308
v1_strict__voice_only,CHANNEL,opus_nb_8k,120,0.33333333333333337,0.33333333333333337,0.0,0.35,0.41666666666666663,0.06666666666666665,0.35,0.35,0.0,0.6583333333333333,0.645,-0.013333333333333308,,,,0.6583333333333333,0.645,-0.013333333333333308
v1_strict__voice_only,CHANNEL,transcode_g711_opus,120,0.30000000000000004,0.30000000000000004,0.0,0.31666666666666665,0.3833333333333333,0.06666666666666665,0.41666666666666663,0.41666666666666663,0.0,0.6616666666666667,0.6483333333333333,-0.01333333333333342,,,,0.6616666666666667,0.6483333333333333,-0.01333333333333342
v1_strict__music_only,CHANNEL,clean,120,0.09999999999999999,0.09999999999999999,0.0,0.11666666666666668,0.11666666666666668,0.0,0.09999999999999999,0.11666666666666668,0.01666666666666669,0.8966666666666667,0.8916666666666666,-0.0050000000000001155,,,,0.8966666666666667,0.8916666666666666,-0.0050000000000001155
v1_strict__music_only,CHANNEL,g711_ulaw,120,0.19999999999999998,0.19999999999999998,0.0,0.09999999999999999,0.09999999999999999,0.0,0.25,0.19999999999999998,-0.05000000000000002,0.805,0.8200000000000001,0.015000000000000013,,,,0.805,0.8200000000000001,0.015000000000000013
v1_strict__music_only,CHANNEL,g722_wb,120,0.16666666666666663,0.16666666666666663,0.0,0.09999999999999999,0.09999999999999999,0.0,0.09999999999999999,0.08333333333333334,-0.01666666666666665,0.8666666666666667,0.8716666666666666,0.004999999999999893,,,,0.8666666666666667,0.8716666666666666,0.004999999999999893
v1_strict__music_only,CHANNEL,opus_nb_8k,120,0.33333333333333337,0.33333333333333337,0.0,0.35,0.35,0.0,0.35,0.3666666666666667,0.01666666666666672,0.6583333333333333,0.6533333333333333,-0.0050000000000000044,,,,0.6583333333333333,0.6533333333333333,-0.0050000000000000044
