DATASET,GROUP,VALUE,POOL,N,MUSIC_EER
yue_cross_component_audit_v1,MIX_MODE,partial_overlap,TOP3,32,0.25
yue_cross_component_audit_v1,MIX_MODE,sequential,TOP3,32,0.375
yue_cross_component_audit_v1,AUDIO_TYPE,mixed,TOP3,108,0.37037037037037035
yue_cross_component_audit_v1,CONDITION,clean_separator_free,TOP3,124,0.3548387096774194
yue_cross_component_audit_v1,SPLIT,audit_yue,TOP3,124,0.3548387096774194
yue_cross_component_audit_v1,ALL,ALL,LME_T2,124,0.33870967741935487
yue_cross_component_audit_v1,MIX_MODE,concurrent,LME_T2,32,0.5
yue_cross_component_audit_v1,MIX_MODE,partial_overlap,LME_T2,32,0.25
yue_cross_component_audit_v1,MIX_MODE,sequential,LME_T2,32,0.375
yue_cross_component_audit_v1,AUDIO_TYPE,mixed,LME_T2,108,0.35185185185185186
yue_cross_component_audit_v1,CONDITION,clean_separator_free,LME_T2,124,0.33870967741935487
yue_cross_component_audit_v1,SPLIT,audit_yue,LME_T2,124,0.33870967741935487
yue_cross_component_audit_v1,ALL,ALL,LME_T5,124,0.29032258064516125
yue_cross_component_audit_v1,MIX_MODE,concurrent,LME_T5,32,0.5
yue_cross_component_audit_v1,MIX_MODE,partial_overlap,LME_T5,32,0.25
yue_cross_component_audit_v1,MIX_MODE,sequential,LME_T5,32,0.3125
yue_cross_component_audit_v1,AUDIO_TYPE,mixed,LME_T5,108,0.2962962962962963
yue_cross_component_audit_v1,CONDITION,clean_separator_free,LME_T5,124,0.29032258064516125
yue_cross_component_audit_v1,SPLIT,audit_yue,LME_T5,124,0.29032258064516125
yue_cross_component_audit_v1,ALL,ALL,Q75,124,0.33870967741935487
yue_cross_component_audit_v1,MIX_MODE,concurrent,Q75,32,0.5
yue_cross_component_audit_v1,MIX_MODE,partial_overlap,Q75,32,0.25
yue_cross_component_audit_v1,MIX_MODE,sequential,Q75,32,0.3125
yue_cross_component_audit_v1,AUDIO_TYPE,mixed,Q75,108,0.37037037037037035
yue_cross_component_audit_v1,CONDITION,clean_separator_free,Q75,124,0.33870967741935487
yue_cross_component_audit_v1,SPLIT,audit_yue,Q75,124,0.33870967741935487
