DATASET,SLICE,WEIGHT,N,FILE_EER,VOICE_EER,MUSIC_EER,ADS
yue_cross_component_audit_v1,ALL,0.0,124,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,ALL,0.01,124,0.18070652173913043,0.10208333333333333,0.17741935483870966,0.8360042660121552
yue_cross_component_audit_v1,AUDIO_TYPE=mixed,0.0,108,0.20535714285714285,0.10208333333333333,0.20370370370370372,0.8157936507936507
yue_cross_component_audit_v1,AUDIO_TYPE=mixed,0.01,108,0.20535714285714285,0.10208333333333333,0.20370370370370372,0.8157936507936507
yue_cross_component_audit_v1,MIX_MODE=concurrent,0.0,32,0.375,0.25,0.375,0.65
yue_cross_component_audit_v1,MIX_MODE=concurrent,0.01,32,0.375,0.25,0.375,0.65
yue_cross_component_audit_v1,MIX_MODE=native_yue_vocal,0.0,12,,,0.0,
yue_cross_component_audit_v1,MIX_MODE=native_yue_vocal,0.01,12,,,0.0,
yue_cross_component_audit_v1,MIX_MODE=partial_overlap,0.0,32,0.125,0.0,0.1875,0.88125
yue_cross_component_audit_v1,MIX_MODE=partial_overlap,0.01,32,0.125,0.0,0.1875,0.88125
yue_cross_component_audit_v1,MIX_MODE=sequential,0.0,32,0.020833333333333315,0.0625,0.0625,0.9583333333333334
yue_cross_component_audit_v1,MIX_MODE=sequential,0.01,32,0.020833333333333315,0.0625,0.0625,0.9583333333333334
