BANK,MODEL,AXIS,GROUP,N,FILE_EER,VOICE_EER
fixed,anchor,DURATION|RECORDING|CHANNEL,45|replay|g711_ulaw,120,0.31666666666666665,0.4
fixed,anchor,DURATION|RECORDING|CHANNEL,45|replay|opus_nb_8k,120,0.44999999999999996,0.5
fixed,anchor,DURATION|RECORDING|CHANNEL,60|direct|clean,120,0.11666666666666668,0.19999999999999998
fixed,anchor,DURATION|RECORDING|CHANNEL,60|direct|g711_ulaw,120,0.16666666666666663,0.2833333333333333
fixed,anchor,DURATION|RECORDING|CHANNEL,60|direct|opus_nb_8k,120,0.2333333333333333,0.44999999999999996
fixed,anchor,DURATION|RECORDING|CHANNEL,60|replay|clean,120,0.25,0.35
fixed,anchor,DURATION|RECORDING|CHANNEL,60|replay|g711_ulaw,120,0.33333333333333337,0.43333333333333335
fixed,anchor,DURATION|RECORDING|CHANNEL,60|replay|opus_nb_8k,120,0.41666666666666663,0.4833333333333333
fixed,candidate,ALL,ALL,2160,0.39537037037037037,0.4037037037037037
fixed,candidate,DURATION,30,720,0.37222222222222223,0.38055555555555554
fixed,candidate,DURATION,45,720,0.3944444444444445,0.4027777777777778
fixed,candidate,DURATION,60,720,0.41666666666666663,0.4194444444444444
fixed,candidate,CHANNEL,clean,720,0.4,0.4083333333333333
fixed,candidate,CHANNEL,g711_ulaw,720,0.41388888888888886,0.41666666666666663
fixed,candidate,CHANNEL,opus_nb_8k,720,0.43333333333333335,0.43333333333333335
fixed,candidate,RECORDING,direct,1080,0.36851851851851847,0.37962962962962965
fixed,candidate,RECORDING,replay,1080,0.43148148148148147,0.43333333333333335
fixed,candidate,POSITION,early,720,0.45833333333333337,0.46111111111111114
fixed,candidate,POSITION,late,720,0.36388888888888893,0.3833333333333333
fixed,candidate,POSITION,middle,720,0.38055555555555554,0.3833333333333333
fixed,candidate,DURATION|CHANNEL,30|clean,240,0.375,0.3916666666666667
fixed,candidate,DURATION|CHANNEL,30|g711_ulaw,240,0.3833333333333333,0.3833333333333333
fixed,candidate,DURATION|CHANNEL,30|opus_nb_8k,240,0.3916666666666667,0.3916666666666667
fixed,candidate,DURATION|CHANNEL,45|clean,240,0.3916666666666667,0.4083333333333333
