BANK,AXIS,GROUP,N,FILE_EER_anchor,VOICE_EER_anchor,FILE_EER_candidate,VOICE_EER_candidate,FILE_EER_delta,VOICE_EER_delta
fixed,CHANNEL,clean,720,0.19166666666666665,0.2833333333333333,0.4,0.4083333333333333,0.20833333333333337,0.125
fixed,CHANNEL,g711_ulaw,720,0.23055555555555554,0.35277777777777775,0.41388888888888886,0.41666666666666663,0.18333333333333332,0.06388888888888888
fixed,CHANNEL,opus_nb_8k,720,0.3388888888888889,0.46111111111111114,0.43333333333333335,0.43333333333333335,0.09444444444444444,-0.02777777777777779
fixed,RECORDING,direct,1080,0.24629629629629632,0.3759259259259259,0.36851851851851847,0.37962962962962965,0.12222222222222215,0.0037037037037037646
fixed,RECORDING,replay,1080,0.3648148148148148,0.42407407407407405,0.43148148148148147,0.43333333333333335,0.06666666666666665,0.0092592592592593
fixed,POSITION,early,720,0.3055555555555556,0.38888888888888884,0.45833333333333337,0.46111111111111114,0.1527777777777778,0.0722222222222223
fixed,POSITION,late,720,0.30833333333333335,0.3944444444444445,0.36388888888888893,0.3833333333333333,0.05555555555555558,-0.011111111111111183
fixed,POSITION,middle,720,0.30833333333333335,0.4,0.38055555555555554,0.3833333333333333,0.07222222222222219,-0.01666666666666672
fixed,DURATION|CHANNEL,30|clean,240,0.19166666666666665,0.31666666666666665,0.375,0.3916666666666667,0.18333333333333335,0.07500000000000007
fixed,DURATION|CHANNEL,30|g711_ulaw,240,0.22499999999999998,0.35,0.3833333333333333,0.3833333333333333,0.15833333333333333,0.033333333333333326
fixed,DURATION|CHANNEL,30|opus_nb_8k,240,0.31666666666666665,0.45833333333333337,0.3916666666666667,0.3916666666666667,0.07500000000000007,-0.06666666666666665
fixed,DURATION|CHANNEL,45|clean,240,0.19999999999999998,0.29166666666666663,0.3916666666666667,0.4083333333333333,0.19166666666666674,0.1166666666666667
fixed,DURATION|CHANNEL,45|g711_ulaw,240,0.21666666666666667,0.33333333333333337,0.41666666666666663,0.42500000000000004,0.19999999999999996,0.09166666666666667
fixed,DURATION|CHANNEL,45|opus_nb_8k,240,0.33333333333333337,0.4916666666666667,0.44166666666666665,0.44166666666666665,0.10833333333333328,-0.050000000000000044
fixed,DURATION|CHANNEL,60|clean,240,0.20833333333333337,0.275,0.42500000000000004,0.43333333333333335,0.21666666666666667,0.15833333333333333
fixed,DURATION|CHANNEL,60|g711_ulaw,240,0.25,0.375,0.42500000000000004,0.43333333333333335,0.17500000000000004,0.05833333333333335
fixed,DURATION|CHANNEL,60|opus_nb_8k,240,0.35,0.4666666666666667,0.43333333333333335,0.43333333333333335,0.08333333333333337,-0.033333333333333326
fixed,DURATION|RECORDING|CHANNEL,30|direct|clean,120,0.09999999999999999,0.2333333333333333,0.30000000000000004,0.35,0.20000000000000007,0.11666666666666667
fixed,DURATION|RECORDING|CHANNEL,30|direct|g711_ulaw,120,0.16666666666666663,0.30000000000000004,0.3833333333333333,0.3833333333333333,0.21666666666666667,0.08333333333333326
fixed,DURATION|RECORDING|CHANNEL,30|direct|opus_nb_8k,120,0.2666666666666667,0.43333333333333335,0.4,0.4,0.1333333333333333,-0.033333333333333326
