axis,group,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
CHANNEL_V57,ogg_48k,67,67,59,58,0.23861283643892336,0.339080459770115,0.10357142857142855,0.9957627118644068,1.0,0.7818060612550868,0.9978813559322034,0.8034135907227984
CHANNEL_V57,opus_nb_8k,120,120,120,120,0.30000000000000004,0.31666666666666665,0.21666666666666667,,,0.7216666666666667,,
CHANNEL_V57,stereo_wav,67,67,59,58,0.23585858585858588,0.23735632183908048,0.17261904761904762,1.0,1.0,0.7828137284171767,1.0,0.804532355575459
CHANNEL_V57,telephone8k,600,600,600,600,0.21333333333333337,0.2566666666666667,0.15000000000000002,,,0.797,,
CHANNEL_V57,telephone_flac,67,67,58,59,0.149468085106383,0.13793103448275865,0.18605990783410142,1.0,1.0,0.8418617782000264,1.0,0.8576756003800238
CHANNEL_V57,transcode_g711_opus,120,120,120,120,0.33333333333333337,0.30000000000000004,0.2833333333333333,,,0.6883333333333332,,
CHANNEL_V57,unknown,90,90,90,0,0.125,0.16666666666666663,,,,,,
CHANNEL_V57,wav,176,176,176,0,0.2556847545219638,0.24431524547803618,,,,,,
CHANNEL_V57,wav16k,1600,1600,1600,1600,0.12749999999999997,0.16374999999999998,0.12875000000000003,,,0.8648750000000001,,
LAYOUT_V57,concurrent,1900,1900,1900,1900,0.14526315789473687,0.18947368421052635,0.13473684210526315,,,0.8490526315789474,,
LAYOUT_V57,music_only,50,50,0,50,0.07999999999999999,,0.07999999999999999,,,,,
LAYOUT_V57,partial_overlap,300,300,300,300,0.31999999999999995,0.3466666666666667,0.21999999999999997,,,0.7046666666666667,,
LAYOUT_V57,sequential,900,900,900,900,0.1822222222222222,0.21555555555555553,0.12888888888888891,,,0.8271111111111111,,
LAYOUT_V57,simultaneous,600,600,600,600,0.22666666666666668,0.2833333333333333,0.15333333333333332,,,0.784,,
LAYOUT_V57,source_disjoint,400,400,0,400,0.030000000000000013,,0.050000000000000024,,,,,
LAYOUT_V57,source_matched_instrumental,61,61,0,61,0.018181818181818188,,0.009090909090909094,,,,,
LAYOUT_V57,speech_only,266,266,266,0,0.19172374429223743,0.19172374429223743,,,,,,
LAYOUT_V57,voice_only,50,50,50,0,0.16000000000000003,0.12,,,,,,
LAYOUT_V57,voice_screened_instrumental,50,50,0,50,,,,,,,,
VOICE_GENERATOR,A07,20,20,20,20,,,0.0,,,,,
VOICE_GENERATOR,A08,25,25,25,25,,,0.0,,,,,
VOICE_GENERATOR,A09,20,20,20,20,,,0.4,,,,,
VOICE_GENERATOR,A10,25,25,25,25,,,0.0,,,,,
VOICE_GENERATOR,A11,25,25,25,25,,,0.31666666666666665,,,,,
VOICE_GENERATOR,A12,20,20,20,20,,,0.0,,,,,
VOICE_GENERATOR,A13,25,25,25,25,,,0.08333333333333331,,,,,
VOICE_GENERATOR,A14,25,25,25,25,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A15,25,25,25,25,,,0.0,,,,,
VOICE_GENERATOR,A16,20,20,20,20,,,0.0,,,,,
VOICE_GENERATOR,A17,20,20,20,20,,,0.19999999999999998,,,,,
VOICE_GENERATOR,A18,25,25,25,25,,,0.08333333333333333,,,,,
VOICE_GENERATOR,A19,25,25,25,25,,,0.0,,,,,
VOICE_GENERATOR,ASVspoof2019-LA,800,800,800,800,,,0.13249999999999998,,,,,
VOICE_GENERATOR,bonafide,1275,1275,1275,1250,0.18587692307692305,,0.15680000000000002,,0.999968,,,
VOICE_GENERATOR,cosyvoice3_0.5b,43,43,43,37,,,0.1632352941176471,,1.0,,,
VOICE_GENERATOR,f5tts_v1_base,42,42,42,39,,,0.1031746031746032,,1.0,,,
VOICE_GENERATOR,qwen3tts_custom_0.6b,47,47,47,38,,,0.21130952380952384,,1.0,,,
VOICE_GENERATOR,qwen3tts_finetuned_1.7b,43,43,43,36,,,0.19375,,0.996031746031746,,,
VOICE_GENERATOR,nan,2027,2027,1466,1761,0.158358130918339,0.2516998063747393,0.11130043339180681,0.9955023309087991,0.9982345130287389,0.8370908432483406,0.996868421968769,0.8530686011203834
MUSIC_GENERATOR,FMA,1100,1100,1100,1100,0.21636363636363634,0.20181818181818179,,,,,,
MUSIC_GENERATOR,MusicGen_medium,192,192,192,192,,0.25,,,,,,
MUSIC_GENERATOR,acestep,11,11,9,11,,0.45,,1.0,,,,
MUSIC_GENERATOR,audioldm,16,16,15,16,,0.33333333333333337,,1.0,,,,
MUSIC_GENERATOR,audioldm2,192,192,192,192,,0.23958333333333337,,,,,,
MUSIC_GENERATOR,brev,11,11,9,11,,0.22499999999999998,,1.0,,,,
MUSIC_GENERATOR,diffrhythm,19,19,17,19,,0.5192307692307692,,1.0,,,,
MUSIC_GENERATOR,elevenlabs,12,12,10,12,,0.4,,1.0,,,,
MUSIC_GENERATOR,mubert,15,15,14,15,,0.21111111111111108,,1.0,,,,
MUSIC_GENERATOR,musicgen,14,14,13,14,,0.2361111111111111,,1.0,,,,
MUSIC_GENERATOR,musicldm,194,194,194,194,,0.25773195876288657,,,,,,
MUSIC_GENERATOR,mustango,192,192,192,192,,0.15625,,,,,,
MUSIC_GENERATOR,producer,17,17,14,17,,0.21111111111111108,,1.0,,,,
MUSIC_GENERATOR,real,175,175,150,175,0.26833333333333337,0.24,,0.9968,,,,
MUSIC_GENERATOR,songgen,15,15,14,15,,0.2111111111111111,,1.0,,,,
MUSIC_GENERATOR,stable_audio_open,60,60,60,60,,0.43333333333333335,,,,,,
MUSIC_GENERATOR,stableaudio,17,17,15,17,,0.33333333333333337,,1.0,,,,
MUSIC_GENERATOR,suno,148,148,143,148,,0.12592954990215266,,1.0,,,,
MUSIC_GENERATOR,udio,150,150,147,150,,0.1701298701298701,,1.0,,,,
MUSIC_GENERATOR,nan,2027,2027,1516,1711,0.1612929600678195,0.24802618407193655,0.11104620976116306,0.9954058212723771,0.9982262944906006,0.836434420223354,0.9968160578814889,0.8524725839891675
