TASK,MODE,WEIGHT,SELECTION,MAX_BANK_REGRESSION,EER_external_mixed_v1,EER_factorial_eval_1200_v2_dev_bank,EER_source_disjoint_mixed_equal_v1,EER_source_disjoint_mixed_v1
FILE,logit,0.15,0.7327272727272729,-0.08000000000000007,0.21999999999999997,0.2876363636363636,0.21999999999999997,0.26
FILE,logit,0.2,0.7489204545454546,-0.10000000000000003,0.18833333333333332,0.26472727272727276,0.23666666666666664,0.26
FILE,logit,0.25,0.7562689393939395,-0.09666666666666668,0.1716666666666667,0.23818181818181816,0.24,0.26
FILE,logit,0.3,0.7734545454545454,-0.1166666666666667,0.16000000000000003,0.23236363636363638,0.21999999999999997,0.24
FILE,logit,0.4,0.7964962121212121,-0.1366666666666667,0.15166666666666667,0.21527272727272728,0.19999999999999998,0.19999999999999998
FILE,logit,0.5,0.8201704545454546,-0.15333333333333335,0.15166666666666667,0.1847272727272727,0.18333333333333332,0.18000000000000002
VOICE,probability,0.0,0.6916071428571429,0.0,0.37,0.3371428571428572,0.10999999999999999,0.17000000000000004
VOICE,probability,0.025,0.6951785714285714,0.0,0.37,0.3085714285714286,0.10999999999999999,0.17000000000000004
VOICE,probability,0.05,0.7030357142857143,0.010000000000000009,0.36,0.2857142857142857,0.12,0.17000000000000004
VOICE,probability,0.075,0.7100892857142858,0.0,0.355,0.27428571428571424,0.10999999999999999,0.16000000000000003
VOICE,probability,0.1,0.7144642857142858,-0.009999999999999995,0.35,0.27428571428571424,0.09999999999999999,0.16000000000000003
VOICE,probability,0.15,0.7207142857142856,-0.009999999999999995,0.33999999999999997,0.27428571428571424,0.09999999999999999,0.16000000000000003
VOICE,probability,0.2,0.7250892857142858,-0.009999999999999995,0.33499999999999996,0.27428571428571424,0.09999999999999999,0.15000000000000002
VOICE,probability,0.25,0.7385714285714287,-0.020000000000000004,0.31999999999999995,0.25142857142857145,0.08999999999999998,0.15000000000000002
VOICE,probability,0.3,0.7474107142857143,0.0,0.30500000000000005,0.2457142857142857,0.10999999999999999,0.14
VOICE,probability,0.4,0.7635714285714286,0.0,0.26,0.27428571428571424,0.10999999999999999,0.15000000000000002
VOICE,probability,0.5,0.7617857142857143,-0.009999999999999995,0.16000000000000003,0.29714285714285715,0.09999999999999999,0.16000000000000003
VOICE,logit,0.0,0.6916071428571429,0.0,0.37,0.3371428571428572,0.10999999999999999,0.17000000000000004
VOICE,logit,0.025,0.7033035714285714,0.010000000000000009,0.355,0.3085714285714286,0.12,0.17000000000000004
VOICE,logit,0.05,0.71875,0.0,0.33999999999999997,0.28,0.09999999999999999,0.17000000000000004
VOICE,logit,0.075,0.7320535714285714,-0.010000000000000009,0.32499999999999996,0.26857142857142857,0.08999999999999998,0.16000000000000003
VOICE,logit,0.1,0.7483928571428571,-0.010000000000000009,0.30000000000000004,0.2628571428571429,0.08999999999999998,0.16000000000000003
VOICE,logit,0.15,0.7638392857142857,-0.010000000000000009,0.275,0.27428571428571424,0.07999999999999999,0.16000000000000003
VOICE,logit,0.2,0.7708928571428572,-0.010000000000000009,0.24,0.26857142857142857,0.08999999999999998,0.16000000000000003
VOICE,logit,0.25,0.7757142857142857,0.009999999999999981,0.20999999999999996,0.2628571428571429,0.08999999999999998,0.18000000000000002
VOICE,logit,0.3,0.7841071428571429,0.0,0.19999999999999998,0.25142857142857145,0.09999999999999999,0.17000000000000004
VOICE,logit,0.4,0.7853571428571429,0.019999999999999934,0.17000000000000004,0.25142857142857145,0.09999999999999999,0.18999999999999997
VOICE,logit,0.5,0.7675,0.029999999999999943,0.16000000000000003,0.28,0.09999999999999999,0.19999999999999998
MUSIC,probability,0.0,0.6407142857142857,0.0,0.33999999999999997,0.3828571428571429,0.28,0.33999999999999997
