variant,axis,group,rows,real_rows,fake_rows,VOICE_EER,FPR_at_fixed_half,FNR_at_fixed_half
dense,COMPONENT_CASE,RR,925,925,0,,0.2918918918918919,
dense,COMPONENT_CASE,fake_voice_only,171,0,171,,,0.19298245614035087
dense,COMPONENT_CASE,real_voice_only,145,145,0,,0.20689655172413793,
dense,DATASET,asvspoof_voice_wav_dev_v1,176,90,86,0.02273901808785528,0.3111111111111111,0.0
dense,DATASET,codec_mixed_dev_v4,600,300,300,0.26,0.5533333333333333,0.13
dense,DATASET,external_mixed_v1,400,200,200,0.19999999999999996,0.38,0.11
dense,DATASET,external_mixed_v1_telephone_v1,400,200,200,0.18999999999999995,0.35,0.105
dense,DATASET,factorial_eval_1200_v2,350,175,175,0.3028571428571429,0.15428571428571428,0.42857142857142855
dense,DATASET,mixfake_music_dev_v1,1600,800,800,0.08749999999999997,0.21875,0.045
dense,DATASET,multigen_voice_v2,90,30,60,0.125,0.0,0.3333333333333333
dense,DATASET,source_disjoint_mixed_v1,200,100,100,0.14999999999999997,0.58,0.02
dense,DATASET,source_disjoint_mixed_v1_telephone_v1,200,100,100,0.12000000000000005,0.53,0.01
dense,CHANNEL_V57,clean,120,60,60,0.18333333333333335,0.38333333333333336,0.16666666666666666
dense,CHANNEL_V57,clean_flac,58,29,29,0.2758620689655173,0.0,0.3103448275862069
dense,CHANNEL_V57,flac16k,600,300,300,0.19333333333333336,0.44666666666666666,0.08
dense,CHANNEL_V57,g711_ulaw,120,60,60,0.18333333333333335,0.36666666666666664,0.13333333333333333
dense,CHANNEL_V57,g722_wb,120,60,60,0.18333333333333335,0.4166666666666667,0.15
dense,CHANNEL_V57,mp3_64k,58,29,29,0.37931034482758624,0.20689655172413793,0.5172413793103449
dense,CHANNEL_V57,noisy_flac,58,29,29,0.31034482758620685,0.13793103448275862,0.41379310344827586
dense,CHANNEL_V57,ogg_48k,59,29,30,0.23735632183908045,0.10344827586206896,0.3
dense,CHANNEL_V57,opus_nb_8k,120,60,60,0.3666666666666667,0.8,0.08333333333333333
dense,CHANNEL_V57,stereo_wav,59,30,29,0.4068965517241379,0.26666666666666666,0.5862068965517241
dense,CHANNEL_V57,telephone8k,600,300,300,0.1766666666666667,0.41,0.07333333333333333
dense,CHANNEL_V57,telephone_flac,58,29,29,0.3448275862068966,0.20689655172413793,0.4482758620689655
dense,CHANNEL_V57,transcode_g711_opus,120,60,60,0.3666666666666667,0.8,0.11666666666666667
dense,CHANNEL_V57,unknown,90,30,60,0.125,0.0,0.3333333333333333
dense,CHANNEL_V57,wav,176,90,86,0.02273901808785528,0.3111111111111111,0.0
dense,CHANNEL_V57,wav16k,1600,800,800,0.08749999999999997,0.21875,0.045
dense,LAYOUT_V57,concurrent,1900,950,950,0.14105263157894732,0.24105263157894738,0.1
dense,LAYOUT_V57,partial_overlap,300,150,150,0.25333333333333335,0.38666666666666666,0.19333333333333333
dense,LAYOUT_V57,sequential,900,450,450,0.14666666666666667,0.5022222222222222,0.04666666666666667
dense,LAYOUT_V57,simultaneous,600,300,300,0.22333333333333338,0.36666666666666664,0.12666666666666668
dense,LAYOUT_V57,speech_only,266,120,146,0.15034246575342464,0.23333333333333334,0.136986301369863
dense,LAYOUT_V57,voice_only,50,25,25,0.15999999999999998,0.08,0.52
