DATASET,GROUP,VALUE,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
phone,CODEC,high_mp3,48,48,48,0,0.0,0.0,,,,,,
phone,CODEC,high_ogg,52,52,52,0,0.03869047619047618,0.13392857142857145,,,,,,
phone,CODEC,low_m4a,24,24,24,0,0.125,0.0,,,,,,
phone,CODEC,low_mp3,28,28,28,0,0.1375,0.1125,,,,,,
phone,CODEC,low_ogg,64,64,64,0,0.0773809523809524,0.0773809523809524,,,,,,
phone,CODEC,mp3m4a,52,52,52,0,0.07738095238095236,0.07738095238095236,,,,,,
phone,CODEC,nocodec,44,44,44,0,0.04583333333333335,0.09166666666666665,,,,,,
phone,CODEC,oggm4a,52,52,52,0,0.0,0.03869047619047617,,,,,,
phone,CONDITION,simultaneous,400,400,400,400,0.29000000000000004,0.21499999999999997,0.37,,,0.7010000000000001,,
phone,CONDITION,source_disjoint,400,400,0,400,0.20499999999999996,,0.20999999999999996,,,,,
phone,CONDITION,speech_only,400,400,400,0,0.050000000000000024,0.05500000000000002,,,,,,
phone,SPLIT,alignment,200,200,0,200,0.24,,0.21999999999999997,,,,,
phone,SPLIT,prospective,200,200,0,200,0.18999999999999997,,0.19999999999999998,,,,,
phone,SPLIT,nan,800,800,800,400,0.2536666666666667,0.15749999999999997,0.37,,,0.7306666666666666,,
phone,CHANNEL,g711_ulaw,300,300,200,200,0.16685714285714287,0.08999999999999998,0.27,,,0.8175714285714286,,
phone,CHANNEL,g726_24k,300,300,200,200,0.15314285714285714,0.06999999999999998,0.25,,,0.8344285714285714,,
phone,CHANNEL,opus_nb_8k,300,300,200,200,0.43314285714285716,0.22999999999999998,0.32999999999999996,,,0.6384285714285715,,
phone,CHANNEL,resample8k,300,300,200,200,0.16685714285714287,0.050000000000000024,0.28,,,0.8225714285714285,,
phone,SNR_DB,-6.0,144,144,144,144,0.36111111111111116,0.33333333333333337,0.3055555555555556,,,0.661111111111111,,
phone,SNR_DB,0.0,128,128,128,128,0.25,0.15625,0.40625,,,0.7218749999999999,,
phone,SNR_DB,6.0,128,128,128,128,0.25,0.15625,0.421875,,,0.7171875,,
phone,SNR_DB,nan,800,800,400,400,0.1925,0.05500000000000002,0.20999999999999996,,,0.82975,,
yue,ALL,ALL,124,124,108,124,0.1861413043478261,0.10208333333333333,0.17741935483870966,,,0.8332868747078073,,
yue,AUDIO_TYPE,mixed,108,108,108,108,0.20535714285714285,0.10208333333333333,0.20370370370370372,,,0.8157936507936507,,
yue,AUDIO_TYPE,music,16,16,0,16,0.0,,0.0,,,,,
yue,CONDITION,clean_separator_free,124,124,108,124,0.1861413043478261,0.10208333333333333,0.17741935483870966,,,0.8332868747078073,,
yue,SPLIT,audit_yue,124,124,108,124,0.1861413043478261,0.10208333333333333,0.17741935483870966,,,0.8332868747078073,,
yue,MIX_MODE,concurrent,32,32,32,32,0.3541666666666667,0.25,0.3125,,,0.6791666666666667,,
yue,MIX_MODE,music_only,16,16,0,16,0.0,,0.0,,,,,
yue,MIX_MODE,native_yue_vocal,12,12,12,12,,,0.0,,,,,
yue,MIX_MODE,partial_overlap,32,32,32,32,0.125,0.0,0.1875,,,0.88125,,
yue,MIX_MODE,sequential,32,32,32,32,0.020833333333333315,0.0625,0.0625,,,0.9583333333333334,,
yue,VOICE_GENERATOR,YuE,12,12,12,12,,,0.0,,,,,
yue,VOICE_GENERATOR,bonafide,48,48,48,48,0.20833333333333337,,0.20833333333333337,,,,,
yue,VOICE_GENERATOR,cosyvoice3_0.5b,48,48,48,48,,,0.16666666666666663,,,,,
yue,VOICE_GENERATOR,nan,16,16,0,16,0.0,,0.0,,,,,
yue,MUSIC_GENERATOR,YuE,62,62,54,62,,0.09166666666666665,,,,,,
yue,MUSIC_GENERATOR,real,62,62,54,62,0.19374999999999998,0.09166666666666665,,,,,,
yue,COMPONENT_CASE,voice_fake__music_fake,30,30,30,30,,,,,,,,
yue,COMPONENT_CASE,voice_fake__music_real,30,30,30,30,,,,,,,,
yue,COMPONENT_CASE,voice_real__music_fake,24,24,24,24,,,,,,,,
yue,COMPONENT_CASE,voice_real__music_real,24,24,24,24,,,,,,,,
