MODEL,CELL,N,FILE_ERROR,FILE_THRESHOLD,VOICE_ERROR,VOICE_THRESHOLD,MUSIC_ERROR,MUSIC_THRESHOLD,WEIGHTED_CELL_ERROR,DELTA_FILE_ERROR,DELTA_VOICE_ERROR,DELTA_MUSIC_ERROR,DELTA_WEIGHTED_CELL_ERROR
v2_strict,RR,925,0.1437837837837838,0.825719,0.14054054054054055,0.62098527,0.12864864864864864,0.65525323,0.1385945945945946,-0.05513513513513513,-0.03675675675675674,0.00108108108108107,-0.034594594594594574
v2_strict__voice_only,FF,925,0.06702702702702702,0.6488711836,0.14810810810810812,0.6209852646968074,0.15567567567567567,0.392764695,0.10983783783783783,0.0,-0.044324324324324316,0.0,-0.008864864864864874
v2_strict__voice_only,FR,925,0.21405405405405406,0.6488711836,0.16324324324324324,0.6209852646968074,0.14270270270270272,0.392764695,0.1824864864864865,0.0,-0.02594594594594596,0.0,-0.005189189189189203
v2_strict__voice_only,RF,925,0.32432432432432434,0.6488711836,0.17513513513513512,0.6209852646968074,0.15675675675675677,0.392764695,0.24421621621621623,0.0,-0.03675675675675677,0.0,-0.007351351351351371
v2_strict__voice_only,RR,925,0.1989189189189189,0.6488711836,0.14054054054054055,0.6209852646968074,0.12756756756756757,0.392764695,0.16583783783783784,0.0,-0.03675675675675674,0.0,-0.007351351351351343
v2_strict__music_only,FF,925,0.06702702702702702,0.6488711836,0.19243243243243244,0.7320120066,0.1535135135135135,0.655253215084282,0.11805405405405406,0.0,0.0,-0.002162162162162168,-0.0006486486486486503
v2_strict__music_only,FR,925,0.21405405405405406,0.6488711836,0.1891891891891892,0.7320120066,0.1654054054054054,0.655253215084282,0.1944864864864865,0.0,0.0,0.022702702702702693,0.006810810810810808
v2_strict__music_only,RF,925,0.32432432432432434,0.6488711836,0.2118918918918919,0.7320120066,0.16108108108108107,0.655253215084282,0.25286486486486487,0.0,0.0,0.004324324324324308,0.001297297297297273
v2_strict__music_only,RR,925,0.1989189189189189,0.6488711836,0.1772972972972973,0.7320120066,0.12864864864864864,0.655253215084282,0.17351351351351352,0.0,0.0,0.00108108108108107,0.0003243243243243321
v2_strict__file_only,FF,925,0.04972972972972973,0.7881954381490888,0.19243243243243244,0.7320120066,0.15567567567567567,0.392764695,0.11005405405405405,-0.017297297297297294,0.0,0.0,-0.008648648648648657
v2_strict__file_only,FR,925,0.19027027027027027,0.7881954381490888,0.1891891891891892,0.7320120066,0.14270270270270272,0.392764695,0.1757837837837838,-0.02378378378378379,0.0,0.0,-0.01189189189189191
v2_strict__file_only,RF,925,0.22162162162162163,0.7881954381490888,0.2118918918918919,0.7320120066,0.15675675675675677,0.392764695,0.20021621621621621,-0.10270270270270271,0.0,0.0,-0.05135135135135138
v2_strict__file_only,RR,925,0.1589189189189189,0.7881954381490888,0.1772972972972973,0.7320120066,0.12756756756756757,0.392764695,0.1531891891891892,-0.04000000000000001,0.0,0.0,-0.01999999999999999
