model,axis,group,rows,real_n,fake_n,MUSIC_EER,FPR_at_05,FNR_at_05
factorial_ranked,DATASET,external_mixed_v1,400,200,200,0.125,0.195,0.085
factorial_ranked,DATASET,external_mixed_v1_telephone_v1,400,200,200,0.13,0.24,0.06
factorial_ranked,DATASET,factorial_eval_1200_v2,350,175,175,0.19428571428571428,0.29714285714285715,0.12571428571428572
factorial_ranked,DATASET,mixfake_music_dev_v1,1600,800,800,0.13124999999999998,0.11875,0.14
factorial_ranked,DATASET,source_disjoint_mixed_v1,200,100,100,0.10999999999999999,0.23,0.06
factorial_ranked,DATASET,source_disjoint_mixed_v1_telephone_v1,200,100,100,0.20999999999999996,0.41,0.11
factorial_ranked,DATASET,source_disjoint_music_v1,400,200,200,0.050000000000000024,0.15,0.04
factorial_ranked,AUDIO_TYPE,mixed,3700,1850,1850,0.15135135135135136,0.20324324324324325,0.10486486486486486
factorial_ranked,AUDIO_TYPE,music,561,281,280,0.06417132689374683,0.16370106761565836,0.04285714285714286
factorial_ranked,CHANNEL,clean,120,60,60,0.050000000000000024,0.25,0.0
factorial_ranked,CHANNEL,clean_flac,58,28,30,0.29285714285714287,0.32142857142857145,0.2
factorial_ranked,CHANNEL,g711_ulaw,120,60,60,0.09999999999999999,0.18333333333333332,0.016666666666666666
factorial_ranked,CHANNEL,g722_wb,120,60,60,0.08333333333333334,0.2833333333333333,0.0
factorial_ranked,CHANNEL,mp3_64k,59,29,30,0.20344827586206893,0.41379310344827586,0.06666666666666667
factorial_ranked,CHANNEL,noisy_flac,58,30,28,0.1380952380952381,0.23333333333333334,0.07142857142857142
factorial_ranked,CHANNEL,ogg_48k,58,30,28,0.1380952380952381,0.3,0.07142857142857142
factorial_ranked,CHANNEL,opus_nb_8k,120,60,60,0.21666666666666667,0.31666666666666665,0.11666666666666667
factorial_ranked,CHANNEL,stereo_wav,58,30,28,0.17261904761904762,0.23333333333333334,0.17857142857142858
factorial_ranked,CHANNEL,telephone_flac,59,28,31,0.18605990783410142,0.2857142857142857,0.16129032258064516
factorial_ranked,CHANNEL,transcode_g711_opus,120,60,60,0.2666666666666667,0.35,0.13333333333333333
factorial_ranked,CHANNEL_V57,clean,120,60,60,0.050000000000000024,0.25,0.0
factorial_ranked,CHANNEL_V57,clean_flac,58,28,30,0.29285714285714287,0.32142857142857145,0.2
factorial_ranked,CHANNEL_V57,common_flac16k,511,256,255,0.05088082107843139,0.16015625,0.0392156862745098
factorial_ranked,CHANNEL_V57,flac16k,600,300,300,0.1266666666666667,0.20666666666666667,0.07666666666666666
factorial_ranked,CHANNEL_V57,g711_ulaw,120,60,60,0.09999999999999999,0.18333333333333332,0.016666666666666666
factorial_ranked,CHANNEL_V57,g722_wb,120,60,60,0.08333333333333334,0.2833333333333333,0.0
factorial_ranked,CHANNEL_V57,mp3_64k,59,29,30,0.20344827586206893,0.41379310344827586,0.06666666666666667
factorial_ranked,CHANNEL_V57,noisy_flac,58,30,28,0.1380952380952381,0.23333333333333334,0.07142857142857142
factorial_ranked,CHANNEL_V57,ogg_48k,58,30,28,0.1380952380952381,0.3,0.07142857142857142
factorial_ranked,CHANNEL_V57,opus_nb_8k,120,60,60,0.21666666666666667,0.31666666666666665,0.11666666666666667
factorial_ranked,CHANNEL_V57,stereo_wav,58,30,28,0.17261904761904762,0.23333333333333334,0.17857142857142858
factorial_ranked,CHANNEL_V57,telephone8k,600,300,300,0.16000000000000003,0.2966666666666667,0.07666666666666666
factorial_ranked,CHANNEL_V57,telephone_flac,59,28,31,0.18605990783410142,0.2857142857142857,0.16129032258064516
factorial_ranked,CHANNEL_V57,transcode_g711_opus,120,60,60,0.2666666666666667,0.35,0.13333333333333333
factorial_ranked,CHANNEL_V57,wav16k,1600,800,800,0.13124999999999998,0.11875,0.14
factorial_ranked,LAYOUT_V57,concurrent,1900,950,950,0.1378947368421053,0.14421052631578948,0.12736842105263158
factorial_ranked,LAYOUT_V57,music_only,50,25,25,0.12,0.2,0.08
factorial_ranked,LAYOUT_V57,partial_overlap,300,150,150,0.16666666666666663,0.32666666666666666,0.08666666666666667
factorial_ranked,LAYOUT_V57,sequential,900,450,450,0.1333333333333333,0.24888888888888888,0.05333333333333334
factorial_ranked,LAYOUT_V57,simultaneous,600,300,300,0.18000000000000002,0.26,0.12
factorial_ranked,LAYOUT_V57,source_disjoint,400,200,200,0.050000000000000024,0.15,0.04
factorial_ranked,LAYOUT_V57,source_matched_instrumental,61,6,55,0.018181818181818188,0.0,0.03636363636363636
factorial_ranked,LAYOUT_V57,voice_screened_instrumental,50,50,0,,0.22,
factorial_ranked,MIX_MODE,concurrent,300,150,150,0.17333333333333334,0.28,0.06
factorial_ranked,MIX_MODE,music_only,50,25,25,0.12,0.2,0.08
factorial_ranked,MIX_MODE,partial_overlap,300,150,150,0.16666666666666663,0.32666666666666666,0.08666666666666667
factorial_ranked,MIX_MODE,sequential,300,150,150,0.14666666666666664,0.26,0.09333333333333334
factorial_ranked,FOREGROUND_LABEL,VOICE_REAL,1850,925,925,0.14702702702702705,0.1827027027027027,0.10378378378378378
factorial_ranked,FOREGROUND_LABEL,VOICE_FAKE,1850,925,925,0.15783783783783786,0.22378378378378377,0.10594594594594595
